source_row_id,target_match_norm,match_method,match_score,score_margin
1,,unmatched,46.34146341463414,2.8632025450689227
2,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
3,,unmatched,68.0,12.615384615384613
4,90 BOOTH VOLUNTEER FIRE DEPARTMENT,fuzzy,95.38461538461537,10.563186813186803
5,CAMELLIA BAPTIST CHURCH,exact,100.0,100.0
6,,unmatched,85.5,40.5
7,,unmatched,85.5,0.0
8,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,fuzzy,96.20253164556962,15.694057069298438
9,,unmatched,91.30434782608697,35.91973244147158
10,20 JOURNEY CHURCH,fuzzy,95.0,9.5
11,,unmatched,88.66666666666666,48.166666666666664
12,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
13,70 PINE LEVEL CULTURAL CENTER,fuzzy,95.0,38.75
14,PRATTMONT BAPTIST CHURCH,exact,100.0,100.0
15,,unmatched,90.0,42.63157894736841
16,,unmatched,46.34146341463414,2.8632025450689227
17,,unmatched,85.5,0.0
18,,unmatched,90.0,15.853658536585371
19,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,fuzzy,96.0,15.491525423728817
20,,unmatched,79.16666666666666,0.7352941176470438
21,BAY MINETTE CIVIC CENTER,exact,100.0,100.0
22,BELFOREST COMMUNITY CENTER,exact,100.0,100.0
23,,unmatched,90.0,44.166666666666664
24,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,exact,100.0,100.0
25,,unmatched,85.5,1.0555555555555571
26,CROSSROADS DURANT,exact,100.0,100.0
27,DAPHNE CIVIC CENTER,exact,100.0,100.0
28,DAPHNE HIGH SCHOOL,exact,100.0,100.0
29,,unmatched,85.71428571428572,0.2142857142857224
30,ELBERTA CIVIC CENTER,exact,100.0,100.0
31,ELLISVILLE COMMUNITY CENTER,exact,100.0,100.0
32,ELSANOR COMMUNITY,fuzzy,95.0,11.0
33,FAIRHOPE CIVIC CENTER,exact,100.0,100.0
34,FOLEY CIVIC CENTER,exact,100.0,100.0
35,FT MORGAN VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
36,GATESWOOD VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
