county_key,precinct_key,dem_votes,rep_votes,two_party_votes,pres_dem_margin
AUTAUGA,10 JONES COMM_ CTR_,141,226,367,-23.160762942779293
AUTAUGA,100 TRINITY METHODIST,315,1689,2004,-68.562874251497
AUTAUGA,110 CENTRAL AL ELECTRIC,184,120,304,21.05263157894737
AUTAUGA,140 AUTAUGAVILLE VFD,389,358,747,4.149933065595716
AUTAUGA,150 PRATTMONT BAPTIST,237,700,937,-49.41302027748132
AUTAUGA,160 DOSTER COMM_ CTR_,1276,3398,4674,-45.40008557980317
AUTAUGA,170 CAMELLIA BAPTIST CHURCH,415,972,1387,-40.15861571737563
AUTAUGA,180 OLD KINGSTON VFD,272,438,710,-23.380281690140844
AUTAUGA,20 HERITAGE BAPTIST,411,1685,2096,-60.782442748091604
AUTAUGA,220 UPPER KINGSTON,200,782,982,-59.26680244399186
AUTAUGA,230 COUNTY LINE BAPTIST,145,1071,1216,-76.15131578947368
AUTAUGA,30 BILLINGSLEY COMM_ CTR_,50,421,471,-78.76857749469214
AUTAUGA,40 E_ MEMORIAL CHRISTIAN,934,2330,3264,-42.76960784313726
AUTAUGA,50 WHITE CITY VFD,134,421,555,-51.711711711711715
AUTAUGA,60 MARBURY MIDDLE,78,791,869,-82.04833141542002
AUTAUGA,70 BOONE'S CHAPEL,259,1730,1989,-73.9567621920563
AUTAUGA,80 INDEPENDENCE VFD,171,222,393,-12.977099236641221
AUTAUGA,90 BOOTH VFD,160,643,803,-60.14943960149439
BALDWIN,BARNWELL VFD,186,1233,1419,-73.78435517970402
BALDWIN,BAY MINETTE CIVIC CTR,602,2432,3034,-60.316413974950564
BALDWIN,BELFOREST COMM_ CTR,285,1609,1894,-69.90496304118268
BALDWIN,BON SECOUR MORG CHAPEL,241,1335,1576,-69.41624365482234
BALDWIN,BROMLEY VFD,231,775,1006,-54.07554671968191
BALDWIN,CLR SPG FELLOWSHIP,7,172,179,-92.17877094972067
BALDWIN,CROSSROADS DURANT,120,418,538,-55.39033457249071
BALDWIN,DAPHNE CIVIC CTR,1878,3604,5482,-31.484859540313753
