chamber,district,county_key,result_observation_id,precinct_name_original,unresolved_rows,unresolved_two_party_votes,plausible_district_count,allocation_status,contested_race
lower,10,PANOLA,PRES-9B30080FDFCD573FDEB0B2DD,Cole's Point,1,326.0,2,ambiguous_plausible_set,True
lower,10,PANOLA,PRES-6A1816F4F6A0B65B3F0421EA,East Batesville,1,1107.0,1,exact_single_district_plausible_set,True
lower,100,LAWRENCE,PRES-53F889CF96556CD8033744B1,Oakvale-91,1,20.0,4,ambiguous_plausible_set,False
lower,100,LAWRENCE,PRES-C07BA038CF49B109B4CEBF18,Precinct 53,1,148.0,4,ambiguous_plausible_set,False
lower,100,LAWRENCE,PRES-B9DAA70DD64E39C77302C347,West Monticello - 53,1,32.0,4,ambiguous_plausible_set,False
lower,102,FORREST,PRES-700FFDD0D9285BE8915FB8C2,Bar Mac,1,1955.0,4,ambiguous_plausible_set,True
lower,102,FORREST,PRES-685527ED937A3A756CF402C0,Camp,1,384.0,2,ambiguous_plausible_set,True
lower,102,FORREST,PRES-870462609698FDBE2310C752,Thames,1,1883.0,2,ambiguous_plausible_set,True
lower,103,FORREST,PRES-700FFDD0D9285BE8915FB8C2,Bar Mac,1,1955.0,4,ambiguous_plausible_set,False
lower,103,FORREST,PRES-870462609698FDBE2310C752,Thames,1,1883.0,2,ambiguous_plausible_set,False
lower,104,FORREST,PRES-700FFDD0D9285BE8915FB8C2,Bar Mac,1,1955.0,4,ambiguous_plausible_set,False
lower,105,PERRY,PRES-B04ECD3F873A3F16C0A82726,Beaumont Senior Citizens 5120,1,185.0,1,exact_single_district_plausible_set,True
lower,105,PERRY,PRES-31D0139C324F0EBCFA26AE75,Courthouse 5110,1,294.0,2,ambiguous_plausible_set,True
lower,106,PEARL RIVER,PRES-D72D702264A96DED518E01CC,Ceasar Beat 3,1,436.0,3,ambiguous_plausible_set,False
lower,106,PEARL RIVER,PRES-E8BDEC306EAC0458729ADF69,Mcneill Beat 3,1,625.0,1,exact_single_district_plausible_set,False
lower,106,PEARL RIVER,PRES-DE4541B8AB814E522EF40A8B,Picayune Beat 2,1,1092.0,2,ambiguous_plausible_set,False
lower,106,PEARL RIVER,PRES-3C567245FF4697A172254F86,Picayune Beat 4 East,1,460.0,3,ambiguous_plausible_set,False
lower,106,PEARL RIVER,PRES-F3DEB2AE994811AFB09131A6,Picayune Beat 5,1,1168.0,2,ambiguous_plausible_set,False
lower,106,PEARL RIVER,PRES-644A58247147D54E49D07962,Poplarville Beat 1,1,590.0,1,exact_single_district_plausible_set,False
lower,106,PEARL RIVER,PRES-2AB1FF8FC242F772D32227E3,Poplarville Beat 2,1,539.0,1,exact_single_district_plausible_set,False
lower,106,PEARL RIVER,PRES-16F42D567E423CD287D2EFBE,Poplarville Beat 3,1,728.0,1,exact_single_district_plausible_set,False
lower,106,PEARL RIVER,PRES-86702DA83E171A817089DDAD,Whitesand Beat 2,1,191.0,1,exact_single_district_plausible_set,False
lower,107,GEORGE,PRES-90BEDA47EA0B01008E61823A,Basin,1,879.0,1,exact_single_district_plausible_set,False
lower,108,PEARL RIVER,PRES-D72D702264A96DED518E01CC,Ceasar Beat 3,1,436.0,3,ambiguous_plausible_set,False
lower,108,PEARL RIVER,PRES-3949A7336EBCAFC137EEFF6F,Picayune Beat 1 Southside,1,1441.0,1,exact_single_district_plausible_set,False
lower,108,PEARL RIVER,PRES-DE4541B8AB814E522EF40A8B,Picayune Beat 2,1,1092.0,2,ambiguous_plausible_set,False
lower,108,PEARL RIVER,PRES-3C567245FF4697A172254F86,Picayune Beat 4 East,1,460.0,3,ambiguous_plausible_set,False
lower,108,PEARL RIVER,PRES-F3DEB2AE994811AFB09131A6,Picayune Beat 5,1,1168.0,2,ambiguous_plausible_set,False
lower,11,PANOLA,PRES-9B30080FDFCD573FDEB0B2DD,Cole's Point,1,326.0,2,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,114,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,115,HARRISON,PRES-99406D89D528805B079178B6,Biloxi #1,1,108.0,2,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,True
lower,115,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,True
lower,116,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-670FBBE6B11B0D3D333DC3CB,East Lizana,1,888.0,7,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-01424DA1921611F8E2A4ABDC,East Miss City,1,1899.0,4,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-33104F24CDABBA2A0D01AF92,Gulfport #12,1,1054.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-FDB38B929570461B66108E72,Gulfport #13,1,971.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-895060AFDE07F2019F5BC9C7,Gulfport #15,1,389.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-856C8934C8A1325B381BAFEC,New Popps Ferry,1,1636.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-30AB652CC27C0A7555D82469,Vidalla,1,390.0,9,ambiguous_plausible_set,False
lower,116,HARRISON,PRES-FC5A18EC629431A4604A6816,West Miss City,1,317.0,9,ambiguous_plausible_set,False
lower,117,HARRISON,PRES-99406D89D528805B079178B6,Biloxi #1,1,108.0,2,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-76AFAC16DA891B011B9A6B77,Biloxi #10,1,1489.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-A8ED5E173E1B31240CAA47FA,Biloxi #2,1,250.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-40E4DBFF51E5C9962B2CC37D,Biloxi #3,1,295.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-CF58BC8646115CA820EAEE0E,Biloxi #4,1,608.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-5FDCE7E5AC7CE5EA0B1B71F0,Biloxi #5,1,213.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-7B4EF32CDC028DF9427FD035,Biloxi #6,1,204.0,9,ambiguous_plausible_set,True
lower,117,HARRISON,PRES-3EA27605824A2A100810F731,Biloxi #7,1,334.0,9,ambiguous_plausible_set,True
