source_file_id,provider,source_url,retrieved_at,sha256,media_type,size_bytes,license_or_terms,state_code,cycle,geography_vintage,authoritative_scope,ingest_status,acquisition_method,data_kind,local_path,request_parameters,query_scope,record_count,response_limit,notes
finance:ar:contributions_and_loans:2022:102e918f07:1de2be43fe61,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:51+00:00,1de2be43fe61cee7910bb1f77349c6625fd6d25e9bfc0d965c45d325153ea909,text/csv,410645,official public records; reuse terms not stated on download page,AR,2022,not_applicable,reported campaign-finance contributions_and_loans filed in 2022; statewide current-system export,acquired_unparsed,official_public_api_export,contributions_and_loans,data/raw/finance/southern/AR/2022_contributions_and_loans.csv,"{""filingYear"":""2022"",""transactionTypeCode"":""TCON"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:ar:expenditures:2022:9ae9012d63:cc8a32ce3922,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:51+00:00,cc8a32ce39229732adaceead45974c1957ec9a04e37e5cf571c626a1f19048a4,text/csv,14274,official public records; reuse terms not stated on download page,AR,2022,not_applicable,reported campaign-finance expenditures filed in 2022; statewide current-system export,acquired_unparsed,official_public_api_export,expenditures,data/raw/finance/southern/AR/2022_expenditures.csv,"{""filingYear"":""2022"",""transactionTypeCode"":""TEXP"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:ar:contributions_and_loans:2023:46c376207c:ca7a90e6e2ec,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:52+00:00,ca7a90e6e2eca3d3b2f1e9b535d78f997b8b0135b83b9eeb807dd44280b901dd,text/csv,69496828,official public records; reuse terms not stated on download page,AR,2023,not_applicable,reported campaign-finance contributions_and_loans filed in 2023; statewide current-system export,acquired_unparsed,official_public_api_export,contributions_and_loans,data/raw/finance/southern/AR/2023_contributions_and_loans.csv,"{""filingYear"":""2023"",""transactionTypeCode"":""TCON"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:ar:expenditures:2023:b18f6408c7:6a503a3dc0e2,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:52+00:00,6a503a3dc0e282f8c499861a70e8582844a44016d60516f73f5404433559cb27,text/csv,2882691,official public records; reuse terms not stated on download page,AR,2023,not_applicable,reported campaign-finance expenditures filed in 2023; statewide current-system export,acquired_unparsed,official_public_api_export,expenditures,data/raw/finance/southern/AR/2023_expenditures.csv,"{""filingYear"":""2023"",""transactionTypeCode"":""TEXP"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:ar:contributions_and_loans:2024:d116e5590b:7e8e9d3ff7e5,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:54+00:00,7e8e9d3ff7e53678b8c46a5ff081479335956208147ac7a85d83f448f83d9c31,text/csv,102791310,official public records; reuse terms not stated on download page,AR,2024,not_applicable,reported campaign-finance contributions_and_loans filed in 2024; statewide current-system export,acquired_unparsed,official_public_api_export,contributions_and_loans,data/raw/finance/southern/AR/2024_contributions_and_loans.csv,"{""filingYear"":""2024"",""transactionTypeCode"":""TCON"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:ar:expenditures:2024:37f203fec2:0906ba7d9116,Arkansas Secretary of State,https://api-ethics-disclosures.sos.arkansas.gov/api/ExportData/GetExportPublicDownloadData,2026-08-30T18:37:55+00:00,0906ba7d9116b705bb83fe46f053dbe45f6df0a27920ec52cd87a723053a2797,text/csv,5060077,official public records; reuse terms not stated on download page,AR,2024,not_applicable,reported campaign-finance expenditures filed in 2024; statewide current-system export,acquired_unparsed,official_public_api_export,expenditures,data/raw/finance/southern/AR/2024_expenditures.csv,"{""filingYear"":""2024"",""transactionTypeCode"":""TEXP"",""type"":""CSV""}",,,,Raw provider artifact; may include non-legislative filers.
finance:fl:contributions:2016:a87cddcfa5:e8610fb43eba,Florida Department of State Division of Elections,https://dos.elections.myflorida.com/cgi-bin/contrib.exe,2026-08-30T18:44:43+00:00,e8610fb43eba67d17582d438376ac400a642eaf59e1eecdd51f40803f85650f5,text/tab-separated-values,348848,official public records; reuse terms not stated on download page,FL,2016,not_applicable,"reported contributions for Florida STS candidates assigned to the 2016 general-election record, candidate surname beginning A",acquired_unparsed,official_partitioned_form_export,contributions,data/raw/finance/southern/FL/contributions/2016/STS/A.tsv,"{""CanFName"":"""",""CanLName"":""A"",""CanNameSrch"":""2"",""ComName"":"""",""ComNameSrch"":""2"",""Submit"":""Submit"",""ccity"":"""",""cdatefrom"":"""",""cdateto"":"""",""cdistrict"":"""",""cdollar_maximum"":"""",""cdollar_minimum"":"""",""cfname"":"""",""cgroup"":"""",""clname"":"""",""coccupation"":"""",""committee"":""All"",""csort1"":""NAM"",""csort2"":""CAN"",""cstate"":"""",""czipcode"":"""",""election"":""20161108-GEN"",""namesearch"":""2"",""office"":""STS"",""party"":""All"",""queryformat"":""2"",""rowlimit"":""9999"",""search_on"":""1""}",year=2016;office=STS;surname_prefix=A,2868,9999,Raw tab-delimited form export; candidate query partition retained verbatim.
finance:fl:contributions:2016:da230887c8:88c581f01ef3,Florida Department of State Division of Elections,https://dos.elections.myflorida.com/cgi-bin/contrib.exe,2026-08-30T18:44:46+00:00,88c581f01ef306b2d17bf856aa68d76d755199d8f5e5eedf131339cb12a9815f,text/tab-separated-values,971171,official public records; reuse terms not stated on download page,FL,2016,not_applicable,"reported contributions for Florida STS candidates assigned to the 2016 general-election record, candidate surname beginning B",acquired_unparsed,official_partitioned_form_export,contributions,data/raw/finance/southern/FL/contributions/2016/STS/B.tsv,"{""CanFName"":"""",""CanLName"":""B"",""CanNameSrch"":""2"",""ComName"":"""",""ComNameSrch"":""2"",""Submit"":""Submit"",""ccity"":"""",""cdatefrom"":"""",""cdateto"":"""",""cdistrict"":"""",""cdollar_maximum"":"""",""cdollar_minimum"":"""",""cfname"":"""",""cgroup"":"""",""clname"":"""",""coccupation"":"""",""committee"":""All"",""csort1"":""NAM"",""csort2"":""CAN"",""cstate"":"""",""czipcode"":"""",""election"":""20161108-GEN"",""namesearch"":""2"",""office"":""STS"",""party"":""All"",""queryformat"":""2"",""rowlimit"":""9999"",""search_on"":""1""}",year=2016;office=STS;surname_prefix=B,7893,9999,Raw tab-delimited form export; candidate query partition retained verbatim.
finance:fl:contributions:2016:74bca5a1a8:b7bb0f8e7145,Florida Department of State Division of Elections,https://dos.elections.myflorida.com/cgi-bin/contrib.exe,2026-08-30T18:44:47+00:00,b7bb0f8e71456aeb4af2ddbe7567ad323231eb8c66980537e12ec587a4ed2238,text/tab-separated-values,231017,official public records; reuse terms not stated on download page,FL,2016,not_applicable,"reported contributions for Florida STS candidates assigned to the 2016 general-election record, candidate surname beginning C",acquired_unparsed,official_partitioned_form_export,contributions,data/raw/finance/southern/FL/contributions/2016/STS/C.tsv,"{""CanFName"":"""",""CanLName"":""C"",""CanNameSrch"":""2"",""ComName"":"""",""ComNameSrch"":""2"",""Submit"":""Submit"",""ccity"":"""",""cdatefrom"":"""",""cdateto"":"""",""cdistrict"":"""",""cdollar_maximum"":"""",""cdollar_minimum"":"""",""cfname"":"""",""cgroup"":"""",""clname"":"""",""coccupation"":"""",""committee"":""All"",""csort1"":""NAM"",""csort2"":""CAN"",""cstate"":"""",""czipcode"":"""",""election"":""20161108-GEN"",""namesearch"":""2"",""office"":""STS"",""party"":""All"",""queryformat"":""2"",""rowlimit"":""9999"",""search_on"":""1""}",year=2016;office=STS;surname_prefix=C,1806,9999,Raw tab-delimited form export; candidate query partition retained verbatim.
finance:fl:contributions:2016:2fad5f11b2:34623c63337a,Florida Department of State Division of Elections,https://dos.elections.myflorida.com/cgi-bin/contrib.exe,2026-08-30T18:44:47+00:00,34623c63337a4d8cd08ba216557ca8487a43f9ee3cfc3591d0e260e46e28dcdc,text/tab-separated-values,190962,official public records; reuse terms not stated on download page,FL,2016,not_applicable,"reported contributions for Florida STS candidates assigned to the 2016 general-election record, candidate surname beginning D",acquired_unparsed,official_partitioned_form_export,contributions,data/raw/finance/southern/FL/contributions/2016/STS/D.tsv,"{""CanFName"":"""",""CanLName"":""D"",""CanNameSrch"":""2"",""ComName"":"""",""ComNameSrch"":""2"",""Submit"":""Submit"",""ccity"":"""",""cdatefrom"":"""",""cdateto"":"""",""cdistrict"":"""",""cdollar_maximum"":"""",""cdollar_minimum"":"""",""cfname"":"""",""cgroup"":"""",""clname"":"""",""coccupation"":"""",""committee"":""All"",""csort1"":""NAM"",""csort2"":""CAN"",""cstate"":"""",""czipcode"":"""",""election"":""20161108-GEN"",""namesearch"":""2"",""office"":""STS"",""party"":""All"",""queryformat"":""2"",""rowlimit"":""9999"",""search_on"":""1""}",year=2016;office=STS;surname_prefix=D,1302,9999,Raw tab-delimited form export; candidate query partition retained verbatim.
