state_code,cycle,build_run_id,source_candidate_rows,observed_candidate_rows,accepted_identity_matches,review_identity_matches,unmatched_identity_rows,observed_accepted_matches,candidate_finance_coverage,identity_match_coverage,warehouse_observed_coverage,democratic_republican_races,finance_complete_races,race_finance_coverage
AL,2018,RUN-133197C8B7B94F21A2939B438EDAF692,204,204,204,0,0,204,1.0,1.0,1.0,64,64,1.0
AL,2022,RUN-133197C8B7B94F21A2939B438EDAF692,173,173,173,0,0,173,1.0,1.0,1.0,33,33,1.0
AR,2016,RUN-133197C8B7B94F21A2939B438EDAF692,145,143,143,2,0,142,0.9862068965517241,0.9862068965517241,0.9793103448275862,28,27,0.9642857142857143
AR,2018,RUN-133197C8B7B94F21A2939B438EDAF692,165,164,165,0,0,164,0.9939393939393939,1.0,0.9939393939393939,47,47,1.0
AR,2020,RUN-133197C8B7B94F21A2939B438EDAF692,163,161,160,3,0,160,0.9877300613496932,0.9815950920245399,0.9815950920245399,46,44,0.9565217391304348
AR,2022,RUN-133197C8B7B94F21A2939B438EDAF692,183,180,183,0,0,180,0.9836065573770492,1.0,0.9836065573770492,48,47,0.9791666666666666
AR,2024,RUN-133197C8B7B94F21A2939B438EDAF692,108,108,108,0,0,108,1.0,1.0,1.0,54,54,1.0
FL,2016,RUN-133197C8B7B94F21A2939B438EDAF692,233,233,233,0,0,233,1.0,1.0,1.0,73,73,1.0
FL,2018,RUN-133197C8B7B94F21A2939B438EDAF692,236,231,234,1,1,229,0.9788135593220338,0.9915254237288136,0.9703389830508474,94,90,0.9574468085106383
FL,2020,RUN-133197C8B7B94F21A2939B438EDAF692,254,247,254,0,0,247,0.9724409448818898,1.0,0.9724409448818898,113,108,0.9557522123893806
FL,2022,RUN-133197C8B7B94F21A2939B438EDAF692,250,246,250,0,0,246,0.984,1.0,0.984,90,88,0.9777777777777777
FL,2024,RUN-133197C8B7B94F21A2939B438EDAF692,238,232,238,0,0,232,0.9747899159663865,1.0,0.9747899159663865,119,113,0.9495798319327731
GA,2016,RUN-133197C8B7B94F21A2939B438EDAF692,280,279,280,0,0,279,0.9964285714285714,1.0,0.9964285714285714,44,44,1.0
GA,2018,RUN-133197C8B7B94F21A2939B438EDAF692,325,323,325,0,0,323,0.9938461538461538,1.0,0.9938461538461538,91,89,0.978021978021978
GA,2020,RUN-133197C8B7B94F21A2939B438EDAF692,349,344,349,0,0,344,0.9856733524355301,1.0,0.9856733524355301,114,110,0.9649122807017544
GA,2022,RUN-133197C8B7B94F21A2939B438EDAF692,348,340,348,0,0,340,0.9770114942528736,1.0,0.9770114942528736,112,104,0.9285714285714286
GA,2024,RUN-133197C8B7B94F21A2939B438EDAF692,226,220,226,0,0,220,0.9734513274336283,1.0,0.9734513274336283,113,107,0.9469026548672567
KY,2016,RUN-133197C8B7B94F21A2939B438EDAF692,189,187,189,0,0,187,0.9894179894179894,1.0,0.9894179894179894,70,70,1.0
KY,2018,RUN-133197C8B7B94F21A2939B438EDAF692,220,213,220,0,0,213,0.9681818181818181,1.0,0.9681818181818181,101,94,0.9306930693069307
KY,2020,RUN-133197C8B7B94F21A2939B438EDAF692,187,180,187,0,0,180,0.9625668449197861,1.0,0.9625668449197861,68,62,0.9117647058823529
KY,2022,RUN-133197C8B7B94F21A2939B438EDAF692,173,168,173,0,0,168,0.9710982658959537,1.0,0.9710982658959537,54,51,0.9444444444444444
KY,2024,RUN-133197C8B7B94F21A2939B438EDAF692,102,101,102,0,0,101,0.9901960784313726,1.0,0.9901960784313726,51,50,0.9803921568627451
LA,2019,RUN-133197C8B7B94F21A2939B438EDAF692,60,58,60,0,0,58,0.9666666666666667,1.0,0.9666666666666667,23,22,0.9565217391304348
LA,2023,RUN-133197C8B7B94F21A2939B438EDAF692,40,38,40,0,0,38,0.95,1.0,0.95,18,17,0.9444444444444444
MO,2016,RUN-133197C8B7B94F21A2939B438EDAF692,255,0,255,0,0,0,0.0,1.0,0.0,75,0,0.0
MO,2018,RUN-133197C8B7B94F21A2939B438EDAF692,313,0,311,2,0,0,0.0,0.9936102236421726,0.0,133,0,0.0
MO,2020,RUN-133197C8B7B94F21A2939B438EDAF692,270,0,269,1,0,0,0.0,0.9962962962962963,0.0,90,0,0.0
MO,2022,RUN-133197C8B7B94F21A2939B438EDAF692,260,0,260,0,0,0,0.0,1.0,0.0,80,0,0.0
MO,2024,RUN-133197C8B7B94F21A2939B438EDAF692,248,0,248,0,0,0,0.0,1.0,0.0,124,0,0.0
MS,2019,RUN-133197C8B7B94F21A2939B438EDAF692,213,16,213,0,0,16,0.07511737089201878,1.0,0.07511737089201878,40,0,0.0
MS,2023,RUN-133197C8B7B94F21A2939B438EDAF692,50,3,50,0,0,3,0.06,1.0,0.06,25,0,0.0
NC,2016,RUN-133197C8B7B94F21A2939B438EDAF692,262,262,262,0,0,262,1.0,1.0,1.0,92,92,1.0
NC,2018,RUN-133197C8B7B94F21A2939B438EDAF692,337,337,337,0,0,337,1.0,1.0,1.0,167,167,1.0
NC,2020,RUN-133197C8B7B94F21A2939B438EDAF692,326,326,326,0,0,326,1.0,1.0,1.0,156,156,1.0
NC,2022,RUN-133197C8B7B94F21A2939B438EDAF692,286,286,286,0,0,286,1.0,1.0,1.0,116,116,1.0
NC,2024,RUN-133197C8B7B94F21A2939B438EDAF692,264,264,264,0,0,264,1.0,1.0,1.0,132,132,1.0
OK,2016,RUN-133197C8B7B94F21A2939B438EDAF692,212,204,212,0,0,204,0.9622641509433962,1.0,0.9622641509433962,87,79,0.9080459770114943
OK,2018,RUN-133197C8B7B94F21A2939B438EDAF692,216,215,216,0,0,215,0.9953703703703703,1.0,0.9953703703703703,91,90,0.989010989010989
OK,2020,RUN-133197C8B7B94F21A2939B438EDAF692,173,172,173,0,0,172,0.9942196531791907,1.0,0.9942196531791907,48,47,0.9791666666666666
OK,2022,RUN-133197C8B7B94F21A2939B438EDAF692,161,159,161,0,0,159,0.9875776397515528,1.0,0.9875776397515528,36,34,0.9444444444444444
OK,2024,RUN-133197C8B7B94F21A2939B438EDAF692,68,66,68,0,0,66,0.9705882352941176,1.0,0.9705882352941176,34,32,0.9411764705882353
SC,2016,RUN-133197C8B7B94F21A2939B438EDAF692,209,205,197,12,0,193,0.9808612440191388,0.9425837320574163,0.9234449760765551,39,37,0.9487179487179487
SC,2018,RUN-133197C8B7B94F21A2939B438EDAF692,169,164,168,1,0,163,0.9704142011834319,0.9940828402366864,0.9644970414201184,45,40,0.8888888888888888
SC,2020,RUN-133197C8B7B94F21A2939B438EDAF692,251,246,250,1,0,245,0.9800796812749004,0.9960159362549801,0.9760956175298805,81,76,0.9382716049382716
SC,2022,RUN-133197C8B7B94F21A2939B438EDAF692,174,172,173,1,0,171,0.9885057471264368,0.9942528735632183,0.9827586206896551,50,48,0.96
SC,2024,RUN-133197C8B7B94F21A2939B438EDAF692,138,138,138,0,0,138,1.0,1.0,1.0,69,69,1.0
TN,2016,RUN-133197C8B7B94F21A2939B438EDAF692,171,171,171,0,0,171,1.0,1.0,1.0,56,56,1.0
TN,2018,RUN-133197C8B7B94F21A2939B438EDAF692,201,201,201,0,0,201,1.0,1.0,1.0,85,85,1.0
TN,2020,RUN-133197C8B7B94F21A2939B438EDAF692,162,161,162,0,0,161,0.9938271604938271,1.0,0.9938271604938271,47,46,0.9787234042553191
TN,2022,RUN-133197C8B7B94F21A2939B438EDAF692,160,160,160,0,0,160,1.0,1.0,1.0,44,44,1.0
TN,2024,RUN-133197C8B7B94F21A2939B438EDAF692,140,140,140,0,0,140,1.0,1.0,1.0,70,70,1.0
TX,2016,RUN-133197C8B7B94F21A2939B438EDAF692,222,220,222,0,0,220,0.990990990990991,1.0,0.990990990990991,56,55,0.9821428571428571
TX,2018,RUN-133197C8B7B94F21A2939B438EDAF692,272,270,272,0,0,270,0.9926470588235294,1.0,0.9926470588235294,107,105,0.9813084112149533
TX,2020,RUN-133197C8B7B94F21A2939B438EDAF692,273,270,273,0,0,270,0.989010989010989,1.0,0.989010989010989,107,104,0.9719626168224299
TX,2022,RUN-133197C8B7B94F21A2939B438EDAF692,279,277,279,0,0,277,0.992831541218638,1.0,0.992831541218638,98,96,0.9795918367346939
TX,2024,RUN-133197C8B7B94F21A2939B438EDAF692,198,196,196,0,2,194,0.98989898989899,0.98989898989899,0.9797979797979798,99,96,0.9696969696969697
VA,2017,RUN-133197C8B7B94F21A2939B438EDAF692,160,159,160,0,0,159,0.99375,1.0,0.99375,60,59,0.9833333333333333
VA,2019,RUN-133197C8B7B94F21A2939B438EDAF692,226,224,226,0,0,224,0.9911504424778761,1.0,0.9911504424778761,86,84,0.9767441860465116
VA,2021,RUN-133197C8B7B94F21A2939B438EDAF692,191,190,191,0,0,190,0.9947643979057592,1.0,0.9947643979057592,91,90,0.989010989010989
VA,2023,RUN-133197C8B7B94F21A2939B438EDAF692,198,194,198,0,0,194,0.9797979797979798,1.0,0.9797979797979798,99,95,0.9595959595959596
