state,year,chamber,outcome_rows_current,contested_races_current,outcome_status,observed_baseline_races,research_baseline_races,baseline_status,accepted_incumbency_races,accepted_incumbency_gap_known_current,incumbency_status,incumbency_quality_values,local_source_status,local_source_path,demographics_status,demographics_reference_year,finance_status,strict_war_races_current,research_war_races_current,strict_war_gap_known_current,core_war_status,basic_forecast_status,full_forecast_status,priority_tier,next_action
AR,2022,house,100,35,current_panel,0,35,synthetic_only,35,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/arkansas_2022_openelections/counties/,unified_ready,2022.0,comparable_candidate_finance_missing,0,35,35,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
AR,2022,senate,35,13,current_panel,0,13,synthetic_only,13,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/arkansas_2022_openelections/counties/,unified_ready,2022.0,comparable_candidate_finance_missing,0,13,13,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
AR,2024,house,49,49,contested_only_current,0,49,synthetic_only,48,1,accepted_partial,experimental_exact_prior_winner|reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ar24.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,49,49,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;complete_incumbency_review;acquire_harmonized_candidate_finance
AR,2024,senate,5,5,contested_only_current,0,5,synthetic_only,5,0,accepted_complete,reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ar24.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,5,5,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
FL,2022,house,120,67,current_panel,0,0,missing,67,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/2022-gen-outputofficial.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,67,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
FL,2022,senate,40,23,current_panel,0,0,missing,23,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/2022-gen-outputofficial.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,23,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
FL,2024,house,102,102,contested_only_current,0,0,missing,0,102,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/2024-gen-outputofficial1.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,102,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
FL,2024,senate,17,17,contested_only_current,0,0,missing,0,17,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/2024-gen-outputofficial1.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,17,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
GA,2022,house,180,86,current_panel,0,86,synthetic_only,86,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/ga_2022_gen_prec.zip,unified_ready,2022.0,comparable_candidate_finance_missing,0,86,86,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
GA,2022,senate,56,26,current_panel,0,26,synthetic_only,26,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/ga_2022_gen_prec.zip,unified_ready,2022.0,comparable_candidate_finance_missing,0,26,26,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
GA,2024,house,90,90,contested_only_current,0,90,synthetic_only,88,2,accepted_partial,experimental_exact_prior_winner|reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/ga_2024_gen_prec_csv.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,90,90,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;complete_incumbency_review;acquire_harmonized_candidate_finance
GA,2024,senate,23,23,contested_only_current,0,23,synthetic_only,23,0,accepted_complete,reviewed_inference,complete_bundle_downloaded,data/raw/historical_statewide_elections/ga_2024_gen_prec_csv.zip,unified_ready,2024.0,comparable_candidate_finance_missing,0,23,23,research_only,repairable_from_local_or_current_sources,not_ready,1,replace_synthetic_baseline_from_local_bundle;acquire_harmonized_candidate_finance
KY,2022,house,100,46,current_panel,0,0,missing,46,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-ky-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,46,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2022,senate,19,8,current_panel,0,0,missing,8,0,accepted_complete,source_observed,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2022/2022-ky-local-precinct-general.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,8,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2024,house,44,44,contested_only_current,0,0,missing,0,44,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ky24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,44,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
KY,2024,senate,7,7,contested_only_current,0,0,missing,0,7,experimental_only,experimental_exact_prior_winner,complete_bundle_downloaded,data/raw/historical_statewide_elections/medsl_github/2024/ky24.zip,not_in_unified_mart,,comparable_candidate_finance_missing,0,0,7,not_ready,repairable_from_local_or_current_sources,not_ready,1,normalize_local_ticket_context;review_incumbency;build_harmonized_district_demographics;acquire_harmonized_candidate_finance
