state,cycles,access_status,url,save_under,reason
GA,2012,manual_browser_download,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,data/raw/southern_sos_elections/GA/2012/,Official ZIP is exposed by the SOS index but automated requests receive Cloudflare 403.
GA,2014,manual_browser_download,https://sos.ga.gov/sites/default/files/2026-04/november_4_2014_-_general_election.zip,data/raw/southern_sos_elections/GA/2014/,Official ZIP is exposed by the SOS index but automated requests receive Cloudflare 403.
GA,2016,manual_browser_download,https://sos.ga.gov/sites/default/files/2026-04/november_8_2016_-_general_election.zip,data/raw/southern_sos_elections/GA/2016/,Official ZIP is exposed by the SOS index but automated requests receive Cloudflare 403.
MO,1996-2016,purchase_or_records_request,https://www.sos.mo.gov/elections/s_default.asp?id=calendar,data/raw/southern_sos_elections/MO/{year}/,Missouri says precinct-level general-election data from 1996 onward are available for purchase from its Elections Division.
AR,2008,official_archive_contact,https://www.sos.arkansas.gov/elections/research/election-results,data/raw/southern_sos_elections/AR/2008/,No downloadable 2008 precinct export was exposed; the SOS page directs users to Elections staff for temporarily unavailable data.
FL,1994-2010,official_archive_no_public_file,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results/,data/raw/southern_sos_elections/FL/{year}/,The official precinct-download collection begins with 2012.
GA,1994-2010,official_archive_no_public_file,https://sos.ga.gov/page/historical-elections-results,data/raw/southern_sos_elections/GA/{year}/,The official page exposes precinct/summary ZIPs only for later elections.
NC,1994-1998,official_archive_no_public_file,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,data/raw/southern_sos_elections/NC/{year}/,The current official bulk collection exposes precinct results beginning in 2000.
MS,"1995,1999",official_archive_or_records_request,https://www.sos.ms.gov/elections-voting/election-results,data/raw/southern_sos_elections/MS/{year}/,The accessible official county-recap archive begins with the 2003 state cycle.
OK,1994-2008,official_library_archive_no_precinct_export,https://digitalprairie.ok.gov/digital/collection/stgovpub/id/16640/,data/raw/southern_sos_elections/OK/{year}/,"Official election publications are archived, but no machine-readable precinct export was exposed for these cycles."
SC,1994-2006,official_reports_no_current_precinct_export,https://scvotes.gov/elections-statistics/election-results/,data/raw/southern_sos_elections/SC/{year}/,Official reports were downloaded; their historical precinct-return link is retired and the current election database begins in 2008.
TN,"1994,1996",official_archive_no_general_precinct_file,https://sos.tn.gov/elections/results,data/raw/southern_sos_elections/TN/{year}/,The current archive exposes later general precinct files but no 1994 or 1996 general precinct download.
KY,1994-2000,official_archive_no_vote_precinct_file,https://elect.ky.gov/results/Pages/default.aspx,data/raw/southern_sos_elections/KY/{year}/,"Older files exposed by the archive are county/district totals or precinct registration statistics, not precinct vote returns."
VA,1995-2003,official_database_locality_only,https://historical.elections.virginia.gov/,data/raw/southern_sos_elections/VA/{year}/,"Contest CSVs are downloadable, but inspection shows locality rather than precinct detail for these cycles."
