source_file_id,parser_name,input_candidate_rows,output_candidate_rows,input_votes,output_votes,vote_delta,reconciliation_status,note
SRC-45E1E5F0AE3477EE7AE3,arkansas_pre2000_validated_staging,161,161,1938582,1938582,0,exact,Imported from the independently validated Arkansas pre-2000 staging build
SRC-E804AC109AC4284D7A77,arkansas_pre2000_validated_staging,105,105,3086248,3086248,0,exact,Imported from the independently validated Arkansas pre-2000 staging build
SRC-D85A517F4CD6385A482A,arkansas_pre2000_validated_staging,175,175,3012989,3012989,0,exact,Imported from the independently validated Arkansas pre-2000 staging build
SRC-F54E56444A492EF3B9F3,arkansas_pipe_precinct_zip,30610,96,2075868,2075868,0,exact,
SRC-BA02217600F301672623,arkansas_precinct_workbook,28317,23,2335415,2335415,0,exact,
SRC-D7FB5EFFB04F77C1D413,arkansas_tally_json,167,167,3103370,3103370,0,exact,
SRC-2B2A2AD7908607C4B63C,arkansas_tally_json,109,109,2845495,2845495,0,exact,
SRC-0E240D0A1449A634672B,arkansas_tally_json,107,107,3851375,3851375,0,exact,
SRC-82BC5844F398D51050C3,florida_precinct_zip,190136,598,44931769,44931769,0,exact,
SRC-2B7AA9C032AF5EBF3593,florida_precinct_zip,81967,505,16216281,16216281,0,exact,
SRC-C0EA930396F24DD90A48,florida_precinct_zip,165109,591,40747834,40747834,0,exact,
SRC-D6EC3B9EC24BB3E60039,kentucky_state_summary,194,194,4775680,4775680,0,exact,
SRC-F782A3B1B42880C37D63,kentucky_state_summary,181,181,3653837,3653837,0,exact,
SRC-7D73F3A30DC1BC934BED,kentucky_state_summary,203,203,7329522,7329522,0,exact,
SRC-2ECBD0D983A553EDE565,kentucky_state_summary,188,188,2899466,2899466,0,exact,
SRC-448F3B95BC46674EDF28,kentucky_state_summary,179,179,7623864,7623864,0,exact,
SRC-040D2C5F4874A9BFB60E,louisiana_by_precinct_csv,82,2,12266,12266,0,exact,
SRC-04E7F98821C6600F880F,louisiana_by_precinct_csv,56,2,16187,16187,0,exact,
SRC-08079CC2DA4806420B53,louisiana_by_precinct_csv,60,2,12437,12437,0,exact,
SRC-09C1E58F53F346715EF2,louisiana_by_precinct_csv,556,4,31954,31954,0,exact,
SRC-09FB4A505075975ACDD6,louisiana_by_precinct_csv,235,5,14534,14534,0,exact,
SRC-0A82E0ABC2D71BA82AC9,louisiana_by_precinct_csv,118,2,16737,16737,0,exact,
SRC-0D70F904F699619B05B8,louisiana_by_precinct_csv,147,3,13700,13700,0,exact,
SRC-0E6BDD9EFE7C351374E8,louisiana_by_precinct_csv,98,2,16519,16519,0,exact,
SRC-0F95722236FF5464A70B,louisiana_by_precinct_csv,102,2,16632,16632,0,exact,
SRC-11D69A28C7A296AEDF60,louisiana_by_precinct_csv,72,2,15332,15332,0,exact,
SRC-123837B4FF3C71C8AAF5,louisiana_by_precinct_csv,184,4,11798,11798,0,exact,
SRC-162AC4DD6C384D3E1CBE,louisiana_by_precinct_csv,38,2,11172,11172,0,exact,
SRC-1A0EFDB24318018C4231,louisiana_by_precinct_csv,219,3,25208,25208,0,exact,
SRC-1B10251E487636BC8A9D,louisiana_by_precinct_csv,156,4,6774,6774,0,exact,
SRC-1BD358CF3A8AD6AD8358,louisiana_by_precinct_csv,234,2,41898,41898,0,exact,
SRC-1C25FDF82C86A174FDE6,louisiana_by_precinct_csv,68,2,14963,14963,0,exact,
SRC-1DC449801C26D445C62E,louisiana_by_precinct_csv,114,3,16363,16363,0,exact,
SRC-1EC5219F547700A41B5F,louisiana_by_precinct_csv,630,7,32322,32322,0,exact,
SRC-21D93EF186721AEFB28D,louisiana_by_precinct_csv,240,3,26156,26156,0,exact,
SRC-22F9DC38430FF462204F,louisiana_by_precinct_csv,576,6,31715,31715,0,exact,
SRC-23568F8EA0B2434BAC10,louisiana_by_precinct_csv,110,5,11449,11449,0,exact,
SRC-238DA7D9EA6A5C5F1480,louisiana_by_precinct_csv,72,2,15109,15109,0,exact,
SRC-25DFCE1F924DA8FDB886,louisiana_by_precinct_csv,156,2,16808,16808,0,exact,
SRC-2818C22D06B763300207,louisiana_by_precinct_csv,219,3,42704,42704,0,exact,
SRC-2A0E9822DB075DF0BD7F,louisiana_by_precinct_csv,84,2,8836,8836,0,exact,
SRC-2AB0FFFF0788D9DF5994,louisiana_by_precinct_csv,70,2,13304,13304,0,exact,
SRC-2BA8A65450D49FD7CABF,louisiana_by_precinct_csv,180,2,34972,34972,0,exact,
SRC-2CF8247816BB544EACE1,louisiana_by_precinct_csv,42,2,10354,10354,0,exact,
SRC-2F0FE3692DBBEF091877,louisiana_by_precinct_csv,110,2,14343,14343,0,exact,
SRC-304D17ABA1F92B46AC29,louisiana_by_precinct_csv,234,6,13892,13892,0,exact,
SRC-33DEC5D0FF16D23FE125,louisiana_by_precinct_csv,321,3,40939,40939,0,exact,
SRC-34B98C72124D76B66C1E,louisiana_by_precinct_csv,36,2,9783,9783,0,exact,
SRC-3639460922FC8FFAB470,louisiana_by_precinct_csv,294,2,43140,43140,0,exact,
SRC-3AD3A330DCAFE2C85FED,louisiana_by_precinct_csv,62,2,12635,12635,0,exact,
SRC-3F4538347CF57A37C50E,louisiana_by_precinct_csv,176,2,14354,14354,0,exact,
SRC-4041F0E6BD1260F17AC5,louisiana_by_precinct_csv,222,6,11326,11326,0,exact,
SRC-417E55608454A10A38BA,louisiana_by_precinct_csv,150,2,14384,14384,0,exact,
SRC-422767961B0D66849F4C,louisiana_by_precinct_csv,376,2,37225,37225,0,exact,
SRC-45261E0F10DFDC1FE871,louisiana_by_precinct_csv,74,2,12573,12573,0,exact,
SRC-4764B6CA2D0716A270B0,louisiana_by_precinct_csv,40,2,9804,9804,0,exact,
SRC-47907FB67E16C36364AC,louisiana_by_precinct_csv,146,2,44621,44621,0,exact,
SRC-4A7411E703090E6B3330,louisiana_by_precinct_csv,78,2,14444,14444,0,exact,
SRC-4C14819B4B766D0C59BD,louisiana_by_precinct_csv,138,2,16536,16536,0,exact,
SRC-4E69D1ACE40842EEB9CC,louisiana_by_precinct_csv,260,2,29240,29240,0,exact,
SRC-500F3C32E830AE7BE37C,louisiana_by_precinct_csv,148,2,36601,36601,0,exact,
SRC-537E0D478480AC6734A0,louisiana_by_precinct_csv,76,2,18349,18349,0,exact,
SRC-5414B3909601793A3000,louisiana_by_precinct_csv,304,8,16320,16320,0,exact,
SRC-54E241E18DF89D686B7D,louisiana_by_precinct_csv,162,3,12097,12097,0,exact,
SRC-579320C0FE2711CD902B,louisiana_by_precinct_csv,108,4,12998,12998,0,exact,
SRC-57F50C9F1F63A36537A7,louisiana_by_precinct_csv,81,3,17522,17522,0,exact,
SRC-582E92CF4B16B0AC865C,louisiana_by_precinct_csv,142,2,29036,29036,0,exact,
SRC-590E6006E0ADB0F2352C,louisiana_by_precinct_csv,58,2,9258,9258,0,exact,
SRC-5AA461F5C7BE614BED2C,louisiana_by_precinct_csv,184,2,43004,43004,0,exact,
SRC-5C7ABAC72EC36C5CB5AB,louisiana_by_precinct_csv,112,4,14637,14637,0,exact,
SRC-6098E0EDA014C12D4E0B,louisiana_by_precinct_csv,702,6,37790,37790,0,exact,
SRC-63624DE2613A91D0E6C9,louisiana_by_precinct_csv,228,3,30332,30332,0,exact,
SRC-65B8BB34BEB54F240C9F,louisiana_by_precinct_csv,116,2,15259,15259,0,exact,
SRC-65E2DCB665CD673719CA,louisiana_by_precinct_csv,132,3,16615,16615,0,exact,
SRC-67C91C180576634A4DEA,louisiana_by_precinct_csv,192,3,14145,14145,0,exact,
SRC-6BA4C1BC1FFA39F14E5F,louisiana_by_precinct_csv,76,2,18197,18197,0,exact,
SRC-6DC8CBB0AF16BA971EFC,louisiana_by_precinct_csv,70,2,17267,17267,0,exact,
SRC-6E747C8E72EE5125D066,louisiana_by_precinct_csv,108,3,11998,11998,0,exact,
SRC-706774D3ADE5932D7D1B,louisiana_by_precinct_csv,72,2,15366,15366,0,exact,
SRC-71957A9DACDFD8E6EAA2,louisiana_by_precinct_csv,230,2,33986,33986,0,exact,
SRC-74D48A2DD7E58F9E8CF8,louisiana_by_precinct_csv,58,2,10514,10514,0,exact,
SRC-76EF50A290410C9664B5,louisiana_by_precinct_csv,195,3,15860,15860,0,exact,
SRC-76FD71F1289731ED0AF3,louisiana_by_precinct_csv,66,2,10653,10653,0,exact,
SRC-77D1D41368803463A84E,louisiana_by_precinct_csv,46,2,15187,15187,0,exact,
SRC-7C43DBC311EA98E9C8FB,louisiana_by_precinct_csv,102,2,15072,15072,0,exact,
SRC-7DC67DC8E6BB91214E64,louisiana_by_precinct_csv,204,4,15783,15783,0,exact,
SRC-7F7248A9EFAA2E3C0EB4,louisiana_by_precinct_csv,62,2,13855,13855,0,exact,
SRC-8043849857EFF29D2FE4,louisiana_by_precinct_csv,152,2,34722,34722,0,exact,
SRC-816006B62D1A23CF05BF,louisiana_by_precinct_csv,50,2,9728,9728,0,exact,
SRC-84BDB448A690A4E4243F,louisiana_by_precinct_csv,52,2,12205,12205,0,exact,
SRC-8520211A0B0DA61F1DA5,louisiana_by_precinct_csv,140,5,19509,19509,0,exact,
SRC-882E62FD6F6DA3FE06BE,louisiana_by_precinct_csv,287,7,11529,11529,0,exact,
SRC-8C18240A67D970F30794,louisiana_by_precinct_csv,256,2,42233,42233,0,exact,
SRC-8E8A809027B447ADB087,louisiana_by_precinct_csv,94,2,15425,15425,0,exact,
SRC-919050F54E093C5F0BCB,louisiana_by_precinct_csv,58,2,16774,16774,0,exact,
SRC-98E3C14CFA3BFF4A15EC,louisiana_by_precinct_csv,108,2,13262,13262,0,exact,
SRC-9BEDB42507D0A4C19166,louisiana_by_precinct_csv,60,2,13965,13965,0,exact,
SRC-9BFA5E4072B27FEA8836,louisiana_by_precinct_csv,136,4,10328,10328,0,exact,
SRC-9C2ED5108593FF061E44,louisiana_by_precinct_csv,102,3,8894,8894,0,exact,
SRC-9E5482ACE34E4596C4CA,louisiana_by_precinct_csv,188,2,17367,17367,0,exact,
SRC-A21FE2A57FB93771CF41,louisiana_by_precinct_csv,86,2,13605,13605,0,exact,
SRC-A32F855AACD6D6C0FFD1,louisiana_by_precinct_csv,168,2,41230,41230,0,exact,
SRC-A4CA86C9B84800977EAD,louisiana_by_precinct_csv,640,5,36361,36361,0,exact,
SRC-A81966C534DFB4BE6920,louisiana_by_precinct_csv,300,4,13845,13845,0,exact,
SRC-A8C7EA3A08B59AF723F2,louisiana_by_precinct_csv,304,4,32760,32760,0,exact,
SRC-A8FA122ED82C813FE8D2,louisiana_by_precinct_csv,516,3,40449,40449,0,exact,
SRC-A99F2211A3DC555922CE,louisiana_by_precinct_csv,284,2,30110,30110,0,exact,
SRC-AA7A0DFE412D9942D213,louisiana_by_precinct_csv,130,2,32319,32319,0,exact,
SRC-AAB271C4B1FBEFA870D0,louisiana_by_precinct_csv,214,2,44207,44207,0,exact,
SRC-AB4F38655AFDADF32211,louisiana_by_precinct_csv,60,2,14848,14848,0,exact,
SRC-AB65F902943A7405E275,louisiana_by_precinct_csv,213,3,29058,29058,0,exact,
SRC-ABF990BF18CE89D7CF78,louisiana_by_precinct_csv,840,10,36611,36611,0,exact,
SRC-ACBD35DA1FA959A2F4E0,louisiana_by_precinct_csv,105,3,8803,8803,0,exact,
SRC-ADA74AE594F28BF3FDD4,louisiana_by_precinct_csv,68,2,11869,11869,0,exact,
SRC-B4F3E378ED76E4F79223,louisiana_by_precinct_csv,108,3,13407,13407,0,exact,
SRC-B711BFEDCAE5E28D5AB7,louisiana_by_precinct_csv,78,2,8299,8299,0,exact,
SRC-B7968A5649F61E356747,louisiana_by_precinct_csv,72,2,15843,15843,0,exact,
SRC-B89362C51662310438B5,louisiana_by_precinct_csv,168,2,15942,15942,0,exact,
SRC-BBB46B3D761B65CA369F,louisiana_by_precinct_csv,222,3,36947,36947,0,exact,
SRC-BBC21012788E34236FC5,louisiana_by_precinct_csv,90,2,17618,17618,0,exact,
SRC-BE9530F3D9CE8BD43D41,louisiana_by_precinct_csv,276,4,14863,14863,0,exact,
SRC-C0AC5A10FBF4883598B2,louisiana_by_precinct_csv,80,4,7617,7617,0,exact,
SRC-C23825E0E3B550B23D31,louisiana_by_precinct_csv,152,2,32545,32545,0,exact,
SRC-C25E6FDD0B2FB29F8B4B,louisiana_by_precinct_csv,390,2,41344,41344,0,exact,
SRC-C48603C2F4A47E76ADF8,louisiana_by_precinct_csv,96,4,10053,10053,0,exact,
SRC-C496E34BD0868ED4B4A3,louisiana_by_precinct_csv,87,3,14883,14883,0,exact,
SRC-C584C0572BBC88308865,louisiana_by_precinct_csv,120,3,9965,9965,0,exact,
SRC-C8AF9741A16DE7182124,louisiana_by_precinct_csv,46,2,9156,9156,0,exact,
SRC-C9B8B936ED7496A590F3,louisiana_by_precinct_csv,44,2,12561,12561,0,exact,
SRC-CCA15BD6C14642C61FD8,louisiana_by_precinct_csv,46,2,14148,14148,0,exact,
SRC-CE0CB3DB032F8D804AAC,louisiana_by_precinct_csv,234,2,37336,37336,0,exact,
SRC-CF5B18924E8025D59CA3,louisiana_by_precinct_csv,64,2,7940,7940,0,exact,
SRC-CFFED255A1C41FE7BD09,louisiana_by_precinct_csv,278,2,24645,24645,0,exact,
SRC-D51C14B6D22FAD9E52A8,louisiana_by_precinct_csv,111,3,11344,11344,0,exact,
SRC-D65208DE93F58BBD190C,louisiana_by_precinct_csv,32,2,7148,7148,0,exact,
SRC-D65B3989BD89842FE90E,louisiana_by_precinct_csv,120,2,29357,29357,0,exact,
SRC-D6ADC25890461C507F21,louisiana_by_precinct_csv,90,2,14137,14137,0,exact,
SRC-D9894BC6A42FEE78C3F8,louisiana_by_precinct_csv,164,2,15872,15872,0,exact,
SRC-D9CFBC48296468C29177,louisiana_by_precinct_csv,344,2,40883,40883,0,exact,
SRC-DA0F6F410771DD4173CC,louisiana_by_precinct_csv,62,2,16088,16088,0,exact,
SRC-DA20704BDCB114F04114,louisiana_by_precinct_csv,66,2,8916,8916,0,exact,
SRC-DAE4CD18520278D01F7C,louisiana_by_precinct_csv,78,3,7265,7265,0,exact,
SRC-E0914D8B2AD9E671F653,louisiana_by_precinct_csv,136,2,11758,11758,0,exact,
SRC-E0FAAC53B0EBDCF65BBA,louisiana_by_precinct_csv,56,2,18997,18997,0,exact,
SRC-E4A5BD5C29362CECA2F6,louisiana_by_precinct_csv,206,2,36896,36896,0,exact,
SRC-E9B5140E4E82D5E34C79,louisiana_by_precinct_csv,218,2,25804,25804,0,exact,
SRC-EACAED99FE68E64B6737,louisiana_by_precinct_csv,52,2,13766,13766,0,exact,
SRC-ECFC883FC800E2ADE141,louisiana_by_precinct_csv,104,2,17876,17876,0,exact,
SRC-EEA35DE6F29FF4E64010,louisiana_by_precinct_csv,84,4,8770,8770,0,exact,
SRC-F0AF0E22E91C5B79FDEF,louisiana_by_precinct_csv,81,3,7293,7293,0,exact,
SRC-F16793613EBF5A87C6BA,louisiana_by_precinct_csv,192,2,34071,34071,0,exact,
SRC-F23C74B49D7CA4FE03BD,louisiana_by_precinct_csv,470,5,17866,17866,0,exact,
SRC-F261BB71DEB12B47C1D8,louisiana_by_precinct_csv,198,3,24425,24425,0,exact,
SRC-F5AC7AF15FB1AA0880BB,louisiana_by_precinct_csv,69,3,6046,6046,0,exact,
SRC-F909821DB09EA7C7B54B,louisiana_by_precinct_csv,175,5,15931,15931,0,exact,
SRC-FC0EBA3A35780786DC90,louisiana_by_precinct_csv,84,3,8503,8503,0,exact,
SRC-FC4C9256DCCE21B102C7,louisiana_by_precinct_csv,186,2,47531,47531,0,exact,
SRC-FD905A4137724DFFB0FB,louisiana_by_precinct_csv,208,4,16951,16951,0,exact,
SRC-FDD0D022A5C3D4402FBB,louisiana_by_precinct_csv,105,3,13815,13815,0,exact,
SRC-FFE2E6374F73F58CD1F7,louisiana_by_precinct_csv,228,3,16496,16496,0,exact,
SRC-01F4194A740B19899BC1,louisiana_by_precinct_csv,62,2,11684,11684,0,exact,
SRC-0355374B0640ABC9049C,louisiana_by_precinct_csv,78,3,5852,5852,0,exact,
SRC-058DCE624045C8998B2F,louisiana_by_precinct_csv,135,5,6044,6044,0,exact,
SRC-0D4831B9FBC674F6E3AF,louisiana_by_precinct_csv,236,2,28982,28982,0,exact,
SRC-0FEE682FCAD525C836FE,louisiana_by_precinct_csv,108,4,12396,12396,0,exact,
SRC-158CB47DEA55E1418613,louisiana_by_precinct_csv,52,2,10474,10474,0,exact,
SRC-185D4E3987180205462E,louisiana_by_precinct_csv,112,4,7098,7098,0,exact,
SRC-18FF4A4783CFB86A6BAC,louisiana_by_precinct_csv,342,2,38955,38955,0,exact,
SRC-2367916461392CEDA78E,louisiana_by_precinct_csv,81,3,12095,12095,0,exact,
SRC-296E0D7BA6751BB7F5C1,louisiana_by_precinct_csv,177,3,15300,15300,0,exact,
SRC-2C8F0BDDB21BA6BCEA81,louisiana_by_precinct_csv,62,2,6575,6575,0,exact,
SRC-2E2790EBB690C29E0BD4,louisiana_by_precinct_csv,112,4,11992,11992,0,exact,
SRC-2FCE282B79803C9A5E8D,louisiana_by_precinct_csv,94,2,11856,11856,0,exact,
SRC-32A6D24DD5C29342E13C,louisiana_by_precinct_csv,84,2,9340,9340,0,exact,
SRC-382F7F3EFBB108893168,louisiana_by_precinct_csv,256,2,36532,36532,0,exact,
SRC-38A23181D4C5E2F1D162,louisiana_by_precinct_csv,254,2,34127,34127,0,exact,
SRC-39DF94DAD1D3455B52C8,louisiana_by_precinct_csv,52,2,10161,10161,0,exact,
SRC-3A96E89F2C7A0ADA8ACF,louisiana_by_precinct_csv,140,2,38046,38046,0,exact,
SRC-3B334723075A6055E530,louisiana_by_precinct_csv,54,2,3975,3975,0,exact,
SRC-41C37C3F0D8C68472443,louisiana_by_precinct_csv,124,4,15938,15938,0,exact,
SRC-4672139973BD68A6B10D,louisiana_by_precinct_csv,90,2,14911,14911,0,exact,
SRC-468A906B5C8F419CEACF,louisiana_by_precinct_csv,62,2,7913,7913,0,exact,
SRC-4A5043D6CCCF631EF3C4,louisiana_by_precinct_csv,60,2,13955,13955,0,exact,
SRC-4E29378EA4FAD3DEC220,louisiana_by_precinct_csv,58,2,12352,12352,0,exact,
SRC-4F5D6290AF3A16D41985,louisiana_by_precinct_csv,94,2,14738,14738,0,exact,
SRC-50541C45972F2A321BDE,louisiana_by_precinct_csv,84,3,16487,16487,0,exact,
SRC-51351D02A586CBB6768E,louisiana_by_precinct_csv,165,3,14304,14304,0,exact,
SRC-574621079D32FCC8B08E,louisiana_by_precinct_csv,60,2,12107,12107,0,exact,
SRC-57D0B77EB4F5EDED420A,louisiana_by_precinct_csv,94,2,12924,12924,0,exact,
SRC-586D7DEED5F90DE88B8B,louisiana_by_precinct_csv,96,4,9767,9767,0,exact,
SRC-5A3E04F61CEF24721DB9,louisiana_by_precinct_csv,111,3,15476,15476,0,exact,
SRC-5AA1B655CD7DE1CBD703,louisiana_by_precinct_csv,117,3,8734,8734,0,exact,
SRC-5C01A72587F24E234A7D,louisiana_by_precinct_csv,220,2,39684,39684,0,exact,
SRC-5C257284A0E60B14B680,louisiana_by_precinct_csv,52,2,10042,10042,0,exact,
SRC-5FC77C883799378B610A,louisiana_by_precinct_csv,288,4,35895,35895,0,exact,
SRC-72D6579EB52402CFAFDA,louisiana_by_precinct_csv,210,2,35068,35068,0,exact,
SRC-75F9ECB269BF6ED54E29,louisiana_by_precinct_csv,282,3,27425,27425,0,exact,
SRC-7904AA0FB2445CD31E55,louisiana_by_precinct_csv,93,3,8394,8394,0,exact,
SRC-7C48F13BB1BB59C89D87,louisiana_by_precinct_csv,114,3,12629,12629,0,exact,
SRC-82B641293ED37F07DC03,louisiana_by_precinct_csv,172,2,15658,15658,0,exact,
SRC-845ABA0757FA3E053067,louisiana_by_precinct_csv,129,3,15759,15759,0,exact,
SRC-85081467A0AEBA4AA153,louisiana_by_precinct_csv,339,3,30309,30309,0,exact,
SRC-8665EECDF3F14DFFBD7B,louisiana_by_precinct_csv,204,3,14497,14497,0,exact,
SRC-86CD7A50238D98BDB979,louisiana_by_precinct_csv,40,2,6113,6113,0,exact,
SRC-876F0C12A646D45909E0,louisiana_by_precinct_csv,93,3,10738,10738,0,exact,
SRC-8838EF5C7218A88607D8,louisiana_by_precinct_csv,278,2,31052,31052,0,exact,
SRC-8C4A7A3C393E00CF34B0,louisiana_by_precinct_csv,312,3,35256,35256,0,exact,
SRC-8CFB097A7A897EDD6B44,louisiana_by_precinct_csv,68,2,10104,10104,0,exact,
SRC-93081CF8739A4770E846,louisiana_by_precinct_csv,258,2,30184,30184,0,exact,
SRC-95BFDAE5B637A8D222A4,louisiana_by_precinct_csv,210,2,31245,31245,0,exact,
SRC-999D7345F38BE9958BCA,louisiana_by_precinct_csv,66,2,11629,11629,0,exact,
SRC-A330879BB59D5A89F256,louisiana_by_precinct_csv,87,3,15105,15105,0,exact,
SRC-A3AF1B4226EB4EA12150,louisiana_by_precinct_csv,132,4,8675,8675,0,exact,
SRC-A703937D2B0655A75666,louisiana_by_precinct_csv,62,2,10349,10349,0,exact,
SRC-A95F34A3A75316627BFB,louisiana_by_precinct_csv,165,3,13133,13133,0,exact,
SRC-AD9C0E5086E34148CB73,louisiana_by_precinct_csv,159,3,17018,17018,0,exact,
SRC-B93A06A0815A3BF413E9,louisiana_by_precinct_csv,201,3,29033,29033,0,exact,
SRC-BA7E5B2A756EFCC33633,louisiana_by_precinct_csv,189,3,25510,25510,0,exact,
SRC-BD95ED182F2251C9E9CF,louisiana_by_precinct_csv,219,3,21769,21769,0,exact,
SRC-BDBBAFFA25BC89562220,louisiana_by_precinct_csv,88,2,15462,15462,0,exact,
SRC-C13DE8C30A81C86E0287,louisiana_by_precinct_csv,56,2,17671,17671,0,exact,
