state_code,cycle,chamber,election_history_loaded,model_valid_outcomes,context_rows,strict_ready,research_ready,missing_context,missing_baseline,missing_incumbency,model_source_fallbacks,strict_baseline_rows,research_baseline_rows,strict_incumbency_rows,any_incumbency_rows,finance_complete_outcomes,strict_war_finance_complete,research_war_finance_complete,strict_ready_rate,research_ready_rate,coverage_class
AL,2018,lower,True,49,49,49,0,0,0,0,0,105,105,105,105,49,49,0,1.0,0.0,strict_complete
AL,2018,upper,True,15,15,15,0,0,0,0,0,35,35,35,35,15,15,0,1.0,0.0,strict_complete
AL,2022,lower,True,25,25,25,0,0,0,0,0,25,25,105,105,25,25,0,1.0,0.0,strict_complete
AL,2022,upper,True,8,8,8,0,0,0,0,0,8,8,35,35,8,8,0,1.0,0.0,strict_complete
AR,2016,lower,True,25,25,25,0,0,0,0,0,34,34,100,100,24,24,0,1.0,0.0,strict_complete
AR,2016,upper,True,3,3,3,0,0,0,0,0,5,5,17,17,3,3,0,1.0,0.0,strict_complete
AR,2018,lower,True,40,40,40,0,0,0,0,0,45,45,100,100,40,40,0,1.0,0.0,strict_complete
AR,2018,upper,True,7,7,7,0,0,0,0,0,10,10,18,18,7,7,0,1.0,0.0,strict_complete
AR,2020,lower,True,38,38,38,0,0,0,0,0,97,97,100,100,36,36,0,1.0,0.0,strict_complete
AR,2020,upper,True,8,8,8,0,0,0,0,0,17,17,17,17,8,8,0,1.0,0.0,strict_complete
AR,2022,lower,True,35,35,35,0,0,0,0,0,100,100,100,100,35,35,0,1.0,0.0,strict_complete
AR,2022,upper,True,13,13,13,0,0,0,0,0,35,35,35,35,12,12,0,1.0,0.0,strict_complete
AR,2024,lower,True,49,49,49,0,0,0,0,0,49,49,49,49,49,49,0,1.0,0.0,strict_complete
AR,2024,upper,True,5,5,5,0,0,0,0,0,5,5,5,5,5,5,0,1.0,0.0,strict_complete
FL,2016,lower,True,56,56,56,0,0,0,0,0,78,78,120,120,56,56,0,1.0,0.0,strict_complete
FL,2016,upper,True,17,17,17,0,0,0,0,0,25,25,40,40,17,17,0,1.0,0.0,strict_complete
FL,2018,lower,True,77,77,77,0,0,0,0,2,85,85,120,120,76,76,0,1.0,0.0,strict_complete
FL,2018,upper,True,17,17,17,0,0,0,0,1,19,19,22,22,14,14,0,1.0,0.0,strict_complete
FL,2020,lower,True,95,95,95,0,0,0,0,0,96,96,120,120,93,93,0,1.0,0.0,strict_complete
FL,2020,upper,True,18,18,18,0,0,0,0,0,20,20,21,21,15,15,0,1.0,0.0,strict_complete
FL,2022,lower,True,67,67,67,0,0,0,0,0,75,75,120,120,66,66,0,1.0,0.0,strict_complete
FL,2022,upper,True,23,23,23,0,0,0,0,0,25,25,40,40,22,22,0,1.0,0.0,strict_complete
FL,2024,lower,True,102,102,86,16,0,0,0,0,102,102,86,102,97,82,15,0.8431372549019608,0.1568627450980392,research_complete
FL,2024,upper,True,17,17,17,0,0,0,0,0,17,17,17,17,16,16,0,1.0,0.0,strict_complete
GA,2016,lower,True,31,31,31,0,0,0,0,0,180,180,180,180,31,31,0,1.0,0.0,strict_complete
GA,2016,upper,True,13,13,13,0,0,0,0,0,56,56,56,56,13,13,0,1.0,0.0,strict_complete
GA,2018,lower,True,68,68,68,0,0,0,0,0,178,178,178,178,66,66,0,1.0,0.0,strict_complete
GA,2018,upper,True,23,23,23,0,0,0,0,0,56,56,56,56,23,23,0,1.0,0.0,strict_complete
GA,2020,lower,True,86,86,86,0,0,0,0,0,180,180,180,180,83,83,0,1.0,0.0,strict_complete
