source_file_id,provider,source_url,retrieved_at,sha256,media_type,license_or_terms,state_code,election_cycle,geography_vintage,authoritative_scope,ingest_status,filename,local_path
DAILYKOS-SLD-PRESIDENTIAL-INDEX-2021,Daily Kos Elections,https://www.dailykos.com/stories/2021/3/23/1220127/-Daily-Kos-Elections-statewide-election-results-by-congressional-and-legislative-districts,2026-09-02T04:21:46.080544+00:00,e2b30bc15f0c015abd9bae8af5390b9f1f1c0b289e2e3a82b7a79d0edaa36dbc,text/html,publicly accessible Daily Kos Elections research page; attribution required,MULTI,2012;2016;2020,state-specific 2011-2021 legislative plans documented in source index,public index and provenance links for presidential results by legislative district,acquired,daily_kos_statewide_results_by_district_index.html,data/raw/presidential/southern_war_v4/daily_kos_statewide_results_by_district_index.html
FLDOS-2012-FL-GENERAL-PRECINCT,Florida Department of State Division of Elections,https://files.floridados.gov/media/697204/precinctlevelelectionresults2012gen.zip,2026-08-22T05:48:00+00:00,97a7c28ef2b5cbfed449b32c43f0abd29b4914728ac32daf2a73ae8597456ca0,application/zip,official public precinct-level election-result download,FL,2012,provider-reported 2012 precincts,2012 presidential general-election precinct returns,acquired,precinctlevelelectionresults2012gen.zip,data/raw/southern_sos_elections/FL/2012/precinctlevelelectionresults2012gen.zip
NCSBE-2012-NC-GENERAL-PRECINCT,North Carolina State Board of Elections,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,2026-08-22T05:49:55+00:00,8c76f28da4caa9adbc5dd474797825a924067adbd673fe4c9c3cd87d34eecf58,application/zip,official public election-result download,NC,2012,provider-reported 2012 precincts,2012 presidential general-election precinct returns,acquired,results_pct_20121106.zip,data/raw/southern_sos_elections/NC/2012/results_pct_20121106.zip
OPENELECTIONS-2012-GA-PRECINCT,OpenElections,https://raw.githubusercontent.com/openelections/openelections-data-ga/86bf341e68775bae06a54538dae0311fb6201872/2012/20121106__ga__general.csv,2026-08-22T16:26:29+00:00,b5bbd9c929dd0e7ccb2b5461a81a83200b8778ce234c86956ea8b713b75d7de6,text/csv,OpenElections public repository; underlying Georgia SOS/Clarity results,GA,2012,provider-reported 2012 precincts,2012 presidential general-election precinct returns,acquired,20121106__ga__general.csv,data/raw/openelections_historical_gaps/GA/2012/20121106__ga__general.csv
OPENELECTIONS-2012-MS-PRECINCT,OpenElections,https://raw.githubusercontent.com/openelections/openelections-data-ms/ed58cb2d2480744f02aac7a285b47d10676ff14d/2012/20121106__ms__general__precinct.csv,2026-09-03T23:16:01+00:00,c050b4a1a88413be6558bb97a62094ae32ed8628f64fb4810681549f1c456c4e,text/csv,OpenElections public repository; converted Mississippi county results,MS,2012,provider-reported 2012 precincts,2012 presidential general-election precinct returns,acquired,20121106__ms__general__precinct.csv,data/raw/openelections_historical_gaps/MS/2012/20121106__ms__general__precinct.csv
RDH-2016-AL-2020-BLOCKS,Redistricting Data Hub,https://redistrictingdatahub.org/download/?datasetid=37232&document=%2Fweb_ready_stage%2Fdisag_votes_block%2Fal_2016_gen_2020_blocks.zip,,,application/zip,Redistricting Data Hub public download; preserve provider README and attribution,AL,2016,2020 Census blocks,2016 general-election results disaggregated to 2020 Census blocks,requires_authenticated_download,al_2016_gen_2020_blocks.zip,data/raw/presidential/southern_war_v4/al_2016_gen_2020_blocks.zip
RDH-2016-AR-2020-BLOCKS,Redistricting Data Hub,https://redistrictingdatahub.org/download/?datasetid=37210&document=%2Fweb_ready_stage%2Fdisag_votes_block%2Far_2016_gen_2020_blocks.zip,,,application/zip,Redistricting Data Hub public download; preserve provider README and attribution,AR,2016,2020 Census blocks,2016 general-election results disaggregated to 2020 Census blocks,requires_authenticated_download,ar_2016_gen_2020_blocks.zip,data/raw/presidential/southern_war_v4/ar_2016_gen_2020_blocks.zip
RDH-2016-FL-2020-BLOCKS,Redistricting Data Hub,https://redistrictingdatahub.org/download/?datasetid=37216&document=%2Fweb_ready_stage%2Fdisag_votes_block%2Ffl_2016_gen_2020_blocks.zip,,,application/zip,Redistricting Data Hub public download; preserve provider README and attribution,FL,2016,2020 Census blocks,2016 general-election results disaggregated to 2020 Census blocks,requires_authenticated_download,fl_2016_gen_2020_blocks.zip,data/raw/presidential/southern_war_v4/fl_2016_gen_2020_blocks.zip
RDH-2016-GA-2020-BLOCKS,Redistricting Data Hub,https://redistrictingdatahub.org/download/?datasetid=37196&document=%2Fweb_ready_stage%2Fdisag_votes_block%2Fga_2016_gen_2020_blocks.zip,,,application/zip,Redistricting Data Hub public download; preserve provider README and attribution,GA,2016,2020 Census blocks,2016 general-election results disaggregated to 2020 Census blocks,requires_authenticated_download,ga_2016_gen_2020_blocks.zip,data/raw/presidential/southern_war_v4/ga_2016_gen_2020_blocks.zip
RDH-2016-KY-2020-BLOCKS,Redistricting Data Hub,https://redistrictingdatahub.org/download/?datasetid=37226&document=%2Fweb_ready_stage%2Fdisag_votes_block%2Fky_2016_gen_2020_blocks.zip,,,application/zip,Redistricting Data Hub public download; preserve provider README and attribution,KY,2016,2020 Census blocks,2016 general-election results disaggregated to 2020 Census blocks,requires_authenticated_download,ky_2016_gen_2020_blocks.zip,data/raw/presidential/southern_war_v4/ky_2016_gen_2020_blocks.zip
