model,model_label,is_public_default,chamber,district,predicted_dem_margin
post2016_ramp,Post-2016 ramp,False,house,2,-63.49062890537633
post2016_ramp,Post-2016 ramp,False,house,4,-29.219723622884857
post2016_ramp,Post-2016 ramp,False,house,5,-41.902324370500615
post2016_ramp,Post-2016 ramp,False,house,8,-26.11246426375141
post2016_ramp,Post-2016 ramp,False,house,10,4.086021331415267
post2016_ramp,Post-2016 ramp,False,house,15,-12.70290140191546
post2016_ramp,Post-2016 ramp,False,house,16,-73.64992533328218
post2016_ramp,Post-2016 ramp,False,house,19,34.79746144883655
post2016_ramp,Post-2016 ramp,False,house,20,-19.793763940644155
post2016_ramp,Post-2016 ramp,False,house,21,-15.561935208509794
post2016_ramp,Post-2016 ramp,False,house,25,-1.0596962261872145
post2016_ramp,Post-2016 ramp,False,house,28,-24.903459959047392
post2016_ramp,Post-2016 ramp,False,house,32,3.158354962154016
post2016_ramp,Post-2016 ramp,False,house,37,-43.14496715711068
post2016_ramp,Post-2016 ramp,False,house,38,-41.249322256764
post2016_ramp,Post-2016 ramp,False,house,40,-60.03455656406872
post2016_ramp,Post-2016 ramp,False,house,41,-43.86971945352963
post2016_ramp,Post-2016 ramp,False,house,43,-38.35271371649463
post2016_ramp,Post-2016 ramp,False,house,45,-39.790495057162886
post2016_ramp,Post-2016 ramp,False,house,47,-11.72279270162599
post2016_ramp,Post-2016 ramp,False,house,50,-57.46951227503262
post2016_ramp,Post-2016 ramp,False,house,63,-12.7994009190402
post2016_ramp,Post-2016 ramp,False,house,68,1.87470732275784
post2016_ramp,Post-2016 ramp,False,house,69,10.027280860094296
post2016_ramp,Post-2016 ramp,False,house,70,41.10259210062137
post2016_ramp,Post-2016 ramp,False,house,74,31.41726124826928
post2016_ramp,Post-2016 ramp,False,house,75,-24.254849893243744
post2016_ramp,Post-2016 ramp,False,house,80,-31.74434886958659
post2016_ramp,Post-2016 ramp,False,house,82,33.5587923161323
post2016_ramp,Post-2016 ramp,False,house,85,-24.28153771213197
post2016_ramp,Post-2016 ramp,False,house,96,-41.48003399067956
post2016_ramp,Post-2016 ramp,False,house,99,30.270041575425907
post2016_ramp,Post-2016 ramp,False,house,101,-25.79463257058688
post2016_ramp,Post-2016 ramp,False,senate,2,3.3585116519646285
post2016_ramp,Post-2016 ramp,False,senate,3,-37.27274283857304
post2016_ramp,Post-2016 ramp,False,senate,6,-51.51363947519474
post2016_ramp,Post-2016 ramp,False,senate,7,-8.504259381625046
post2016_ramp,Post-2016 ramp,False,senate,8,-51.80794354819332
post2016_ramp,Post-2016 ramp,False,senate,11,-48.11538720757936
post2016_ramp,Post-2016 ramp,False,senate,13,-46.348257981685606
post2016_ramp,Post-2016 ramp,False,senate,14,-41.03088423799503
post2016_ramp,Post-2016 ramp,False,senate,16,-20.90080129098672
post2016_ramp,Post-2016 ramp,False,senate,22,-57.92312584977384
post2016_ramp,Post-2016 ramp,False,senate,23,6.94180229173997
post2016_ramp,Post-2016 ramp,False,senate,28,5.449745986205526
post2016_ramp,Post-2016 ramp,False,senate,29,-56.61468695548132
post2016_ramp,Post-2016 ramp,False,senate,32,-50.76054222095612
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,2,-63.36098678720031
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,4,-30.055622747577267
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,5,-42.110261422354625
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,8,-26.845041945579126
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,10,5.279263253241417
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,15,-13.372219892044653
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,16,-72.92266246135806
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,19,36.35209456590687
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,20,-22.881065421229536
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,21,-16.23543196236248
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,25,-2.3563230630280496
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,28,-24.697964838720676
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,32,3.668032506047667
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,37,-42.4353031975767
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,38,-40.730684026485065
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,40,-59.81904580602175
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,41,-43.90330548571903
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,43,-39.749397541252726
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,45,-41.67447847940008
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,47,-12.478499420101057
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,50,-56.737533448886545
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,63,-14.37176348275399
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,68,4.421717868314537
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,69,13.336561015668472
