specification,train_start,test_cycle,scope,train_races,test_races,mae,rmse,r2
presidential_only,2010,2014,all,63,58,30.675512086258472,37.20941425403582,-0.011260091376992465
presidential_incumbency,2010,2014,all,63,58,29.7344788359068,35.796279141584655,0.0640924005709923
core_nonfinance,2010,2014,all,63,58,29.7344788359068,35.796279141584655,0.0640924005709923
core_ftm_fundraising,2010,2014,all,63,58,26.911915375141266,34.09672553745391,0.15085364637949472
core_transaction_expenditures,2010,2014,all,63,58,29.7344788359068,35.796279141584655,0.0640924005709923
presidential_only,2010,2014,house,42,42,32.61065912824419,40.01583147816118,-0.06696571213684654
presidential_incumbency,2010,2014,house,42,42,31.132450406079453,38.32246215826109,0.021426207754438598
core_nonfinance,2010,2014,house,42,42,31.132450406079453,38.32246215826109,0.021426207754438598
core_ftm_fundraising,2010,2014,house,42,42,28.059168451012358,35.97185174161631,0.13779137691160004
core_transaction_expenditures,2010,2014,house,42,42,31.132450406079453,38.32246215826109,0.021426207754438598
direct_prior_presidential,2010,2014,senate,21,16,20.921231867258843,25.96319208297529,-0.19153021822049165
presidential_only,2010,2014,senate,21,16,26.597236192204377,30.217282311788225,-0.6139857363425372
presidential_incumbency,2010,2014,senate,21,16,27.481552756921545,31.109908248728253,-0.7107492120997767
core_nonfinance,2010,2014,senate,21,16,27.481552756921545,31.109908248728253,-0.7107492120997767
core_ftm_fundraising,2010,2014,senate,21,16,28.101069314355332,34.738922197504664,-1.133150847911677
core_transaction_expenditures,2010,2014,senate,21,16,27.481552756921545,31.109908248728253,-0.7107492120997767
direct_prior_presidential,2010,2018,all,121,64,13.106621690402946,19.230200471124718,0.4327116834059216
chamber_uniform_offset,2010,2018,all,121,64,20.244752565336256,26.439408316542256,-0.07235771272634528
presidential_only,2010,2018,all,121,64,14.076106179201208,20.098210877273527,0.380343494896765
presidential_incumbency,2010,2018,all,121,64,15.081001926310112,19.173131145307195,0.43607376199146886
core_nonfinance,2010,2018,all,121,64,22.91277865219196,26.8394948711158,-0.10505753921702965
core_ftm_fundraising,2010,2018,all,121,64,19.691956974066027,23.477436213110675,0.15445338662778185
core_transaction_expenditures,2010,2018,all,121,64,22.918147595937974,27.204709552648627,-0.13533598450866013
direct_prior_presidential,2010,2018,house,84,49,13.46650558445076,19.89230260421946,0.36290261868465656
chamber_uniform_offset,2010,2018,house,84,49,22.846710591039937,28.793665995352836,-0.33484128627144316
presidential_only,2010,2018,house,84,49,16.824212229321436,20.56586709348594,0.3190272155185381
presidential_incumbency,2010,2018,house,84,49,12.685123681601244,16.790338030245607,0.5461058504700016
core_nonfinance,2010,2018,house,84,49,23.382643081569007,27.027108236589818,-0.1760745917192743
core_ftm_fundraising,2010,2018,house,84,49,19.047105915183554,22.15233943302989,0.2099130284893611
core_transaction_expenditures,2010,2018,house,84,49,21.91566089386363,26.223016188617546,-0.10713604882672079
direct_prior_presidential,2010,2018,senate,37,15,11.93100096984676,16.887387025476187,0.6018430073259422
chamber_uniform_offset,2010,2018,senate,37,15,11.745023014704238,16.561044864583163,0.617082776226084
presidential_only,2010,2018,senate,37,15,17.034820977389803,23.34899809563356,0.23885756787826862
presidential_incumbency,2010,2018,senate,37,15,15.262139634398263,21.822295760251375,0.3351398408884436
core_nonfinance,2010,2018,senate,37,15,16.5990138789567,20.462401841249083,0.41542175064497366
