historical_war_run_id,cycle,chamber,scoring_scope,races,mean_war,mean_absolute_war,lag_context_races
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,post2016_southern_model_backcast,54,17.94816607594982,22.33544750237269,49
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,senate,post2016_southern_model_backcast,18,20.95505545390307,25.98497086766963,18
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1998,house,post2016_southern_model_backcast,57,27.70687829210049,29.068235419725195,55
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1998,senate,post2016_southern_model_backcast,28,26.735144540742063,28.1765922300992,28
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2002,house,post2016_southern_model_backcast,51,17.287249944142932,22.758626967583535,46
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2002,senate,post2016_southern_model_backcast,23,16.43783610272403,21.114277527560393,21
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2006,house,post2016_southern_model_backcast,40,34.17294535881538,34.969157716411736,38
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2006,senate,post2016_southern_model_backcast,22,28.36808769850129,33.413022573238464,20
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2010,house,post2016_southern_model_backcast,42,15.198576807800205,20.069022805522962,42
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2010,senate,post2016_southern_model_backcast,21,14.727464036779235,21.33011609133964,21
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2014,house,post2016_southern_model_backcast,40,13.507245858610588,18.55573526774804,37
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2014,senate,post2016_southern_model_backcast,16,10.262634186999133,12.25050176217315,16
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2018,house,published_same_cycle_residual,49,-0.7655751989018134,5.58533246072307,49
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2018,senate,published_same_cycle_residual,15,2.8342863636161963,7.50362157754029,15
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2022,house,published_same_cycle_residual,25,-0.06420728759356731,6.939026173869138,25
AL-HIST-WAR-V1-2CD9D5044B91015A3749,2022,senate,published_same_cycle_residual,8,0.1629129128963196,3.2062226999776535,8
