cycle,chamber,office,source_votes_with_join,allocated_votes,allocation_reconciliation_ratio
2014,house,Attorney General,989824.0,989824.0,1.0
2014,house,Governor,1220949.0,1220949.0,1.0
2014,house,Lieutenant Governor,1166372.0,1166372.0,1.0
2014,house,State Treasurer,776031.0,776031.0,1.0
2014,senate,Attorney General,989824.0,989824.0,1.0
2014,senate,Governor,1227937.0,1227937.0,1.0
2014,senate,Lieutenant Governor,1173359.0,1173359.0,1.0
2014,senate,State Treasurer,782366.0,782366.0,1.0
2018,house,Attorney General,1705643.0,1705643.0,1.0
2018,house,Commissioner of Agriculture and Industries,1080234.0,1080234.0,1.0
2018,house,Governor,1715287.0,1715287.0,1.0
2018,house,Lieutenant Governor,1703311.0,1703311.0,1.0
2018,house,Secretary of State,1689336.0,1689336.0,1.0
2018,house,State Auditor,1682524.0,1682524.0,1.0
2018,house,State Treasurer,1083859.0,1083859.0,1.0
2018,senate,Attorney General,1705643.0,1705643.0,1.0
2018,senate,Commissioner of Agriculture and Industries,1080234.0,1080234.0,1.0
2018,senate,Governor,1715287.0,1715287.0,1.0
2018,senate,Lieutenant Governor,1703311.0,1703311.0,1.0
2018,senate,Secretary of State,1689336.0,1689336.0,1.0
2018,senate,State Auditor,1682524.0,1682524.0,1.0
2018,senate,State Treasurer,1083859.0,1083859.0,1.0
2022,house,Attorney General,1405968.0,1405968.0,1.0
2022,house,Commissioner of Agriculture and Industries,946155.0,946155.0,1.0
2022,house,Governor,1359893.0,1359893.0,1.0
2022,house,Lieutenant Governor,957534.0,957534.0,1.0
2022,house,Secretary of State,1362129.0,1362129.0,1.0
2022,house,State Auditor,949871.0,949871.0,1.0
2022,house,State Treasurer,946936.0,946936.0,1.0
2022,senate,Attorney General,1405968.0,1405968.0,1.0
2022,senate,Commissioner of Agriculture and Industries,946155.0,946155.0,1.0
2022,senate,Governor,1359893.0,1359893.0,1.0
2022,senate,Lieutenant Governor,957534.0,957534.0,1.0
2022,senate,Secretary of State,1362129.0,1362129.0,1.0
2022,senate,State Auditor,949871.0,949871.0,1.0
2022,senate,State Treasurer,946936.0,946936.0,1.0
