canonical_candidate_id,cycle,chamber,district,party,candidate,total_resources_raised,resource_observation_status,source_name,source_measure,source_candidate_name,match_method,source_authority_rule
AL-1994-house-1-D-PHILLIPS,1994,house,1,D,Phillips,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-2-D-HAMILTON,1994,house,2,D,Hamilton,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-3-D-BLACK,1994,house,3,D,Black,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-3-R-SMALLWOOD,1994,house,3,R,Smallwood,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-4-D-SMITH,1994,house,4,D,Smith,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-4-R-PAPUCCI,1994,house,4,R,Papucci,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-5-D-CARTER,1994,house,5,D,Carter,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-6-D-SCHMITZ,1994,house,6,D,Schmitz,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-6-R-JORGENSEN,1994,house,6,R,Jorgensen,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-7-D-LETSON,1994,house,7,D,Letson,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-7-R-RANDOLPH,1994,house,7,R,Randolph,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-8-D-DUKES,1994,house,8,D,Dukes,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-8-R-NEW,1994,house,8,R,New,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-9-D-PARKER,1994,house,9,D,Parker,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-10-D-HANEY,1994,house,10,D,Haney,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-11-D-DRAKE,1994,house,11,D,Drake,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-12-D-MORRISON,1994,house,12,D,Morrison,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-12-R-BOWLING,1994,house,12,R,Bowling,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-13-D-HOGAN,1994,house,13,D,Hogan,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-14-D-GUIN,1994,house,14,D,Guin,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-15-D-SHARP,1994,house,15,D,Sharp,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-15-R-CURRY,1994,house,15,R,Curry,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-16-D-COLLINS,1994,house,16,D,Collins,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-17-D-MILLICAN,1994,house,17,D,Millican,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-17-R-HARPER,1994,house,17,R,Harper,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-18-D-MORROW,1994,house,18,D,Morrow,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-19-D-HALL,1994,house,19,D,Hall,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-19-R-ANDERSON,1994,house,19,R,Anderson,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-20-D-SANDERFORD,1994,house,20,D,Sanderford,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-21-D-JOHNSTON,1994,house,21,D,Johnston,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-22-D-HALL,1994,house,22,D,Hall,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-23-D-POBINSON,1994,house,23,D,Pobinson,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-24-D-BURKE,1994,house,24,D,Burke,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-25-D-HAWK,1994,house,25,D,Hawk,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-26-D-MCDANIEL,1994,house,26,D,Mcdaniel,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-26-R-HOLCOMB,1994,house,26,R,Holcomb,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-27-D-MURPHREE,1994,house,27,D,Murphree,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-27-R-MARTIN,1994,house,27,R,Martin,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-28-D-FORD,1994,house,28,D,Ford,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-28-R-O-BARR,1994,house,28,R,O'Barr,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-29-D-PAGE,1994,house,29,D,Page,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-29-R-ESTES,1994,house,29,R,Estes,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-30-D-GALLIHER,1994,house,30,D,Galliher,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-30-R-HODGES,1994,house,30,R,Hodges,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-31-D-VENABLE,1994,house,31,D,Venable,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-32-D-BOYD,1994,house,32,D,Boyd,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-32-R-MONTGOMERY,1994,house,32,R,Montgomery,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-33-D-JOHNSON,1994,house,33,D,Johnson,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-33-R-HATTAWAY,1994,house,33,R,Hattaway,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-34-D-WILLIS,1994,house,34,D,Willis,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-35-D-SHADDIX,1994,house,35,D,Shaddix,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-35-R-SIMS,1994,house,35,R,Sims,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-36-D-CAMPBELL,1994,house,36,D,Campbell,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-36-R-ROGERS,1994,house,36,R,Rogers,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
AL-1994-house-37-D-LAIRD,1994,house,37,D,Laird,,not_observed_unknown_not_zero,,,,,DIME through 2010; FollowTheMoney 2014-2022; Alabama FCPA 2026
