stage,specification,parameter,races,mean_cycle_mae,oof_mae,oof_rmse,pairs,pearson,pearson_p,spearman,spearman_p,future_mae_using_prior,future_mae_zero,mae,zero_baseline_mae,rmse
structural,predetermined_lag,10.0,509.0,15.513729182812655,16.252759273860892,22.48925260671681,,,,,,,,,,
structural,predetermined_lag,30.0,509.0,15.495906030583841,16.23828772712298,22.481764621606256,,,,,,,,,,
structural,predetermined_lag,100.0,509.0,15.447187844867786,16.19968086204283,22.461218865330093,,,,,,,,,,
structural,lag_demographics,10.0,509.0,15.686209488069501,16.261625662834735,22.09990898888513,,,,,,,,,,
structural,lag_demographics,30.0,509.0,15.592855262839207,16.191582240762983,22.060125991194433,,,,,,,,,,
structural,lag_demographics,100.0,509.0,15.386972376256223,16.03231278968053,21.98644601560599,,,,,,,,,,
construct,direct_cmo,,,,,,139.0,0.6145035951114213,8.556984206527183e-16,0.6190178292148889,4.5908792850581985e-16,21.216076719777767,24.381479679309972,,,
construct,cycle_centered,,,,,,139.0,0.45156465572236315,2.4126838445770037e-08,0.35264757138388664,2.0652710120983888e-05,17.52066487778333,14.96252946097553,,,
construct,structural_residual_predetermined_lag_alpha_10,,,,,,137.0,0.44111341025339895,6.849020481107894e-08,0.3506449866522299,2.6602420626892184e-05,17.473809097321272,14.700491527381214,,,
construct,structural_residual_predetermined_lag_alpha_30,,,,,,137.0,0.44143897657362574,6.681428279138288e-08,0.3490115182855116,2.9169440190268362e-05,17.45459720066405,14.683559662600963,,,
construct,structural_residual_predetermined_lag_alpha_100,,,,,,137.0,0.4423268702133615,6.244093226533061e-08,0.3478354210614744,3.115993541209192e-05,17.39892325225168,14.63729723073175,,,
construct,structural_residual_lag_demographics_alpha_10,,,,,,137.0,0.40142253940878936,1.1647136471746706e-06,0.3272210502734892,9.503242545251738e-05,17.948624050677957,14.78667843479354,,,
construct,structural_residual_lag_demographics_alpha_30,,,,,,137.0,0.4042253358951152,9.647441109135703e-07,0.32829447234304704,8.984456806323747e-05,17.89784303840174,14.754409782607821,,,
construct,structural_residual_lag_demographics_alpha_100,,,,,,137.0,0.41130513381031947,5.948683654975692e-07,0.33634047081225377,5.859309898936555e-05,17.752074252085954,14.636258205650202,,,
quality,all,1.0,438.0,,,,,0.2525888685754045,8.400050029687192e-08,,,,,15.548783073265788,16.010928012222593,21.421055406825715
quality,seen_candidate,1.0,129.0,,,,,0.5106594639865965,6.300344227543701e-10,,,,,13.155121039817388,14.724264320926533,17.65852249667252
quality,all,3.0,438.0,,,,,0.24692538935061645,1.656410968259591e-07,,,,,15.616114172321012,16.010928012222593,21.551185905121944
quality,seen_candidate,3.0,129.0,,,,,0.49831795095910203,1.8624403559367943e-09,,,,,13.383733608702563,14.724264320926533,18.188188603085862
quality,all,10.0,438.0,,,,,0.2396769681605855,3.8565755557606483e-07,,,,,15.764599090524124,16.010928012222593,21.82574480047167
quality,seen_candidate,10.0,129.0,,,,,0.48306662014317236,6.707067026839448e-09,,,,,13.887891703066614,14.724264320926533,19.26777586907364
quality,all,30.0,438.0,,,,,0.23564393487809465,6.101323468395862e-07,,,,,15.887180783775639,16.010928012222593,22.007504280488188
quality,seen_candidate,30.0,129.0,,,,,0.474620380554667,1.3279392583035558e-08,,,,,14.304099312711296,14.724264320926533,19.95741215005834
quality,all,100.0,438.0,,,,,0.23381921586000212,7.488517350584187e-07,,,,,15.96492592202491,16.010928012222593,22.09506910405476
quality,seen_candidate,100.0,129.0,,,,,0.4707937016384497,1.798695138453051e-08,,,,,14.568071177464637,14.724264320926533,20.2832584537858
