cycle,bonica.rid,bonica.cid,name,lname,party,state,seat,district,recipient.cfscore,num.givers,total.receipts,total.disbursements,total.indiv.contribs,total.unitemized,total.pac.contribs,total.party.contribs,total.contribs.from.candidate,chamber,district_num,party_letter,normalized_name,dime_recipient_cycle_id
2002,cand869,3928824448.0,"rogers, mike",rogers,200,AL,state:lower,AL03,1.039,1151,1656290.0,1638145.0,634926.0,-222783.0,696820.0,89746.0,5000.0,house,3,R,ROGERS MIKE,DIME-BD60BD2B18BFB8B36D36
2002,cand148250,2898977677.0,"pringle, chris",pringle,200,AL,state:lower,AL01,1.133,226,327240.0,318896.0,170226.0,33351.0,1750.0,0.0,0.0,house,1,R,PRINGLE CHRIS,DIME-71BDCA054D28D1EF1C47
2014,cand143040,4337679295.0,"demarco, paul",demarco,200,AL,state:lower,AL06,0.954,1477,1991338.25,1991338.25,1638863.02,58375.02,250750.0,0.0,19220.46,house,6,R,DEMARCO PAUL,DIME-E9A02EFB8FA50B8F9A04
1998,cand4153,3116059053.0,"adams, dwight l",adams,200,AL,state:upper,AL-31,1.144,261,225992.0,0.0,29554.0,0.0,148534.0,40000.0,4300.0,senate,31,R,ADAMS DWIGHT L,DIME-7ED0EAA3B9106AE2BD9A
2006,cand4153,3116059053.0,"adams, dwight l",adams,200,AL,state:upper,AL-31,1.144,161,83288.0,0.0,49110.0,2728.0,15175.0,8025.0,3250.0,senate,31,R,ADAMS DWIGHT L,DIME-724741F0B7C98A6D7583
2002,cand4154,5000037608033585.0,"alexander, louise lulu",alexander,100,AL,state:upper,AL-19,0.092,7,22315.0,0.0,6616.0,115.0,0.0,0.0,15584.0,senate,19,D,ALEXANDER LOUISE LULU,DIME-D906AC4765A9B39D7351
2006,cand4154,5000037608033585.0,"alexander, louise lulu",alexander,100,AL,state:upper,AL-19,0.092,2,13913.0,0.0,13913.0,0.0,0.0,0.0,0.0,senate,19,D,ALEXANDER LOUISE LULU,DIME-DAC69D9DA57198C326EE
1998,cand4155,3820452312.0,"andrews, steve",andrews,200,AL,state:lower,AL-5,1.49,21,25112.0,0.0,3413.0,3293.0,4700.0,11500.0,2206.0,house,5,R,ANDREWS STEVE,DIME-F5889992BB3E0853C4AD
2002,cand4156,2554793753.0,"barnes, steven christopher",barnes,200,AL,state:lower,AL-3,1.542,16,9570.0,0.0,8000.0,320.0,1050.0,200.0,0.0,house,3,R,BARNES STEVEN CHRISTOPHER,DIME-F688EFC3EBA93F00D3BB
2002,cand4157,3822468184.0,"abel, david",abel,200,AL,state:lower,AL-28,1.293,75,56843.0,0.0,17675.0,12535.0,8251.0,9500.0,8882.0,house,28,R,ABEL DAVID,DIME-C859C252FD34378B82DB
2002,cand4158,3822470828.0,"acker, joe",acker,200,AL,state:lower,AL-16,1.549,46,46606.0,0.0,5050.0,663.0,1520.0,9323.0,29550.0,house,16,R,ACKER JOE,DIME-BA909592B0D2C240F180
2006,cand4159,,"afrika, kamau",afrika,100,AL,state:lower,AL-54,-0.381,4,7020.0,0.0,1270.0,5250.0,500.0,0.0,0.0,house,54,D,AFRIKA KAMAU,DIME-F3E4155E76A9E38A078A
1998,cand4160,3820445305.0,"alexander, ray red",alexander,100,AL,state:lower,AL-7,1.013,4,10400.0,0.0,400.0,0.0,0.0,0.0,10000.0,house,7,D,ALEXANDER RAY RED,DIME-6082CC0371AD57E6A135
1998,cand4161,3820445271.0,"allison, jimmy duck",allison,200,AL,state:lower,AL-25,2.332,2,11350.0,0.0,0.0,1100.0,250.0,0.0,10000.0,house,25,R,ALLISON JIMMY DUCK,DIME-270FC1AF2B64091FED89
2002,cand4162,3820445377.0,"allred, larry",allred,200,AL,state:lower,AL-46,0.171,3,7000.0,0.0,0.0,0.0,2000.0,0.0,5000.0,house,46,R,ALLRED LARRY,DIME-60167A6C5046F635DBDE
2002,cand4163,29055827153.0,"amari, john",amari,200,AL,state:upper,AL-15,1.034,53,271896.0,0.0,8500.0,0.0,180550.0,0.0,82846.0,senate,15,R,AMARI JOHN,DIME-9B14D978333D191B937E
2002,cand4165,2963001311.0,"anthony, emory",anthony,100,AL,state:upper,AL-20,0.162,51,78013.0,0.0,12550.0,974.0,54489.0,0.0,0.0,senate,20,D,ANTHONY EMORY,DIME-309DF8859D318345C62A
1998,cand4166,29075800251.0,"armistead, bill",armistead,200,AL,state:upper,AL-14,0.977,371,263536.0,0.0,87660.0,0.0,171371.0,1509.0,-1478.0,senate,14,R,ARMISTEAD BILL,DIME-21E56958C86C9C8317E8
2002,cand4167,3822458129.0,"arnold, ken",arnold,200,AL,state:lower,AL-10,-0.096,23,26347.0,0.0,5940.0,100.0,18250.0,0.0,2057.0,house,10,R,ARNOLD KEN,DIME-2891CB608F798951882A
