cycle,chamber,district,office,dem_votes,rep_votes,two_party_votes,office_dem_margin,contested_dr,core_office
2014,house,1.0,Attorney General,4082.11596249295,5432.364946081558,9514.480908574507,-14.191514981881513,True,True
2014,house,1.0,Governor,3565.312698332931,6023.589481785385,9588.902180118315,-25.63668642432769,True,True
2014,house,1.0,Lieutenant Governor,3886.1789202268174,5573.832101540868,9460.011021767685,-17.8398648524904,True,False
2014,house,1.0,State Treasurer,0.0,5773.358611333358,5773.358611333358,,False,False
2014,house,2.0,Attorney General,4264.180389314123,9392.888408764209,13657.068798078333,-37.553505040347595,True,True
2014,house,2.0,Governor,3595.773500116807,10284.891025018553,13880.66452513536,-48.190182197609985,True,True
2014,house,2.0,Lieutenant Governor,3994.13380729538,9610.22103870355,13604.35484599893,-41.28154032280239,True,False
2014,house,2.0,State Treasurer,0.0,9697.650569437517,9697.650569437517,,False,False
2014,house,3.0,Attorney General,6463.518379675177,6747.851916317238,13211.370295992416,-2.1521880794478325,True,True
2014,house,3.0,Governor,5916.22989656657,7441.318630055916,13357.548526622486,-11.41742985585823,True,True
2014,house,3.0,Lieutenant Governor,6133.528621337148,6984.5560921519145,13118.084713489063,-6.487436919352044,True,False
2014,house,3.0,State Treasurer,0.0,7184.622720001209,7184.622720001209,,False,False
2014,house,4.0,Attorney General,2937.4697768729375,8013.986529993228,10951.456306866166,-46.354718595165274,True,True
2014,house,4.0,Governor,2426.877721086217,8656.930506881581,11083.808227967798,-56.20859417321077,True,True
2014,house,4.0,Lieutenant Governor,2846.565587195807,8160.823507395416,11007.389094591223,-48.27900489872673,True,False
2014,house,4.0,State Treasurer,0.0,8361.775912600871,8361.775912600871,,False,False
2014,house,5.0,Attorney General,3811.052483854731,8680.694384107024,12491.746867961756,-38.982873666306205,True,True
2014,house,5.0,Governor,3129.4644161278566,9580.751139311342,12710.215555439197,-50.756705856359204,True,True
2014,house,5.0,Lieutenant Governor,3457.5614831336206,9011.323144095826,12468.884627229447,-44.54096598852111,True,False
2014,house,5.0,State Treasurer,0.0,8994.769149841493,8994.769149841493,,False,False
2014,house,6.0,Attorney General,3564.186976821919,7264.010216507584,10828.197193329503,-34.16841394396537,True,True
2014,house,6.0,Governor,2854.4327361132264,8088.179418840621,10942.612154953847,-47.82904308966133,True,True
2014,house,6.0,Lieutenant Governor,3294.208136653287,7649.2280365949955,10943.436173248283,-39.79572623256805,True,False
2014,house,6.0,State Treasurer,0.0,7835.408877557771,7835.408877557771,,False,False
2014,house,7.0,Attorney General,3812.7191336912115,7595.099895764666,11407.819029455877,-33.15603755903782,True,True
2014,house,7.0,Governor,3294.306546787994,8384.835767547593,11679.142314335586,-43.58649876636248,True,True
2014,house,7.0,Lieutenant Governor,3555.2564317988513,7676.071148227504,11231.327580026355,-36.69036173209884,True,False
2014,house,7.0,State Treasurer,0.0,7800.619954898164,7800.619954898164,,False,False
2014,house,8.0,Attorney General,3719.8351412962124,6627.293896364031,10347.129037660243,-28.099183304717645,True,True
2014,house,8.0,Governor,3309.477850549659,7123.227667909188,10432.705518458846,-36.55571232804153,True,True
2014,house,8.0,Lieutenant Governor,3632.8876014511884,6728.225118292746,10361.112719743935,-29.87456656989304,True,False
2014,house,8.0,State Treasurer,0.0,7002.0748619771275,7002.0748619771275,,False,False
2014,house,9.0,Attorney General,2518.3313063752257,9242.391315733592,11760.722622108817,-57.1738678431026,True,True
2014,house,9.0,Governor,2666.9461061962484,12321.808326680472,14988.75443287672,-64.41403963031777,True,True
2014,house,9.0,Lieutenant Governor,3644.558086813679,11119.653061913601,14764.21114872728,-50.62982979449124,True,False
2014,house,9.0,State Treasurer,0.0,11590.16437668778,11590.16437668778,,False,False
2014,house,10.0,Attorney General,3909.1623072369393,7554.028082195649,11463.190389432588,-31.796259602551412,True,True
2014,house,10.0,Governor,3386.422577729414,9393.228248437234,12779.650826166648,-47.00289352514028,True,True
2014,house,10.0,Lieutenant Governor,3797.4103434312315,8989.385976567652,12786.796319998883,-40.60419438304523,True,False
2014,house,10.0,State Treasurer,0.0,9223.922149493104,9223.922149493104,,False,False
2014,house,11.0,Attorney General,1552.768102626688,5736.00074452459,7288.768847151278,-57.392856456586145,True,True
2014,house,11.0,Governor,3556.9527021324393,18154.545245897534,21711.497948029973,-67.2343869534328,True,True
2014,house,11.0,Lieutenant Governor,4352.8107994100865,17130.070186181845,21482.88098559193,-59.476470569013394,True,False
2014,house,11.0,State Treasurer,0.0,17911.21340291631,17911.21340291631,,False,False
2014,house,12.0,Attorney General,2693.077464701163,8909.145148731073,11602.222613432237,-53.57652487061733,True,True
2014,house,12.0,Governor,2213.1200499318375,9534.238508632,11747.358558563836,-62.32140120864072,True,True
2014,house,12.0,Lieutenant Governor,4710.918905422188,7038.687776224924,11749.606681647112,-19.811462067395937,True,False
2014,house,12.0,State Treasurer,0.0,9322.7993195645,9322.7993195645,,False,False
2014,house,13.0,Governor,6734.772446438322,20529.8539057158,27264.626352154122,-50.596994365879354,True,True
2014,house,13.0,Lieutenant Governor,6479.276718736654,20475.43018163224,26954.706900368896,-51.924710272787415,True,False
2014,house,13.0,State Treasurer,0.0,21089.56522496143,21089.56522496143,,False,False
2014,house,14.0,Attorney General,1006.3855527009769,3997.2546640947367,5003.640216795713,-59.773864262948265,True,True
2014,house,14.0,Governor,4435.104276936458,13523.882417458899,17958.986694395357,-50.608524273582034,True,True
2014,house,14.0,Lieutenant Governor,4482.954939174185,13173.847347217159,17656.802286391343,-49.22121382500455,True,False
2014,house,14.0,State Treasurer,0.0,13630.332225942679,13630.332225942679,,False,False
2014,house,15.0,Attorney General,3594.462789700723,9231.039610814172,12825.502400514895,-43.948195127912975,True,True
2014,house,15.0,Governor,3289.958977086494,9604.697341289128,12894.656318375623,-48.97174618918513,True,True
2014,house,15.0,Lieutenant Governor,3231.1594287165663,9610.454503766161,12841.613932482727,-49.676739299203156,True,False
2014,house,15.0,State Treasurer,0.0,9884.399350446429,9884.399350446429,,False,False
2014,house,16.0,Attorney General,3335.681217242636,8308.059740514138,11643.740957756774,-42.704303894351284,True,True
2014,house,16.0,Governor,3979.593421026187,12209.788079879607,16189.381500905794,-50.83699249655053,True,True
2014,house,16.0,Lieutenant Governor,3568.07971034274,10097.057463145436,13665.137173488176,-47.77835502061121,True,False
2014,house,16.0,State Treasurer,0.0,12064.552669920775,12064.552669920775,,False,False
2014,house,17.0,Attorney General,2839.406055519694,6635.361774712659,9474.767830232353,-40.0638388951413,True,True
2014,house,17.0,Governor,3725.6359451060775,10457.857312606238,14183.493257712316,-47.46518537553853,True,True
2014,house,17.0,Lieutenant Governor,3643.848070458858,9965.934518767603,13609.782589226461,-46.452516099069236,True,False
2014,house,17.0,State Treasurer,0.0,9964.878947600348,9964.878947600348,,False,False
2014,house,18.0,Attorney General,4403.341897769239,6641.05995721651,11044.40185498575,-20.26110683791448,True,True
2014,house,18.0,Governor,3975.238064810455,7333.720199583998,11308.958264394452,-29.69753761800955,True,True
2014,house,18.0,Lieutenant Governor,4171.2120939126235,6683.294534668208,10854.506628580832,-23.14322084562609,True,False
2014,house,18.0,State Treasurer,0.0,6763.137935699747,6763.137935699747,,False,False
2014,house,19.0,Attorney General,6889.433252379011,3381.3098822565034,10270.743134635515,34.15647070650845,True,True
2014,house,19.0,Governor,5829.63206371782,4232.642226636481,10062.2742903543,15.871062455653927,True,True
2014,house,19.0,Lieutenant Governor,6669.149920602475,3618.53642998222,10287.686350584694,29.65305693293104,True,False
2014,house,19.0,State Treasurer,0.0,4191.334920737948,4191.334920737948,,False,False
2014,house,20.0,Attorney General,3962.2569232707065,11780.283089339147,15742.540012609854,-49.66178367535457,True,True
2014,house,20.0,Governor,2959.854045351898,12891.69595013656,15851.549995488458,-62.65533596153931,True,True
2014,house,20.0,Lieutenant Governor,3284.056767664092,12549.234558333295,15833.291325997387,-58.51706761345505,True,False
2014,house,20.0,State Treasurer,0.0,12360.814542423057,12360.814542423057,,False,False
2014,house,21.0,Attorney General,4914.211232018127,9449.086647777865,14363.297879795991,-31.57266147169921,True,True
2014,house,21.0,Governor,3909.652267021376,10437.154437338882,14346.806704360259,-45.49794462856796,True,True
2014,house,21.0,Lieutenant Governor,4293.349855661677,10100.976540902393,14394.326396564069,-40.34663745451123,True,False
2014,house,21.0,State Treasurer,0.0,10055.034575433483,10055.034575433483,,False,False
2014,house,22.0,Attorney General,3268.681908804681,8718.181728111342,11986.863636916023,-45.46226589684227,True,True
2014,house,22.0,Governor,2468.8740597959068,9749.955913643666,12218.829973439573,-59.58902668811055,True,True
2014,house,22.0,Lieutenant Governor,2626.9231211309425,9305.63551342397,11932.558634554913,-55.970497165230526,True,False
2014,house,22.0,State Treasurer,0.0,9012.94983526285,9012.94983526285,,False,False
2014,house,23.0,Attorney General,3272.1530879922884,5812.280277471771,9084.43336546406,-27.96131676342287,True,True
2014,house,23.0,Governor,2849.977711001693,7078.155658301932,9928.133369303625,-42.58784395839366,True,True
2014,house,23.0,Lieutenant Governor,2838.3560554662536,6858.30069729665,9696.656752762903,-41.45701703512377,True,False
2014,house,23.0,State Treasurer,0.0,6550.639610596303,6550.639610596303,,False,False
2014,house,24.0,Governor,4673.885108575125,16151.9454786895,20825.830587264623,-55.114538275046854,True,True
2014,house,24.0,Lieutenant Governor,4949.859106516374,15252.861491171576,20202.72059768795,-50.998093721269925,True,False
2014,house,24.0,State Treasurer,0.0,14585.348060970977,14585.348060970977,,False,False
