cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status
2014,house,1,4652.0,4933.0,9585.0,-2.9316640584246216,True,R,2012_enacted,-20.15366831778802,3,-20.95619650956908,2,True,complete_core_expanded,17.2220042593634,18.024532451144456,1,Greg Burdine,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,2,5224.0,8561.0,13785.0,-24.20747188973522,True,R,2012_enacted,-41.57319743818061,3,-42.06448488445948,2,True,complete_core_expanded,17.365725548445393,17.857012994724254,1,Lynn Greer,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,3,7993.0,5357.0,13350.0,19.745318352059925,True,D,2012_enacted,-11.480068697642537,3,-11.63491380158812,2,True,complete_core_expanded,31.225387049702466,31.380232153648045,1,Marcel Black,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,4,0.0,8473.0,8473.0,-100.0,False,R,2012_enacted,-47.132602217576654,3,-47.94762073604015,2,True,complete_core_expanded,-52.86739778242335,-52.05237926395985,1,Micky Hammon,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,5,5520.0,7132.0,12652.0,-12.74106860575403,True,R,2012_enacted,-47.60501818043236,3,-47.68782188789504,2,True,complete_core_expanded,34.86394957467833,34.94675328214101,1,Dan Williams,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,6,0.0,8325.0,8325.0,-100.0,False,R,2012_enacted,-38.30834716912764,3,-38.39064606244881,2,True,complete_core_expanded,-61.69165283087236,-61.60935393755119,1,Phil Williams,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,7,5553.0,6072.0,11625.0,-4.464516129032258,True,R,2012_enacted,-32.297501639363574,3,-33.01169605180047,2,True,complete_core_expanded,27.83298551033132,28.54717992276821,1,Ken Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,8,4195.0,6270.0,10465.0,-19.827998088867652,True,R,2012_enacted,-39.91147407417123,3,-40.746164074370505,2,True,complete_core_expanded,20.083475985303576,20.91816598550285,1,Terri Collins,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,9,0.0,11646.0,11646.0,-100.0,False,R,2012_enacted,-52.95092419969216,3,-56.77725648128599,2,True,complete_core_expanded,-47.04907580030784,-43.22274351871401,1,Ed Henry,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,10,314.0,9256.0,9570.0,-93.43782654127482,True,R,2012_enacted,-38.49843628296088,3,-38.35617180608092,2,True,complete_core_expanded,-54.93939025831394,-55.08165473519389,1,Mike Ball,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,11,0.0,8941.0,8941.0,-100.0,False,R,2012_enacted,-55.08295101074427,3,-60.10140288305274,2,True,complete_core_expanded,-44.91704898925573,-39.89859711694726,0,,,,,False,False,True,open
2014,house,12,0.0,9455.0,9455.0,-100.0,False,R,2012_enacted,-45.34707559707372,3,-57.845049531880726,2,True,complete_core_expanded,-54.65292440292628,-42.15495046811928,0,,,,,False,False,True,open
2014,house,13,0.0,9482.0,9482.0,-100.0,False,R,2012_enacted,-47.28318900992323,2,,1,False,incomplete_core,-52.71681099007677,,0,,,,,False,False,True,open
2014,house,14,0.0,9255.0,9255.0,-100.0,False,R,2012_enacted,-49.21993957886516,3,-49.17218634651556,2,True,complete_core_expanded,-50.78006042113484,-50.82781365348444,0,,,,,False,False,True,open
