model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
baseline_only,forward_year,2002,342,12.387669016707711,16.1178335902313,4.156890900720271,0.8157894736842105,14.662530800299962
baseline_only,forward_year,2004,302,16.287261169846776,21.279519198515995,12.19748953929298,0.7582781456953642,21.903377938588484
baseline_only,forward_year,2006,244,15.098522409645017,19.114256968369823,6.782198925747444,0.7663934426229508,20.698674446361537
baseline_only,forward_year,2008,218,13.672527796457375,18.552375766895697,6.618123713771738,0.7844036697247706,19.225274967049522
baseline_only,forward_year,2010,624,17.553761488048405,23.37960613447089,12.892399119287921,0.8108974358974359,23.43369702263545
baseline_only,forward_year,2012,331,10.024326743315724,15.796965299078945,6.5849625452216625,0.8972809667673716,19.15874641125306
baseline_only,forward_year,2016,118,7.879729744557419,10.726737852598951,-0.4785883439567094,0.864406779661017,
full_temporal,forward_year,2002,342,11.823708700904648,14.92587342915562,-4.737869872251501,0.8333333333333334,13.72381713344855
full_temporal,forward_year,2004,302,11.616430132729267,15.023168385123428,4.652103745454207,0.8642384105960265,14.738961142585056
full_temporal,forward_year,2006,244,10.664393894216987,13.694911191943387,0.5532737896366955,0.8811475409836066,12.680424019961434
full_temporal,forward_year,2008,218,11.188011926406903,13.689956652582769,-7.689798396211738,0.8486238532110092,14.519662323347676
full_temporal,forward_year,2010,624,14.65936948771769,17.716230007130115,-7.503039454172273,0.8205128205128205,18.998847630028955
full_temporal,forward_year,2012,331,10.061414598696095,12.808261895039434,-1.9342446933856494,0.9305135951661632,12.682737246063486
full_temporal,forward_year,2016,118,7.276645795620504,9.276885295656315,0.4860969574653448,0.940677966101695,
pooled_lag,forward_year,2002,342,12.04454939585722,15.62484829965983,1.2771322192652166,0.8157894736842105,14.390120043170226
pooled_lag,forward_year,2004,302,14.628596719658487,19.405967474062596,8.517768918298174,0.7582781456953642,19.44309397250675
pooled_lag,forward_year,2006,244,13.983957671768366,17.870684429855253,0.06902758149079055,0.7581967213114754,17.07453492921326
pooled_lag,forward_year,2008,218,13.599727638354834,17.332146117263783,-0.11047137579970832,0.8027522935779816,17.327817165368106
pooled_lag,forward_year,2010,624,15.78830814620159,20.459996924321885,6.182187815918256,0.8157051282051282,20.857543096197873
pooled_lag,forward_year,2012,331,10.70737735931085,14.514696760460165,-2.1199153543905025,0.8761329305135952,16.723443296847623
pooled_lag,forward_year,2016,118,11.816070024643574,13.91315385071491,-8.873668458887522,0.8305084745762712,
portable_temporal,forward_year,2002,342,12.41073814607527,15.48613417197053,-6.8803467448070394,0.8304093567251462,14.488932258131255
portable_temporal,forward_year,2004,302,11.629461982290819,14.99564969172123,4.955251511762967,0.847682119205298,14.545616669909576
portable_temporal,forward_year,2006,244,10.703251933492389,13.67816312938524,-1.2860346970247092,0.8729508196721312,12.589918821411981
portable_temporal,forward_year,2008,218,11.740051527583766,14.347215688934671,-8.941269907975451,0.8302752293577982,14.628484596060582
portable_temporal,forward_year,2010,624,14.139085158722313,17.10911535780564,-7.594400218122915,0.8173076923076923,18.3633696718219
portable_temporal,forward_year,2012,331,10.665329499034614,13.61399464251798,-2.3727439965582238,0.9214501510574018,13.943236693226982
portable_temporal,forward_year,2016,118,8.633646366838425,10.71342686369539,-3.2899405047714896,0.923728813559322,
state_chamber_incumbency,forward_year,2002,342,10.743789217273804,14.370716115987872,0.7941661369361515,0.847953216374269,12.764287906516717
state_chamber_incumbency,forward_year,2004,302,12.762766523127542,16.132582761716865,7.759726916075323,0.8410596026490066,16.510449970890505
state_chamber_incumbency,forward_year,2006,244,11.309545442838447,14.464469423523884,3.1444796809379962,0.8729508196721312,15.341905620632446
state_chamber_incumbency,forward_year,2008,218,11.082749018036472,13.872635337018187,0.24808630396837136,0.8715596330275229,14.557051893258262
state_chamber_incumbency,forward_year,2010,624,16.18713732495551,19.798035655253127,2.5286909984409727,0.8205128205128205,21.363997685581797
state_chamber_incumbency,forward_year,2012,331,9.934691486786964,12.779250585654014,-1.5824624317594396,0.9154078549848943,13.515354160568476
state_chamber_incumbency,forward_year,2016,118,9.312556938733398,11.883256164021535,-0.5656452629471365,0.8983050847457628,
state_chamber_lag,forward_year,2002,342,12.494053137154038,16.17597571734124,-0.47005333053382586,0.7865497076023392,14.849417754272022
state_chamber_lag,forward_year,2004,302,13.583576149556526,18.343382942230892,6.644385917173939,0.7814569536423841,18.456907462259952
state_chamber_lag,forward_year,2006,244,13.391751829132579,17.249486529866505,0.02909265654089922,0.7540983606557377,16.418270998205344
state_chamber_lag,forward_year,2008,218,13.086424264391127,16.503927647072178,-0.6164817137131199,0.8073394495412844,16.56557969888386
state_chamber_lag,forward_year,2010,624,16.270786288854747,20.604550894629096,4.358621751485029,0.8076923076923077,21.065764383818134
state_chamber_lag,forward_year,2012,331,11.639223198847942,14.897317628373113,-4.047732243117532,0.8700906344410876,14.631602238700285
state_chamber_lag,forward_year,2016,118,8.16074981638889,10.757710924120767,-2.7251778253204453,0.8559322033898306,
symmetric_incumbency,forward_year,2002,342,10.096725057752986,13.603617282356112,2.98208870214133,0.868421052631579,12.311020892914337
symmetric_incumbency,forward_year,2004,302,13.911105333319854,17.268082906949157,9.995692411345047,0.8079470198675497,17.535758536176985
symmetric_incumbency,forward_year,2006,244,12.106643390339636,15.356080495733824,3.939366896819018,0.8647540983606558,17.031628098453684
symmetric_incumbency,forward_year,2008,218,10.996765694218372,14.02595278195195,1.572758553521098,0.8577981651376146,14.6722565619714
symmetric_incumbency,forward_year,2010,624,15.295421611392836,18.95428750921502,3.630552006314782,0.8333333333333334,20.212128657509254
symmetric_incumbency,forward_year,2012,331,9.39286775023011,13.019583887512727,0.5374817997111276,0.9274924471299094,16.208639606217695
symmetric_incumbency,forward_year,2016,118,10.367025240009905,13.19693684415767,-5.056468220856546,0.8728813559322034,
baseline_only,leave_state_out,AL,52,25.758935690864117,30.613733310186685,25.245769166079125,0.8076923076923077,26.79991314647593
baseline_only,leave_state_out,AR,110,11.262807352357564,14.181123584002087,-0.9375506483689086,0.8181818181818182,
baseline_only,leave_state_out,FL,69,31.817819096205913,34.346354038776084,31.817819096205913,0.8115942028985508,34.346354038776084
baseline_only,leave_state_out,GA,96,6.800704503256656,9.833174945827595,-3.1171414535255892,0.8645833333333334,5.911201949494419
baseline_only,leave_state_out,KY,66,20.16224307301329,26.778860240419778,13.109233616134805,0.6212121212121212,23.747773749058148
baseline_only,leave_state_out,MO,812,11.807667070281424,15.52906559444327,2.6769772757921126,0.8423645320197044,12.306967780170073
baseline_only,leave_state_out,NC,316,12.492556438011958,16.66671046316824,9.392480544634601,0.7848101265822784,16.672676642151323
baseline_only,leave_state_out,OK,98,25.313547281142597,31.9322221770703,23.87066706121373,0.7755102040816326,36.474503307600585
baseline_only,leave_state_out,SC,36,28.65814230340781,32.16339952282159,28.61542442917867,0.75,46.61375628605905
baseline_only,leave_state_out,TN,302,16.13657211828605,21.30664815229654,11.48269009947737,0.7715231788079471,23.738443260270248
baseline_only,leave_state_out,TX,426,12.006185019344576,16.752249755010432,7.061872751436488,0.8262910798122066,16.77684994303741
full_temporal,leave_state_out,AL,52,11.561996579006946,15.405381613180325,7.397960371277117,0.8076923076923077,5.713440168321625
full_temporal,leave_state_out,AR,110,19.31241677449262,23.108753490537083,-18.917857610386683,0.8090909090909091,
full_temporal,leave_state_out,FL,69,17.393832975068133,20.072727952642172,17.352630256915052,0.8695652173913043,20.072727952642172
full_temporal,leave_state_out,GA,96,10.79748886775141,12.571812138268466,-10.203602018398941,0.875,9.262133586519521
full_temporal,leave_state_out,KY,66,14.550856200143281,19.07523951872787,-0.9399026130359013,0.803030303030303,17.82865106808959
full_temporal,leave_state_out,MO,812,11.177947035004163,14.158016579042778,-5.835512634161821,0.8559113300492611,13.960464781878226
full_temporal,leave_state_out,NC,316,10.08969133733481,12.584268959654375,-3.1702812594782652,0.8512658227848101,11.316232167797889
full_temporal,leave_state_out,OK,98,14.516635209997329,18.89716424914415,9.7921805659215,0.8061224489795918,22.441551265321994
full_temporal,leave_state_out,SC,36,14.084874993106283,17.327637253831572,12.096621416665394,0.8611111111111112,15.541810156797204
full_temporal,leave_state_out,TN,302,12.068406617402058,15.083533634312435,0.54835689456069,0.8609271523178808,15.610036766854066
full_temporal,leave_state_out,TX,426,11.672579261135374,14.193384478905113,-4.761272623291149,0.8450704225352113,14.199400031507171
pooled_lag,leave_state_out,AL,52,20.153346512648803,24.744406186671586,17.67579789233598,0.8076923076923077,19.22994187273278
pooled_lag,leave_state_out,AR,110,12.876978862214825,16.94564764379798,-9.323610308312585,0.8363636363636363,
pooled_lag,leave_state_out,FL,69,24.599931199894804,27.769836875272343,24.57367323704723,0.8695652173913043,27.769836875272343
pooled_lag,leave_state_out,GA,96,13.0081235422932,14.835476912147255,-11.537617454955347,0.8125,10.028386869177213
pooled_lag,leave_state_out,KY,66,18.293508061529952,23.944709319049608,5.300354195734933,0.6818181818181818,21.666179098524438
pooled_lag,leave_state_out,MO,812,13.991836945136962,17.265550690739563,-8.007094963411074,0.7684729064039408,15.699926089873216
pooled_lag,leave_state_out,NC,316,10.509789917470142,13.867386165089085,1.6564577175291968,0.8227848101265823,13.409743582540852
pooled_lag,leave_state_out,OK,98,20.613051466244453,26.932080286037916,16.597556486276112,0.7755102040816326,31.249444809012125
pooled_lag,leave_state_out,SC,36,21.44373450487596,25.605881487690652,20.976639701321414,0.7777777777777778,38.9749715582018
