model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
baseline_only,forward_year,2002,342,12.387669016707711,16.1178335902313,4.156890900720271,0.8157894736842105,14.662530800299962
baseline_only,forward_year,2004,302,16.287261169846776,21.279519198515995,12.19748953929298,0.7582781456953642,21.903377938588484
baseline_only,forward_year,2006,244,15.098522409645017,19.114256968369823,6.782198925747444,0.7663934426229508,20.698674446361537
baseline_only,forward_year,2008,218,13.672527796457375,18.552375766895697,6.618123713771738,0.7844036697247706,19.225274967049522
baseline_only,forward_year,2010,624,17.553761488048405,23.37960613447089,12.892399119287921,0.8108974358974359,23.43369702263545
baseline_only,forward_year,2012,331,10.024326743315724,15.796965299078945,6.5849625452216625,0.8972809667673716,19.15874641125306
baseline_only,forward_year,2016,118,7.879729744557419,10.726737852598951,-0.4785883439567094,0.864406779661017,
full_temporal,forward_year,2002,342,13.617953991984681,17.047586741109317,-9.709372702767093,0.8421052631578947,16.258222452672488
full_temporal,forward_year,2004,302,13.209125120406707,16.701968606757426,7.322500493405109,0.8410596026490066,17.04325455095789
full_temporal,forward_year,2006,244,12.21605526562041,15.365903584377902,4.5370263806294915,0.8729508196721312,15.899817901223068
full_temporal,forward_year,2008,218,10.509801668843641,12.642989097125744,-5.330000449535555,0.8807339449541285,13.154908305305366
full_temporal,forward_year,2010,624,14.006697600016595,16.982325901948602,-4.139683157391355,0.8108974358974359,18.322070055053214
full_temporal,forward_year,2012,331,9.802642254278087,12.549475020020122,-1.7024643957056393,0.9305135951661632,12.537232311664356
full_temporal,forward_year,2016,118,7.172438606758336,9.299291435583411,0.15942121931637668,0.9322033898305084,
pooled_lag,forward_year,2002,342,12.223258583461424,15.70075136238354,-2.0021927133748325,0.7953216374269005,14.773653393964414
pooled_lag,forward_year,2004,302,14.168364385058855,18.884035586318994,7.250352664975208,0.7649006622516556,18.688683410408153
pooled_lag,forward_year,2006,244,14.010835291637976,17.883883766328978,-0.6904356473275494,0.7459016393442623,16.784752481448155
pooled_lag,forward_year,2008,218,13.727955531379118,17.34604046506233,-0.7028760276669626,0.7981651376146789,17.276682865053534
pooled_lag,forward_year,2010,624,15.751630400115772,20.31577023413381,5.686694316924764,0.8157051282051282,20.740830907174594
pooled_lag,forward_year,2012,331,10.828533484436171,14.56450168253219,-2.4376891356673807,0.879154078549849,16.713788989907712
pooled_lag,forward_year,2016,118,12.001844375530588,14.089682830791897,-9.147967212277491,0.8220338983050848,
portable_temporal,forward_year,2002,342,12.443565732875177,15.61880234153007,-5.888818238284195,0.8333333333333334,14.662583692988905
portable_temporal,forward_year,2004,302,14.296315539375879,17.54435520050568,9.21746619360556,0.8344370860927153,18.448257507991272
portable_temporal,forward_year,2006,244,11.757282507651896,14.956726254415623,2.9412673974215706,0.8729508196721312,15.779887719291409
portable_temporal,forward_year,2008,218,10.94405284115907,13.297339978576117,-6.621829943221716,0.8394495412844036,13.549417183091027
portable_temporal,forward_year,2010,624,13.387398522105233,16.259495711348496,-4.529339830799004,0.8189102564102564,17.611269634279587
portable_temporal,forward_year,2012,331,10.189303085669652,13.11823938488904,-1.806120214712936,0.9214501510574018,13.724252272266023
portable_temporal,forward_year,2016,118,8.348054065650537,10.405637762843607,-3.6388601985175897,0.9067796610169492,
state_chamber_incumbency,forward_year,2002,342,12.100017620874262,15.42084460826134,-7.448461983257555,0.8508771929824561,14.318788098769046
state_chamber_incumbency,forward_year,2004,302,12.873941245857981,16.407128687555307,6.44110755561121,0.8410596026490066,16.204455816616814
state_chamber_incumbency,forward_year,2006,244,11.689252857162284,14.881251733349844,2.1429913970703667,0.8647540983606558,15.600486178297185
state_chamber_incumbency,forward_year,2008,218,10.849942854757613,13.529957573965898,-0.46022754973741653,0.8853211009174312,14.084965009497802
state_chamber_incumbency,forward_year,2010,624,16.075339506418768,19.63029018336432,1.9807703045708838,0.8221153846153846,21.19529849152013
state_chamber_incumbency,forward_year,2012,331,10.03590757279474,12.862742218695725,-1.92324703536273,0.9154078549848943,13.577342469847231
state_chamber_incumbency,forward_year,2016,118,9.363703635163324,11.936363989810811,-0.5455573849930062,0.8983050847457628,
state_chamber_lag,forward_year,2002,342,14.330330126518419,17.994108489699062,-9.0868853206227,0.783625730994152,17.836237290148812
state_chamber_lag,forward_year,2004,302,13.671915337431688,18.41013047440507,5.128609156569385,0.7748344370860927,17.791097100209516
state_chamber_lag,forward_year,2006,244,13.856379462922758,17.715704692787746,-1.10717644933425,0.7540983606557377,16.75616566041722
state_chamber_lag,forward_year,2008,218,12.986341697095364,16.21222633089327,-1.3992771950919463,0.8165137614678899,16.10322260947032
state_chamber_lag,forward_year,2010,624,16.10418448864636,20.373691935981896,3.7914744106320066,0.8108974358974359,20.786168484356917
state_chamber_lag,forward_year,2012,331,11.881499117785912,15.091572043560165,-4.43985494526206,0.8700906344410876,14.708994441698412
state_chamber_lag,forward_year,2016,118,8.166252611335317,10.761976594891427,-2.733159405216365,0.8559322033898306,
symmetric_incumbency,forward_year,2002,342,10.109516066199207,13.360440302239201,0.017879390063557512,0.8771929824561403,12.20994660637898
symmetric_incumbency,forward_year,2004,302,13.347655777885333,16.661558089100907,8.906661739643262,0.8245033112582781,16.754128789246067
symmetric_incumbency,forward_year,2006,244,11.96795518701868,15.213341220020201,3.3940103473010828,0.8688524590163934,16.73857423978174
symmetric_incumbency,forward_year,2008,218,11.01685004080857,13.964015765061887,1.1045336434658104,0.8577981651376146,14.61462328975615
symmetric_incumbency,forward_year,2010,624,15.321561925753421,18.903344002276835,3.124503921439184,0.8301282051282052,20.22776724024142
symmetric_incumbency,forward_year,2012,331,9.444529676290177,13.03014757932224,0.29754131914295545,0.9274924471299094,16.200126116137874
symmetric_incumbency,forward_year,2016,118,10.461883680445773,13.326770890248874,-5.235738581563751,0.8728813559322034,
baseline_only,leave_state_out,AL,52,25.758935690864117,30.613733310186685,25.245769166079125,0.8076923076923077,26.79991314647593
baseline_only,leave_state_out,AR,110,11.262807352357564,14.181123584002087,-0.9375506483689086,0.8181818181818182,
baseline_only,leave_state_out,FL,69,31.817819096205913,34.346354038776084,31.817819096205913,0.8115942028985508,34.346354038776084
baseline_only,leave_state_out,GA,96,6.800704503256656,9.833174945827595,-3.1171414535255892,0.8645833333333334,5.911201949494419
baseline_only,leave_state_out,KY,66,20.16224307301329,26.778860240419778,13.109233616134805,0.6212121212121212,23.747773749058148
baseline_only,leave_state_out,MO,812,11.807667070281424,15.52906559444327,2.6769772757921126,0.8423645320197044,12.306967780170073
baseline_only,leave_state_out,NC,316,12.492556438011958,16.66671046316824,9.392480544634601,0.7848101265822784,16.672676642151323
baseline_only,leave_state_out,OK,98,25.313547281142597,31.9322221770703,23.87066706121373,0.7755102040816326,36.474503307600585
baseline_only,leave_state_out,SC,36,28.65814230340781,32.16339952282159,28.61542442917867,0.75,46.61375628605905
baseline_only,leave_state_out,TN,321,17.6300612294354,23.555070297650445,13.251642632300756,0.7601246105919003,23.738443260270248
baseline_only,leave_state_out,TX,426,12.006185019344576,16.752249755010432,7.061872751436488,0.8262910798122066,16.77684994303741
full_temporal,leave_state_out,AL,52,11.691001448293914,15.602384917295923,7.798487693817231,0.8076923076923077,5.2371435746717765
full_temporal,leave_state_out,AR,110,20.865691608254146,24.517624157595144,-20.51276975904085,0.8090909090909091,
full_temporal,leave_state_out,FL,69,17.751267034200403,20.38932588401825,17.719694014009065,0.8695652173913043,20.38932588401825
full_temporal,leave_state_out,GA,96,11.08393752399312,12.733199534560569,-10.47137948848092,0.8541666666666666,9.048426893456917
full_temporal,leave_state_out,KY,66,14.473711682160088,19.075798484165393,-0.5710382699264178,0.803030303030303,17.771516304621215
full_temporal,leave_state_out,MO,812,12.013507758396424,15.056194563498037,-8.12682426524224,0.8411330049261084,13.746628584864183
full_temporal,leave_state_out,NC,316,10.03250363228177,12.50955283708901,-3.386859174126654,0.8607594936708861,11.08365638627181
full_temporal,leave_state_out,OK,98,14.723549453854607,19.203377996125944,10.294043142042337,0.8061224489795918,22.867182730153136
full_temporal,leave_state_out,SC,36,14.295099576638258,17.5771057247248,12.459903101047633,0.8611111111111112,16.001295013175824
full_temporal,leave_state_out,TN,321,12.509003271501184,15.800535696420077,1.6391762499780747,0.8504672897196262,15.610036766854066
full_temporal,leave_state_out,TX,426,11.444080961661255,13.905345035501037,-4.8078385131702035,0.852112676056338,13.91537262991147
pooled_lag,leave_state_out,AL,52,19.98518273635414,24.549947411632036,17.402531755857147,0.8076923076923077,18.95667573625395
pooled_lag,leave_state_out,AR,110,13.011201319913228,17.097607467270876,-9.597026425846375,0.8363636363636363,
pooled_lag,leave_state_out,FL,69,24.33007569916266,27.52421646114393,24.29576234823353,0.8695652173913043,27.52421646114393
pooled_lag,leave_state_out,GA,96,13.24000639379352,15.047570127987592,-11.80909006158987,0.8125,10.249094172828375
pooled_lag,leave_state_out,KY,66,18.271501727343946,23.88577056032404,5.027393508261142,0.6818181818181818,21.640815813963812
pooled_lag,leave_state_out,MO,812,14.171014450474157,17.43862476692571,-8.373766348556684,0.7610837438423645,15.931130454158552
pooled_lag,leave_state_out,NC,316,10.519168966532524,13.834137882237364,1.3501200180031303,0.8259493670886076,13.35657136827979
pooled_lag,leave_state_out,OK,98,20.469597363795614,26.75971849359764,16.316386445476393,0.7755102040816326,31.063997787413243
pooled_lag,leave_state_out,SC,36,21.18791701152923,25.38446051261444,20.705774120130762,0.7777777777777778,38.704105977011146
