model,fold_type,folds,rows,mean_mae,mean_rmse,mean_bias,mean_winner_accuracy,mean_whole_precinct_rmse
baseline_only,forward_year,7,2179,13.271971195511204,17.852470687165944,6.964782342869329,0.813921416293303,19.84705026436467
full_temporal,forward_year,7,2179,11.504959215415495,14.369934340988932,-1.2660818017212379,0.8729234359038954,15.535917596146064
pooled_lag,forward_year,7,2179,13.244631721659987,16.96923798965025,-0.2920162506306063,0.8030260259567942,17.496398674659428
portable_temporal,forward_year,7,2179,11.623710327783922,14.457228090586948,-1.4751764049297584,0.8610444069810272,15.62927800165137
state_chamber_incumbency,forward_year,7,2179,11.855443613289852,14.95265414214332,0.02676790055739318,0.8682629027507988,15.8302226774247
state_chamber_lag,forward_year,7,2179,12.999557548819402,16.651344366031232,-1.4066099640465615,0.8094275091331752,17.33031426438353
symmetric_incumbency,forward_year,7,2179,11.667136050628738,14.922802549752877,1.6584845399274428,0.8655498465798207,16.124194380257038
baseline_only,leave_state_out,11,2402,18.519151732483753,22.94108762994332,13.726108588280153,0.7874876669459868,24.338844010309327
full_temporal,leave_state_out,11,2402,13.71666854102138,16.942767711908562,0.1849631573551869,0.8377501298486503,14.567058476799867
pooled_lag,leave_state_out,11,2402,16.58030766441168,20.645432148205867,5.428919971259382,0.7944144762013235,21.24758904738545
portable_temporal,leave_state_out,11,2402,12.183833252822883,15.326308873184018,2.23115500334842,0.8533555415181144,14.088031476354882
state_chamber_incumbency,leave_state_out,11,2402,15.556302977738342,18.96824942100577,0.482649653980608,0.8273045399289465,17.49385466959226
state_chamber_lag,leave_state_out,11,2402,16.7644826435888,20.57815821078694,0.5145412720949077,0.7922000816485327,20.481146447717844
symmetric_incumbency,leave_state_out,11,2402,15.40991403115259,18.926778594477998,4.6928465596579905,0.8340504984060494,18.071147993344553
