cycle,chamber,district,party,candidate,committee_match_status,surname_results,compatible_results,name_score,name_margin,fcpa_record_id,committee_id,fcpa_candidate_name,committee_status,registered_date,search_url,retrieved_at_utc,pcc_records_with_activity,aggregation_status
2014,house,1,D,Greg Burdine,unique_office_district_party_review,2,1,82.75862068965517,82.75862068965517,356.0,25229,GREGORY K BURDINE,Dissolved,07/31/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22BURDINE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,9,R,Ed Henry,unique_office_district_party_review,6,1,85.5,85.5,439.0,25312,WILLIAM E HENRY,Dissolved,08/28/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22HENRY%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,10,D,Means,unresolved,5,0,0.0,0.0,,,,,,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22MEANS%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,,
2014,house,17,D,Don Barnwell,unique_office_district_party_review,1,1,85.5,85.5,728.0,25602,DONALD EDWARD BARNWELL,Dissolved,02/05/2014,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22BARNWELL%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,18,R,Gerry Wallace,unique_office_district_party_review,17,1,75.86206896551724,75.86206896551724,505.0,25379,GERALD C WALLACE,Dissolved,10/24/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22WALLACE%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,27,D,Jeff McLaughlin,unique_office_district_party_review,4,1,78.94736842105263,78.94736842105263,794.0,25668,JEFFREY REX MCLAUGHLIN,Active,02/12/2014,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22LAUGHLIN%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,28,R,Doug Sherrod,unique_office_district_party_review,2,1,70.0,70.0,405.0,25278,CARL D SHERROD,Dissolved,01/31/2014,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22SHERROD%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,30,R,MacK N. Butler,unique_office_district_party_review,11,1,81.25,81.25,165.0,25038,MACK NEWMAN BUTLER,Dissolved,06/24/2013,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22BUTLER%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,35,R,Steve Hurst,unique_office_district_party_review,6,1,85.5,85.5,341.0,25214,STEPHEN (STEVE) WILCOX HURST,Active,01/07/2020,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22HURST%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
2014,house,37,D,Josh Burns,unique_office_district_party_review,9,1,85.5,85.5,597.0,25471,WILLIAM JOSHUA BURNS,Active,01/13/2014,https://fcpa.alabamavotes.gov/page.request.do?page=com.acf.common.page.committeesearchresults&pageNumber=1&pageSize=100&sortDirection=ASC&sortBy=candidateLastName&criteria=%5B%7B%22field_key%22%3A%22candidateLastName%22%2C%22comparison_type%22%3A%22like%22%2C%22comparison_value_1%22%3A%22BURNS%22%7D%2C%7B%22field_key%22%3A%22committeeType%22%2C%22comparison_type%22%3A%22equalTo%22%2C%22comparison_value_1%22%3A%221%22%7D%5D,2026-08-24T23:43:10.830736+00:00,1.0,single_active_pcc_record
