specification,forward_mae,forward_rmse,worst_cycle_mae,latest_2022_mae,mae_improvement_vs_nonfinance,percent_mae_improvement,effect_200k_vs_50k,effect_50k_vs_0,desired_order_200k_vs_50k_larger,loco_2014_mae,loco_2018_mae,loco_2022_mae,loco_mean_cycle_mae,paired_mean_error_improvement,paired_bootstrap_ci_low,paired_bootstrap_ci_high,paired_bootstrap_probability_improvement
viable_flag_25k,12.3952323573211,14.65656474323904,12.974952735297684,11.815511979344517,3.062131699553502,19.81018036637127,0.0,11.479591471470464,False,33.12915397016473,9.184788276005749,11.815511979344517,18.043151408504997,3.2339751868698348,2.2042535637090355,4.236581967076432,1.0
hybrid_log50_viable_25k,12.64741990974591,15.013732018008069,13.617889252943009,11.676950566548811,2.809944147128693,18.178676110555738,1.0388985702802174,10.596711993052747,False,29.933822939901706,9.580926547755876,11.676950566548811,17.063900018068797,2.854464937912498,1.811993953979625,3.87054467120636,1.0
hybrid_log50_viable_10k,13.640022668443793,16.137480772600668,14.823367709547316,12.45667762734027,1.81734138843081,11.757123541530062,3.6428619016565733,7.218327534072166,False,34.63793520469023,10.421552004908518,12.45667762734027,19.17205494564634,1.79249818776196,0.7585338762694999,2.7943379811087525,0.9996
log_diminishing_10k,14.01639661079226,16.50496595987181,15.518244379744278,12.51454884184024,1.4409674460823432,9.322206818577701,5.006540660671298,7.160585731239429,False,36.477931365370274,10.322262088536462,12.51454884184024,19.77158076524899,1.3123424576875813,0.4668962006556896,2.167902518731575,0.9987
viable_flag_10k,14.099708701672604,16.51450894947845,15.102641427551315,13.096775975793895,1.3576553552019988,8.783226882711524,0.0,10.772439996503763,False,40.12960552589657,10.156867205197933,13.096775975793895,21.127749568962802,1.391598189831121,0.5125023130871356,2.260239123465689,0.99875
log_diminishing_25k,14.34875133001583,16.930629774878376,15.897646536180003,12.799856123851658,1.108612726858773,7.172068424989459,5.429243951875627,5.429243951875627,False,37.36397007200932,10.608893889807957,12.799856123851658,20.257573361889644,0.9646576746533074,0.1772785298677449,1.7806192189461554,0.99145
viable_flag_50k,14.508086728410941,16.939618405651828,14.818918596046506,14.197254860775375,0.949277328463662,6.141262669177249,0.0,9.287306221190548,False,33.05986813142912,11.967381486540317,14.197254860775375,19.74150149291494,1.2087361730821233,0.3235078292356224,2.0556130497165057,0.99655
log_diminishing_50k,14.552008255292183,17.256290720273483,16.191993705593166,12.912022804991201,0.9053558015824201,5.857116376706975,5.450493680435869,4.123139300477831,True,38.55255189222662,10.793984457726609,12.912022804991201,20.75285305164814,0.7317196585908007,-0.017360419437937542,1.482608503141086,0.97245
hybrid_log50_viable_50k,14.55863370336468,17.02115547629021,15.133310791570246,13.983956615159114,0.8987303535099223,5.814253647666501,1.5826317009116906,8.10712554803639,False,33.14443886073017,12.337853550252428,13.983956615159114,19.822083008713903,1.0722171599651256,0.1459858708192731,1.9659938430283574,0.98765
sqrt_diminishing_gap,14.58284268197699,17.453185876982793,16.486098042255623,12.679587321698357,0.8745213748976131,5.657635879441378,3.9513954927485457,3.9513954927485457,False,39.96151978487834,10.461842347723014,12.679587321698357,21.03431648476657,0.6151006544975478,0.08741477734274038,1.1774350867809118,0.98905
log_diminishing_100k,14.708756777899072,17.556407593851137,16.453625031909894,12.963888523888249,0.7486072789755305,4.843046176703008,5.021258700281045,2.937248046084264,True,39.884225058546804,10.869723770800675,12.963888523888249,21.239279117745244,0.5407958403930659,-0.09938354689071248,1.2098324516341434,0.9493
log_diminishing_200k,14.795028597093317,17.75338987254711,16.62338559903851,12.966671595148124,0.6623354597812856,4.284918549788018,4.225380951529573,2.0060834693826592,True,41.06764834218533,10.803438834445215,12.966671595148124,21.612586257259554,0.4273198224336871,-0.08919644490979314,0.9762204440098946,0.9461
raw_amount_gap,15.145920871761042,18.029152073182757,16.482851193452497,13.80899055006959,0.3114431851135606,2.0148531403389405,1.241949233337671,0.4139830777792213,True,43.36301506817264,10.362870035819281,13.80899055006959,22.51162521802051,0.2365553424553837,-0.010003570963294095,0.4729335778031085,0.9696
hybrid_log50_viable_100k,15.195247736389522,18.04121828840382,17.538503102666347,12.851992370112695,0.26211632048508093,1.6957375107465733,6.251052788493148,3.782392683910601,True,37.01705852218215,12.02286581724812,12.851992370112695,20.630638903180987,-0.14067518838630508,-1.089284883494669,0.8318451044842047,0.3785
viable_flag_100k,15.424271563517141,18.34768908919561,17.628766560072556,13.219776566961725,0.03309249335746145,0.2140888526381294,7.777359767653898,0.0,True,36.484234085207255,12.547950364580021,13.219776566961725,20.75065367224967,-0.324484962458635,-1.2359987817084603,0.5845242525631896,0.239
nonfinance_baseline,15.457364056874603,18.282280432839634,16.564466171787515,14.35026194196169,0.0,0.0,0.0,0.0,False,43.91543128447693,10.484848656232824,14.35026194196169,22.916847294223814,0.0,0.0,0.0,0.0
