state_code,cycle,chamber,model_valid_outcomes,context_rows,strict_ready,research_ready,missing_context,missing_baseline,missing_incumbency,model_source_fallbacks
AL,2018,lower,49,49,49,0,0,0,0,0
AL,2018,upper,15,15,15,0,0,0,0,0
AL,2022,lower,25,25,25,0,0,0,0,0
AL,2022,upper,8,8,8,0,0,0,0,0
AR,2016,lower,25,25,25,0,0,0,0,0
AR,2016,upper,3,3,3,0,0,0,0,0
AR,2018,lower,40,40,40,0,0,0,0,0
AR,2018,upper,7,7,7,0,0,0,0,0
AR,2020,lower,38,38,38,0,0,0,0,0
AR,2020,upper,8,8,8,0,0,0,0,0
AR,2022,lower,35,35,35,0,0,0,0,0
AR,2022,upper,13,13,13,0,0,0,0,0
AR,2024,lower,49,49,49,0,0,0,0,0
AR,2024,upper,5,5,5,0,0,0,0,0
FL,2016,lower,56,56,56,0,0,0,0,0
FL,2016,upper,17,17,17,0,0,0,0,0
FL,2018,lower,77,77,77,0,0,0,0,2
FL,2018,upper,17,17,17,0,0,0,0,1
FL,2020,lower,95,95,95,0,0,0,0,0
FL,2020,upper,18,18,18,0,0,0,0,0
FL,2022,lower,67,67,67,0,0,0,0,0
FL,2022,upper,23,23,23,0,0,0,0,0
FL,2024,lower,102,102,86,16,0,0,0,0
FL,2024,upper,17,17,17,0,0,0,0,0
GA,2016,lower,31,31,31,0,0,0,0,0
GA,2016,upper,13,13,13,0,0,0,0,0
GA,2018,lower,68,68,68,0,0,0,0,0
GA,2018,upper,23,23,23,0,0,0,0,0
GA,2020,lower,86,86,86,0,0,0,0,0
GA,2020,upper,28,28,28,0,0,0,0,0
GA,2022,lower,86,86,86,0,0,0,0,0
GA,2022,upper,26,26,26,0,0,0,0,0
GA,2024,lower,90,90,89,1,0,0,0,0
GA,2024,upper,23,23,23,0,0,0,0,0
KY,2016,lower,64,64,64,0,0,0,0,0
KY,2016,upper,6,6,6,0,0,0,0,0
KY,2018,lower,85,85,85,0,0,0,0,1
KY,2018,upper,16,16,16,0,0,0,0,0
KY,2020,lower,60,60,60,0,0,0,0,0
KY,2020,upper,8,8,8,0,0,0,0,0
KY,2022,lower,46,46,46,0,0,0,0,0
KY,2022,upper,8,8,8,0,0,0,0,0
KY,2024,lower,44,44,42,2,0,0,0,0
