war_outcome_id,build_run_id,state_code,cycle,chamber,district,election_stage,election_date,district_plan_id,geography_vintage,observation_set_id,canonical_observation_set_id,dem_candidate_result_id,rep_candidate_result_id,dem_candidate_name,rep_candidate_name,dem_votes,rep_votes,two_party_votes,third_party_votes,legislative_dem_margin,source_provider,source_family,source_file_id,authority_rank,source_quality_flags_json,selection_status,validation_status,context_feature_id,baseline_dem_margin,baseline_source,baseline_office,baseline_class,baseline_quality,baseline_coverage,baseline_source_path,strict_baseline_eligible,research_baseline_eligible,dem_incumbent,rep_incumbent,incumbency_balance,incumbency_source,incumbency_quality,strict_incumbency_eligible,direct_overperformance,training_status,finance_status,finance_dem_candidate_result_id,finance_rep_candidate_result_id,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,finance_smoothing_constant,race_finance_status,evaluation_status
WAROUT-ACD1B6CFAC5B892FA85C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,2,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-2,ALCANON-2018-house-2,AL-2018-house-2-D-LORA-KAY-MORROW,AL-2018-house-2-R-LYNN-GREER,Lora Kay Morrow,Lynn Greer,4798,13056,17854,21,-46.25294051753109,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-3D9CFB24468DF70CB9CF687F"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 21}}",canonical_model_eligible,passed,WARCTX-ACD1B6CFAC5B892FA85C,-47.33594922556552,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,1.0830087080344342,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-2-D-LORA-KAY-MORROW,AL-2018-house-2-R-LYNN-GREER,13748.97,176800.0,observed_positive,observed_positive,1,-2.4894860732407134,1000.0,complete,strict_war_ready_with_finance
WAROUT-2FA078E1F83959C3BEEF,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,3,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-3,ALCANON-2018-house-3,AL-2018-house-3-D-CHAD-YOUNG,AL-2018-house-3-R-ANDREW-SORRELL,Chad Young,Andrew Sorrell,8540,9448,17988,11,-5.047809650878364,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-76CFC27921CD2C5B4EFA1EDF"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 11}}",canonical_model_eligible,passed,WARCTX-2FA078E1F83959C3BEEF,-18.867571819684688,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,0,0,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: ballotpedia_explicit_open_seat,source_validated,1,13.819762168806324,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-3-D-CHAD-YOUNG,AL-2018-house-3-R-ANDREW-SORRELL,90321.42,370787.48,observed_positive,observed_positive,1,-1.4039370294460856,1000.0,complete,strict_war_ready_with_finance
WAROUT-95F32D69686B6CFA1219,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,4,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-4,ALCANON-2018-house-4,AL-2018-house-4-D-JO-ANN-CUMMINGS,AL-2018-house-4-R-PARKER-DUNCAN-MOORE,Jo Ann Cummings,Parker Duncan Moore,4325,11074,15399,1625,-43.82752126761478,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-F9ED0954C91E6B017FB8C3B0"", ""other_named_votes"": 1620, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 5}}",canonical_model_eligible,passed,WARCTX-95F32D69686B6CFA1219,-40.13621286018718,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,0,0,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: ballotpedia_explicit_open_seat,source_validated,1,-3.6913084074275986,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-4-D-JO-ANN-CUMMINGS,AL-2018-house-4-R-PARKER-DUNCAN-MOORE,15697.18,170422.22,observed_positive,observed_positive,1,-2.328889793145989,1000.0,complete,strict_war_ready_with_finance
WAROUT-442DED690B460960AF9A,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,5,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-5,ALCANON-2018-house-5,AL-2018-house-5-D-BRIAN-D-WILLIAMS,AL-2018-house-5-R-DANNY-F-CRAWFORD,Brian D Williams,Danny F. Crawford,4725,12395,17120,19,-44.80140186915888,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-32DF2248362DD57D5C9A07F4"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 19}}",canonical_model_eligible,passed,WARCTX-442DED690B460960AF9A,-41.28640693419884,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,-3.5149949349600433,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-5-D-BRIAN-D-WILLIAMS,AL-2018-house-5-R-DANNY-F-CRAWFORD,9050.23,115701.0,observed_positive,observed_positive,1,-2.4520195884207348,1000.0,complete,strict_war_ready_with_finance
WAROUT-3283E57DCE691AE7F22C,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,7,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-7,ALCANON-2018-house-7,AL-2018-house-7-D-KENNETH-A-BRACKINS,AL-2018-house-7-R-PRONCEY-ROBERTSON,Kenneth A. Brackins,Proncey Robertson,3592,10892,14484,9,-50.4004418668876,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-BA956F594A1D5E3CC019C742"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 9}}",canonical_model_eligible,passed,WARCTX-3283E57DCE691AE7F22C,-63.83438179424244,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,0,0,Canonical Alabama candidate export,canonical_reviewed,1,13.433939927354842,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-7-D-KENNETH-A-BRACKINS,AL-2018-house-7-R-PRONCEY-ROBERTSON,22654.66,88301.71,observed_positive,observed_positive,1,-1.3284605009380743,1000.0,complete,strict_war_ready_with_finance
WAROUT-9531E1503E2C6D7A510D,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,8,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-8,ALCANON-2018-house-8,AL-2018-house-8-D-BILLY-JACKSON,AL-2018-house-8-R-TERRI-COLLINS,Billy Jackson,Terri Collins,5469,8803,14272,7,-23.36042600896861,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-7C1DD3E996F99CA22545B85C"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 7}}",canonical_model_eligible,passed,WARCTX-9531E1503E2C6D7A510D,-23.925132042676523,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,0.564706033707914,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-8-D-BILLY-JACKSON,AL-2018-house-8-R-TERRI-COLLINS,13436.0,170856.82,observed_positive,observed_positive,1,-2.4769366015003174,1000.0,complete,strict_war_ready_with_finance
WAROUT-BD8DA90B4FBA11E11797,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,10,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-10,ALCANON-2018-house-10,AL-2018-house-10-D-J-B-KING,AL-2018-house-10-R-MIKE-BALL,J.B. King,Mike Ball,8565,11240,19805,1143,-13.506690229739965,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-64AA76DD09E8BA5849E1154F"", ""other_named_votes"": 1130, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 13}}",canonical_model_eligible,passed,WARCTX-BD8DA90B4FBA11E11797,-7.185999510769945,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,-6.320690718970019,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-10-D-J-B-KING,AL-2018-house-10-R-MIKE-BALL,10021.64,163879.56,observed_positive,observed_positive,1,-2.70535465499237,1000.0,complete,strict_war_ready_with_finance
WAROUT-E3A778403481AD2D7F37,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,15,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-15,ALCANON-2018-house-15,AL-2018-house-15-D-SUZANNA-COLEMAN,AL-2018-house-15-R-ALLEN-FARLEY,Suzanna Coleman,Allen Farley,6951,14212,21163,15,-34.30988045173179,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-6B8C33ACFB7EC31B6884F64C"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 15}}",canonical_model_eligible,passed,WARCTX-E3A778403481AD2D7F37,-36.31332063205876,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,2.003440180326969,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-15-D-SUZANNA-COLEMAN,AL-2018-house-15-R-ALLEN-FARLEY,14119.55,86182.84,observed_positive,observed_positive,1,-1.7520189141548834,1000.0,complete,strict_war_ready_with_finance
WAROUT-60189DA3A69756B017A3,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,18,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-18,ALCANON-2018-house-18,AL-2018-house-18-D-EDDIE-BRITTON,AL-2018-house-18-R-JAMIE-KIEL,Eddie Britton,Jamie Kiel,3886,9845,13731,8,-43.39815017114558,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-FD264F039F937D439D1B66BE"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 8}}",canonical_model_eligible,passed,WARCTX-60189DA3A69756B017A3,-51.61405529881749,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,0,0,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: ballotpedia_explicit_open_seat,source_validated,1,8.21590512767191,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-18-D-EDDIE-BRITTON,AL-2018-house-18-R-JAMIE-KIEL,48045.0,195017.68,observed_positive,observed_positive,1,-1.3854666152277273,1000.0,complete,strict_war_ready_with_finance
WAROUT-E5EEA5BF5CCE7852679B,RUN-504CE4C4DF904D88A5A40D268F3FCEAB,AL,2018,lower,20,general,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,ALCANON-2018-house-20,ALCANON-2018-house-20,AL-2018-house-20-D-LINDA-MEIGS,AL-2018-house-20-R-HOWARD-SANDERFORD,Linda Meigs,Howard Sanderford,8527,14589,23116,14,-26.224260252638864,Alabama canonical candidate identity pipeline,alabama_canonical,SRC-A3632F0E8738FDFB544D,5,"{""alabama_certified_bridge"": {""bridge_match_methods"": [""surname_unique_race_party""], ""corrected_candidates"": [], ""observation_set_id"": ""AL18SET-47A1C075FC01C5ECF2B904AD"", ""other_named_votes"": 0, ""source_file_id"": ""SRC-A3632F0E8738FDFB544D"", ""third_party_votes_source"": ""alabama_sos_certified_canvass: all non-major-party named and write-in totals"", ""write_in_votes"": 14}}",canonical_model_eligible,passed,WARCTX-E5EEA5BF5CCE7852679B,-27.738368227477768,same_cycle_federal,same_cycle_federal,canonical_observed_ticket,canonical_reviewed,1.0,data/processed/war/cmo_v5_races.csv,1,1,0,1,-1,data/processed/incumbency/southern_incumbency_race_roster_2016_2024.csv: provider_reported_incumbent,source_validated,1,1.514107974838904,strict_war_ready_no_finance,excluded_not_ready,AL-2018-house-20-D-LINDA-MEIGS,AL-2018-house-20-R-HOWARD-SANDERFORD,57521.98,115100.0,observed_positive,observed_positive,1,-0.6850494785378326,1000.0,complete,strict_war_ready_with_finance
