chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public
house,2,full_hybrid_cvap_ridge5,-67.34435833066168,-63.44556506213457,-3.8987932685271076,False
house,4,full_hybrid_cvap_ridge5,-42.33769096587713,-30.168234192443013,-12.169456773434117,False
house,5,full_hybrid_cvap_ridge5,-49.37499276955572,-42.22783247880138,-7.147160290754336,False
house,8,full_hybrid_cvap_ridge5,-36.33016224750901,-27.045765902606977,-9.284396344902031,False
house,10,full_hybrid_cvap_ridge5,8.94426152395739,5.179921085962886,3.7643404379945045,False
house,15,full_hybrid_cvap_ridge5,-24.729135872069563,-13.49899760982322,-11.230138262246342,False
house,16,full_hybrid_cvap_ridge5,-71.89860386122439,-72.98027779212242,1.0816739308980345,False
house,19,full_hybrid_cvap_ridge5,41.7101287270902,36.191402249555054,5.518726477535147,False
house,20,full_hybrid_cvap_ridge5,-46.43437117836305,-22.96397059610957,-23.470400582253482,False
house,21,full_hybrid_cvap_ridge5,-27.107461624459784,-16.342279964211833,-10.76518166024795,False
house,25,full_hybrid_cvap_ridge5,-18.403485051242367,-2.465418547051442,-15.938066504190925,False
house,28,full_hybrid_cvap_ridge5,-29.481962017237493,-24.862708072052687,-4.619253945184806,False
house,32,full_hybrid_cvap_ridge5,-0.2700410677267815,3.422618194788681,-3.6926592625154626,True
house,37,full_hybrid_cvap_ridge5,-42.49226262087621,-42.52828814659968,0.036025525723466956,False
house,38,full_hybrid_cvap_ridge5,-42.4736942310804,-40.851162777982296,-1.6225314530981052,False
house,40,full_hybrid_cvap_ridge5,-63.4257627767426,-59.91772109645968,-3.508041680282922,False
house,41,full_hybrid_cvap_ridge5,-49.78586196900271,-44.01924227829869,-5.766619690704019,False
house,43,full_hybrid_cvap_ridge5,-55.9358457127468,-39.82294291486019,-16.112902797886605,False
house,45,full_hybrid_cvap_ridge5,-58.04394082594774,-41.76377173462995,-16.280169091317795,False
house,47,full_hybrid_cvap_ridge5,-23.73052811198562,-12.542237344054575,-11.188290767931045,False
house,50,full_hybrid_cvap_ridge5,-56.33887458648292,-56.83020958474616,0.491334998263234,False
house,63,full_hybrid_cvap_ridge5,-32.53024627352226,-14.482754089763738,-18.04749218375852,False
house,68,full_hybrid_cvap_ridge5,17.76855955430511,4.266248801475497,13.502310752829613,False
house,69,full_hybrid_cvap_ridge5,30.720910571118708,13.2672920863345,17.453618484784208,False
house,70,full_hybrid_cvap_ridge5,44.70325322050461,42.14172683432893,2.5615263861756787,False
house,74,full_hybrid_cvap_ridge5,32.66846176552039,32.583507459078504,0.08495430644188673,False
house,75,full_hybrid_cvap_ridge5,-37.11538070522326,-25.159556418806183,-11.955824286417077,False
house,80,full_hybrid_cvap_ridge5,-34.897666214634484,-31.56460879094611,-3.3330574236883734,False
house,82,full_hybrid_cvap_ridge5,41.12871002811245,35.01674433891714,6.1119656891953085,False
house,85,full_hybrid_cvap_ridge5,-29.873917749797943,-24.32486910931324,-5.549048640484703,False
house,96,full_hybrid_cvap_ridge5,-47.644633175922536,-41.64407217615401,-6.000560999768524,False
house,99,full_hybrid_cvap_ridge5,38.43904163576803,31.823403903944776,6.615637731823252,False
house,101,full_hybrid_cvap_ridge5,-37.09385783191935,-26.52085457872553,-10.573003253193821,False
senate,2,full_hybrid_cvap_ridge5,-16.43111249172741,1.365739626761889,-17.7968521184893,True
senate,3,full_hybrid_cvap_ridge5,-45.97155939041401,-37.71958219015087,-8.251977200263141,False
senate,6,full_hybrid_cvap_ridge5,-54.52969042984288,-51.33435722894423,-3.195333200898652,False
senate,7,full_hybrid_cvap_ridge5,-21.859957404584875,-9.453156895869265,-12.40680050871561,False
senate,8,full_hybrid_cvap_ridge5,-56.597219317547726,-51.84573512309653,-4.751484194451194,False
senate,11,full_hybrid_cvap_ridge5,-52.28886320615546,-48.05910770915243,-4.229755497003033,False
senate,13,full_hybrid_cvap_ridge5,-60.209743093911456,-48.03819977698762,-12.171543316923838,False
senate,14,full_hybrid_cvap_ridge5,-50.353105290998286,-41.55322693125855,-8.799878359739736,False
senate,16,full_hybrid_cvap_ridge5,-37.1647319627302,-22.20548101233912,-14.95925095039108,False
senate,22,full_hybrid_cvap_ridge5,-53.7891130640726,-56.92023492844067,3.131121864368069,False
senate,23,full_hybrid_cvap_ridge5,23.278970187829906,9.392740797125253,13.886229390704653,False
senate,28,full_hybrid_cvap_ridge5,20.593365125931257,7.768603045891093,12.824762080040163,False
senate,29,full_hybrid_cvap_ridge5,-61.08630958356888,-56.59198046403853,-4.494329119530349,False
senate,32,full_hybrid_cvap_ridge5,-61.021849255131215,-51.41751877474897,-9.604330480382245,False
house,2,full_total_ridge5,-67.56066243021709,-63.44556506213457,-4.115097368082523,False
house,4,full_total_ridge5,-42.4980967272946,-30.168234192443013,-12.32986253485159,False
house,5,full_total_ridge5,-49.50184945221112,-42.22783247880138,-7.274016973409736,False
house,8,full_total_ridge5,-36.77075356628725,-27.045765902606977,-9.72498766368027,False
house,10,full_total_ridge5,8.925377380565903,5.179921085962886,3.7454562946030174,False
house,15,full_total_ridge5,-24.79322606901952,-13.49899760982322,-11.294228459196301,False
house,16,full_total_ridge5,-72.07777983093338,-72.98027779212242,0.9024979611890416,False
house,19,full_total_ridge5,41.96885288227737,36.191402249555054,5.777450632722314,False
house,20,full_total_ridge5,-47.44913943531115,-22.96397059610957,-24.485168839201584,False
house,21,full_total_ridge5,-27.271041752521253,-16.342279964211833,-10.92876178830942,False
house,25,full_total_ridge5,-18.58954504070957,-2.465418547051442,-16.124126493658128,False
house,28,full_total_ridge5,-29.44052783492373,-24.862708072052687,-4.577819762871044,False
house,32,full_total_ridge5,0.2036896463566595,3.422618194788681,-3.2189285484320216,False
house,37,full_total_ridge5,-42.45688584424768,-42.52828814659968,0.07140230235199851,False
house,38,full_total_ridge5,-42.51061836062492,-40.851162777982296,-1.6594555826426216,False
house,40,full_total_ridge5,-63.51462807378707,-59.91772109645968,-3.596906977327393,False
house,41,full_total_ridge5,-49.89171561835212,-44.01924227829869,-5.872473340053432,False
house,43,full_total_ridge5,-56.25779851280197,-39.82294291486019,-16.434855597941777,False
house,45,full_total_ridge5,-58.94886600415394,-41.76377173462995,-17.185094269523994,False
house,47,full_total_ridge5,-24.064016541758622,-12.542237344054575,-11.521779197704047,False
house,50,full_total_ridge5,-56.30025371137075,-56.83020958474616,0.5299558733754068,False
house,63,full_total_ridge5,-32.80527357622978,-14.482754089763738,-18.322519486466042,False
house,68,full_total_ridge5,18.145615862566466,4.266248801475497,13.879367061090969,False
house,69,full_total_ridge5,30.189017658224827,13.2672920863345,16.921725571890327,False
house,70,full_total_ridge5,45.0596481254524,42.14172683432893,2.91792129112347,False
house,74,full_total_ridge5,32.22251930358684,32.583507459078504,-0.3609881554916612,False
house,75,full_total_ridge5,-37.26281612555198,-25.159556418806183,-12.103259706745796,False
house,80,full_total_ridge5,-34.92920317395569,-31.56460879094611,-3.3645943830095817,False
house,82,full_total_ridge5,41.31248191953555,35.01674433891714,6.2957375806184075,False
house,85,full_total_ridge5,-29.770703526597927,-24.32486910931324,-5.445834417284686,False
house,96,full_total_ridge5,-47.714133434867335,-41.64407217615401,-6.070061258713324,False
house,99,full_total_ridge5,38.8590070419019,31.823403903944776,7.035603137957121,False
house,101,full_total_ridge5,-37.21090160780135,-26.52085457872553,-10.690047029075817,False
senate,2,full_total_ridge5,-16.937855596567523,1.365739626761889,-18.303595223329413,True
senate,3,full_total_ridge5,-46.07753104591235,-37.71958219015087,-8.357948855761485,False
senate,6,full_total_ridge5,-54.60654747903964,-51.33435722894423,-3.272190250095413,False
