chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public,cycle,dem_spending,rep_spending,dem_matched,rep_matched,log_gap_10k,log_gap_50k,log_gap_100k,finance_adjustment,combined_specification,total_change_vs_public
house,2,public_80_20_total_ridge,-62.481021098194795,-63.44556506213457,0.0,False,2026,2130.07,0.0,1,0,0.19310240076142027,0.04171893614782096,0.02107701100264089,0.9645439639397742,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.964543963939775
house,4,public_80_20_total_ridge,-29.90821260615332,-30.168234192443013,0.0,False,2026,0.0,7658.18,1,1,-0.5686140391133083,-0.14250912194124715,-0.07379102193030607,0.26002158628969296,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2600215862896924
house,5,public_80_20_total_ridge,-41.9479359094889,-42.22783247880138,0.0,False,2026,1966.32,2513.31,1,1,-0.04469684076366534,-0.010470844844913348,-0.005350081127631662,0.2798965693124851,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2798965693124842
house,8,public_80_20_total_ridge,-27.006534185936218,-27.045765902606977,0.0,False,2026,0.0,38077.65,0,1,-1.570232319166513,-0.5661958063397082,-0.3226460220828485,0.039231716670757755,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.0392317166707592
house,10,public_80_20_total_ridge,6.179921085962886,5.179921085962886,0.0,False,2026,82963.44,0.0,1,0,2.2296212045883923,0.9780511977871461,0.6041161654735981,1.0,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,1.0
house,15,public_80_20_total_ridge,-13.24260959692122,-13.49899760982322,0.0,False,2026,3556.6600000000003,12890.96,1,1,-0.5238641333087624,-0.16066227427849852,-0.08630349456205647,0.2563880129020011,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.25638801290200064
house,16,public_80_20_total_ridge,-72.7286584341949,-72.98027779212242,0.0,False,2026,1358.78,12324.41,1,1,-0.6756896854821661,-0.1935172576531,-0.10272470269303795,0.2516193579275178,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2516193579275239
house,19,public_80_20_total_ridge,36.527806645058426,36.191402249555054,0.0,False,2026,20841.49,7.08,1,1,1.1255680189258501,0.348280250604135,0.18923870331475076,0.3364043955033691,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.3364043955033722
house,20,public_80_20_total_ridge,-23.290403623490015,-22.96397059610957,0.0,False,2026,0.0,386389.23,0,1,-3.6798115395669573,-2.1665115690328327,-1.5818390021489854,-0.3264330273804457,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,-0.3264330273804461
house,21,public_80_20_total_ridge,-16.08130967185885,-16.342279964211833,0.0,False,2026,2993.67,10519.46,1,1,-0.45691138836775264,-0.13279249375310215,-0.07052408401935421,0.2609702923529817,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2609702923529831
house,25,public_80_20_total_ridge,-2.196318829782353,-2.465418547051442,0.0,False,2026,3969.71,8486.9,1,1,-0.28017095886459525,-0.08037983427690244,-0.0425298216441331,0.2690997172690893,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2690997172690892
house,28,public_80_20_total_ridge,-24.555859438883516,-24.862708072052687,0.0,False,2026,12418.47,3003.91,1,1,0.544635091204571,0.16349554075177486,0.08746129912914563,0.30684863316917116,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.3068486331691709
house,32,public_80_20_total_ridge,3.6910309881576557,3.422618194788681,0.0,False,2026,15629.18,20938.68,1,1,-0.18827563490883237,-0.07779542777717835,-0.04489529375194759,0.2684127933689745,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2684127933689746
house,37,public_80_20_total_ridge,-42.218461506052556,-42.52828814659968,0.0,False,2026,10264.99,0.0,1,1,0.7063096736244711,0.18672833267835465,0.09771628281545618,0.3098266405471245,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.30982664054712217
house,38,public_80_20_total_ridge,-40.73367603891966,-40.851162777982296,0.0,False,2026,2379.46,80062.89,1,1,-1.9844695565113053,-0.9095035729596685,-0.564620072209157,0.11748673906263447,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.11748673906263463
house,40,public_80_20_total_ridge,-58.9539168161696,-59.91772109645968,0.0,False,2026,1870.26,0.0,1,0,0.1714510193472047,0.03672259545392839,0.018529856883130746,0.963804280290076,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.963804280290077
house,41,public_80_20_total_ridge,-43.76568885637833,-44.01924227829869,0.0,False,2026,2570.4700000000003,12912.67,1,1,-0.6003396201534085,-0.17959301901280428,-0.09606461352009811,0.2535534219203565,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.25355342192035835
house,43,public_80_20_total_ridge,-39.73538429379781,-39.82294291486019,0.0,False,2026,0.0,16909.37,0,1,-0.9898894600994809,-0.29131601168931237,-0.1562288332555317,0.0875586210623828,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.0875586210623851
house,45,public_80_20_total_ridge,-41.58686097060669,-41.76377173462995,0.0,False,2026,6870.18,53178.51,1,1,-1.3204166453543218,-0.5956894685020214,-0.35998914649100555,0.17691076402325534,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.17691076402325479
house,47,public_80_20_total_ridge,-11.561771054812736,-12.542237344054575,0.0,False,2026,7886.19,0.0,1,0,0.5814438137070228,0.1464558360211697,0.07590668920613086,0.9804662892418385,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.9804662892418392
house,50,public_80_20_total_ridge,-56.816294436222016,-56.83020958474616,0.0,False,2026,0.0,50655.48,0,1,-1.8026248928072848,-0.6996805912758671,-0.4098254546319161,0.013915148524142463,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.01391514852414133
house,63,public_80_20_total_ridge,-14.40348696381335,-14.482754089763738,0.0,False,2026,0.0,20295.52,0,1,-1.108414753804203,-0.34068506447304947,-0.18478119606635568,0.07926712595038757,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.07926712595038765
house,68,public_80_20_total_ridge,5.266248801475497,4.266248801475497,0.0,False,2026,44160.17,0.0,1,0,1.689360674452906,0.6329742629597985,0.36575478711652415,1.0,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,1.0
house,69,public_80_20_total_ridge,13.747454177846308,13.2672920863345,0.0,False,2026,98234.15,0.0,1,1,2.3817118428447257,1.0867701127373528,0.6842787217720916,0.480162091511807,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.4801620915118079
house,70,public_80_20_total_ridge,42.43068404083496,42.14172683432893,0.0,False,2026,5880.95,3178.91,1,1,0.18650245311498242,0.04956164578247932,0.025850878042357077,0.2889572065060364,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2889572065060335
house,74,public_80_20_total_ridge,32.98237907296811,32.583507459078504,0.0,False,2026,49832.69,0.0,1,1,1.7889670741192376,0.6914726793650294,0.4043490855866343,0.3988716138896036,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.3988716138896038
house,75,public_80_20_total_ridge,-24.8650828206639,-25.159556418806183,0.0,False,2026,4586.78,0.0,1,1,0.37753054607403763,0.08776872346370948,0.04484697142204857,0.29447359814228335,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.29447359814228236
house,80,public_80_20_total_ridge,-31.3070828922009,-31.56460879094611,0.0,False,2026,917.04,9583.18,1,1,-0.5843461632365924,-0.15717567787718253,-0.08238510240312755,0.25752589874521137,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2575258987452109
house,82,public_80_20_total_ridge,36.01674433891714,35.01674433891714,0.0,False,2026,112798.68,0.0,1,0,2.5079611734755556,1.1804913399993149,0.7551763684526404,1.0,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,1.0
house,85,public_80_20_total_ridge,-24.037524666159513,-24.32486910931324,0.0,False,2026,2050.46,0.0,1,1,0.18651774048785819,0.04019062724987989,0.020297210851919774,0.2873444431537263,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.287344443153728
house,96,public_80_20_total_ridge,-41.65648651420897,-41.64407217615401,0.0,False,2026,0.0,64953.42,0,1,-2.0142817609338053,-0.8325039974045763,-0.5004929450271848,-0.012414338054959596,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,-0.012414338054959728
house,99,public_80_20_total_ridge,32.82340390394478,31.823403903944776,0.0,False,2026,77999.63,0.0,1,0,2.1747475169298673,0.9400043678622934,0.5766112856501481,1.0,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,1.0000000000000036
house,101,public_80_20_total_ridge,-26.440436635464284,-26.52085457872553,0.0,False,2026,3641.0,107100.08,1,1,-2.1499489902692273,-1.074569353447655,-0.6922691502566687,0.0804179432612444,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.08041794326124574
senate,2,public_80_20_total_ridge,1.591393343074213,1.365739626761889,0.0,False,2026,4138.48,26199.1,1,1,-0.940134098417875,-0.34180444316737035,-0.19213926665271508,0.2256537163123239,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.225653716312324
senate,3,public_80_20_total_ridge,-37.45153928323157,-37.71958219015087,0.0,False,2026,5394.110000000001,10374.13,1,1,-0.2802809901010239,-0.08608743151944315,-0.046169024480509746,0.2680429069193015,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2680429069192982
senate,6,public_80_20_total_ridge,-51.08487193893374,-51.33435722894423,0.0,False,2026,1474.18,13281.73,1,1,-0.7075696391187066,-0.20651633917349987,-0.11007351983722011,0.2494852900104894,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.24948529001049025
senate,7,public_80_20_total_ridge,-9.176333158217366,-9.453156895869265,0.0,False,2026,7174.19,8895.32,1,1,-0.09550659693110075,-0.02965905801696142,-0.015931599086041776,0.27682373765189877,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.27682373765189894
senate,8,public_80_20_total_ridge,-51.64235718243669,-51.84573512309653,0.0,False,2026,0.0,30845.56,1,1,-1.4072130320742668,-0.48051766257494355,-0.2688475104291739,0.20337794065983977,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.20337794065984127
senate,11,public_80_20_total_ridge,-47.866891744324164,-48.05910770915243,0.0,False,2026,2900.73,39916.99,1,1,-1.3530775268550999,-0.5304697729948512,-0.3072845811050975,0.1922159648282628,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.19221596482826442
senate,13,public_80_20_total_ridge,-48.17384727779076,-48.03819977698762,0.0,False,2026,2488.98,330979.88,1,1,-3.306976817139798,-1.9821433225307525,-1.4363061262760417,-0.13564750080314797,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,-0.13564750080314525
senate,14,public_80_20_total_ridge,-41.32511715058417,-41.55322693125855,0.0,False,2026,0.0,20163.32,1,1,-1.1040415236629946,-0.33880266192669656,-0.1836816314729341,0.2281097806743811,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.22810978067438015
senate,16,public_80_20_total_ridge,-21.91991564984373,-22.20548101233912,0.0,False,2026,1427.17,0.0,1,1,0.13340876010546263,0.028143626595408328,0.01417081799509372,0.28556536249539005,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.2855653624953902
senate,22,public_80_20_total_ridge,-56.796651680524185,-56.92023492844067,0.0,False,2026,2270.5,76134.44,1,1,-1.9487113237661915,-0.8809161638599278,-0.5436263032539382,0.12358324791648544,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.12358324791648556
senate,23,public_80_20_total_ridge,10.392740797125253,9.392740797125253,0.0,False,2026,59160.42,0.0,1,0,1.9338436406770982,0.7807955379677998,0.46474243842113816,1.0,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,1.0
senate,28,public_80_20_total_ridge,8.0429324583777,7.768603045891093,0.0,False,2026,0.0,2482.41,1,1,-0.22173536027845697,-0.04845506040939058,-0.024520988107634898,0.2743294124866075,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.27432941248660736
senate,29,public_80_20_total_ridge,-56.45905359741715,-56.59198046403853,0.0,False,2026,0.0,0.0,0,1,0.0,0.0,0.0,0.13292686662137695,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,0.13292686662137498
senate,32,public_80_20_total_ridge,-51.700196924036675,-51.41751877474897,0.0,False,2026,1291.86,606711.73,1,1,-4.000319590253643,-2.549713089952201,-1.9426167931868132,-0.2826781492877013,public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,-0.2826781492877046
house,2,public_80_20_total_ridge,-62.481021098194795,-63.44556506213457,0.0,False,2026,2130.07,0.0,1,0,0.19310240076142027,0.04171893614782096,0.02107701100264089,0.9645439639397742,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.964543963939775
house,4,public_80_20_total_ridge,-29.90821260615332,-30.168234192443013,0.0,False,2026,0.0,7658.18,1,1,-0.5686140391133083,-0.14250912194124715,-0.07379102193030607,0.26002158628969296,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2600215862896924
house,5,public_80_20_total_ridge,-41.9479359094889,-42.22783247880138,0.0,False,2026,1966.32,2513.31,1,1,-0.04469684076366534,-0.010470844844913348,-0.005350081127631662,0.2798965693124851,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2798965693124842
house,8,public_80_20_total_ridge,-27.006534185936218,-27.045765902606977,0.0,False,2026,0.0,38077.65,0,1,-1.570232319166513,-0.5661958063397082,-0.3226460220828485,0.039231716670757755,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.0392317166707592
house,10,public_80_20_total_ridge,6.313777352755758,5.179921085962886,0.0,False,2026,82963.44,0.0,1,0,2.2296212045883923,0.9780511977871461,0.6041161654735981,1.1338562667928722,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,1.133856266792872
house,15,public_80_20_total_ridge,-13.24260959692122,-13.49899760982322,0.0,False,2026,3556.6600000000003,12890.96,1,1,-0.5238641333087624,-0.16066227427849852,-0.08630349456205647,0.2563880129020011,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.25638801290200064
house,16,public_80_20_total_ridge,-72.7286584341949,-72.98027779212242,0.0,False,2026,1358.78,12324.41,1,1,-0.6756896854821661,-0.1935172576531,-0.10272470269303795,0.2516193579275178,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2516193579275239
