specification,base_model,mean_mae,latest_mae,worst_mae,base_mean_mae,base_latest_mae,mean_delta_vs_base,latest_delta_vs_base,max_finance_adjustment,mean_finance_adjustment,max_total_change_vs_public,winner_changes_vs_public,sd2_margin,improves_both_holdouts,prospective_safe
stable_bayesian_blend_25__finance_log10__a5__b0.25__cap2,stable_bayesian_blend_25,10.165616831628142,8.54701414375615,11.784219519500136,10.232885474436689,8.64658795410502,-0.06726864280854628,-0.09957381034886836,2.0,0.6749833630209633,3.888293408800081,0,0.6692099713250048,True,True
stable_bayesian_blend_25__finance_log10__a5__b0.1__cap4,stable_bayesian_blend_25,10.166946512446305,8.597469237034986,11.736423787857623,10.232885474436689,8.64658795410502,-0.0659389619903834,-0.04911871707003357,1.6174926854500133,0.3688057465049929,3.3753895862684615,0,0.5207244893394626,True,True
stable_bayesian_blend_25__finance_log10__a5__b0.1__cap2,stable_bayesian_blend_25,10.17200291265348,8.599398488530284,11.744607336776678,10.232885474436689,8.64658795410502,-0.060882561783207834,-0.04718946557473558,1.6174926854500133,0.3688057465049929,3.3753895862684615,0,0.5207244893394626,True,True
stable_bayesian_blend_25__finance_log10__a20__b0.1__cap4,stable_bayesian_blend_25,10.178848258039178,8.608868575367362,11.748827940710992,10.232885474436689,8.64658795410502,-0.05403721639751069,-0.037719378737657294,1.5278354945870494,0.3589936329834653,3.2992184170344725,0,0.5374022111825616,True,True
stable_bayesian_blend_25__finance_log50__a5__b0.1__cap4,stable_bayesian_blend_25,10.180836786516252,8.606351592957703,11.7553219800748,10.232885474436689,8.64658795410502,-0.052048687920436265,-0.04023636114731666,1.5634002675890555,0.3969419607877631,3.315869857240779,0,0.6240705080993517,True,True
stable_bayesian_blend_25__finance_log10__a20__b0.1__cap2,stable_bayesian_blend_25,10.181505316210846,8.608868575367362,11.754142057054331,10.232885474436689,8.64658795410502,-0.051380158225843076,-0.037719378737657294,1.5278354945870494,0.3589936329834653,3.2992184170344725,0,0.5374022111825616,True,True
stable_bayesian_blend_25__finance_log50__a5__b0.1__cap2,stable_bayesian_blend_25,10.185026405422198,8.606351592957703,11.763701217886693,10.232885474436689,8.64658795410502,-0.047859069014490885,-0.04023636114731666,1.5634002675890555,0.3969419607877631,3.315869857240779,0,0.6240705080993517,True,True
stable_bayesian_blend_25__finance_log10__a20__b0.25__cap2,stable_bayesian_blend_25,10.187407304376615,8.568333326630123,11.806481282123107,10.232885474436689,8.64658795410502,-0.04547817006007371,-0.07825462747489631,2.0,0.6807258224264909,3.888293408800081,0,0.7109042759327526,True,True
stable_bayesian_blend_25__finance_log50__a20__b0.1__cap4,stable_bayesian_blend_25,10.190907706847902,8.61643986470374,11.765375548992067,10.232885474436689,8.64658795410502,-0.04197776758878646,-0.030148089401279776,1.4731177041115657,0.38389267582549136,3.2383346702877187,0,0.6293110793271806,True,True
stable_bayesian_blend_25__finance_log100__a5__b0.1__cap4,stable_bayesian_blend_25,10.193356016739441,8.619162131988409,11.767549901490474,10.232885474436689,8.64658795410502,-0.03952945769724714,-0.027425822116610377,1.5228374570140764,0.39967980686558885,3.2929179780543567,0,0.6520828269941503,True,True
