specification,promotion_eligible,forward_cycles,cycle_balanced_mean_mae,race_weighted_mae,rmse,post2016_mean_mae,latest_mae,latest_house_mae,latest_senate_mae,worst_cycle_mae,worst_cycle_degradation_vs_ramp,brier,interval_80_coverage
ramp_all_extra_trees,True,7,16.632014858397984,17.104669850767447,23.24207921164084,11.789722612663923,8.776386702248896,9.85651205435139,5.400994976928604,22.872402163247116,2.325208031813222,0.15209972735869545,0.8770685579196218
ramp_all_elastic_net,True,7,16.96361465212011,17.296411929997042,22.974896733641742,12.266801913488635,11.002318882931219,11.449394724211597,9.605206878930026,24.452096326460886,1.2279468850909048,0.14572839836661727,0.8959810874704491
ramp_all_gradient_boosting,True,7,17.28334476929424,17.786880409103716,23.497230718847227,11.678233527764714,9.414416041017073,10.67584018881354,5.472465579153103,23.46201038159173,1.4642005232466282,0.1543025346739227,0.8770685579196218
ramp_all_spline_ridge,True,7,17.537419315500863,18.16874990746676,24.55626301272502,11.557172166823083,7.976920939603874,8.87882303366988,5.1584768956476,24.637432539995007,2.6595729027765636,0.17013666280462436,0.8463356973995272
ramp_all_random_forest,True,7,17.720017921732232,18.161304763249213,23.875200965167704,12.846015719287792,11.046890189311174,11.95845354023907,8.198254717661495,22.10200758523112,2.16729075799868,0.15789591245702564,0.8747044917257684
ramp_all_theory_ridge,True,7,18.466513372779314,18.932303998486557,25.30443119061728,13.576436579559482,10.861382486857579,11.516946149220335,8.812746041973966,25.32601896280668,3.813640180995659,0.17599604632771534,0.8297872340425532
ramp_all_bayesian_ridge,True,7,18.57542819905151,18.25993196488949,23.914509195479184,17.570707012949484,20.9900772865661,20.128883312658132,23.6813084550285,25.15462125818991,11.215705288725788,0.14347600659087278,0.8817966903073287
ramp_trend_incumbency_finance,True,7,19.515824946236613,19.89861081343992,26.240722455268884,16.298126625592932,12.567645990929622,13.3089040380841,10.251214593571886,25.494630286223245,7.550756768990517,0.18356550496513802,0.8297872340425532
ramp_all_hist_gradient,True,7,19.561783517517945,19.754228603754726,25.979958571027918,16.897063137531063,15.096541338182572,15.39532017794224,14.162857463933603,24.388569264705726,6.219734445613831,0.1793028600575963,0.8250591016548463
ramp_finance_open_interactions,True,7,20.207767020489197,20.276479889450197,26.459927307513155,18.719923885476984,17.41124051069772,17.968503615969613,15.669793306723072,25.494630286223245,7.63686851285741,0.18463679869114383,0.8274231678486997
ramp_trend_incumbency,True,7,20.28265564263803,20.572608955594387,26.79752526610782,18.238652249328474,14.056769859705867,14.569585617047569,12.454220618013043,25.604925494941906,9.942684147685359,0.18764539299013597,0.8250591016548463
ramp_incumbency_fundraising,True,7,20.485284730730168,20.518954417355832,26.669659310200586,19.41297691452667,17.987283168220262,18.428073936836547,16.609812016294363,25.60492549494191,8.360820169567354,0.18622027906915495,0.8274231678486997
ramp_incumbency,True,7,20.976864373095044,20.951715850950343,27.05037014199368,20.66838280592802,18.916230972904952,19.1257823713706,18.261382852699775,25.604925494941906,9.942684147685359,0.18889028485014714,0.8226950354609929
ramp_presidential_trend,True,7,21.83421809027047,22.060154071365737,28.329633719694943,20.9025487427299,15.464702911101858,15.276023806739389,16.05432511223457,26.983330901295446,13.862544083092217,0.19905218522174317,0.8037825059101655
ramp_capped_fundraising,True,7,21.95497061745161,21.90588675121838,28.07765378714142,21.9676393464162,19.687813564438162,19.896227812672198,19.036519038706796,26.983330901295446,11.769614637128512,0.19673935136723947,0.8085106382978723
same_cycle_federal_plus_ramp_layers,False,7,22.581605344225185,22.46594883775156,29.269941918816972,16.366966889054076,14.200503624622057,15.682761593880896,9.568447470688188,30.909540086499295,6.055579662220371,0.1911093279238793,0.8156565656565656
ramp_demographic_response,True,7,24.25991721524599,23.073492461339555,29.176978897071386,30.369705976797146,36.91660363977828,35.87175082346013,40.18176869077252,36.91660363977828,27.14223164193797,0.200504691631425,0.7683215130023641
post2016_ramp,True,7,25.320076385270593,26.260502441058097,33.858273449239704,11.12611124455302,9.774371997840314,10.678928060733217,6.947634301299993,43.598621945586636,0.0,0.20904282756858605,0.706855791962175
prior_presidential,True,7,25.732425289650674,26.53176604409604,33.90786151491909,12.569332409883293,12.03204312936364,12.197665527274362,11.514473135892626,43.598621945586636,2.2576711315233258,0.20825069499181786,0.7044917257683215
same_cycle_federal_upper_bound,False,7,26.36924650348329,26.264013424702934,35.44300652420199,9.647200552582408,9.936310916093127,12.126511534276776,3.091933984269228,47.45255568351879,7.63505261454705,0.21122610907623718,0.7348484848484849
