chamber,district,environment_baseline_margin,incumbency_balance,forecast_view,selected_model,full_expected_gap,applied_gap_weight,applied_gap_adjustment,predicted_dem_margin
house,2,-63.49062890537633,-1,basic,baseline_only,0.0,0.2,0.0,-63.49062890537633
house,4,-29.219723622884857,-1,basic,baseline_only,0.0,0.2,0.0,-29.219723622884857
house,5,-41.902324370500615,-1,basic,baseline_only,0.0,0.2,0.0,-41.902324370500615
house,8,-26.11246426375141,0,basic,baseline_only,0.0,0.2,0.0,-26.11246426375141
house,10,4.086021331415267,1,basic,baseline_only,0.0,0.2,0.0,4.086021331415267
house,15,-12.70290140191546,-1,basic,baseline_only,0.0,0.2,0.0,-12.70290140191546
house,16,-73.64992533328218,-1,basic,baseline_only,0.0,0.2,0.0,-73.64992533328218
house,19,34.79746144883655,1,basic,baseline_only,0.0,0.2,0.0,34.79746144883655
house,20,-19.793763940644155,-1,basic,baseline_only,0.0,0.2,0.0,-19.793763940644155
house,21,-15.561935208509794,-1,basic,baseline_only,0.0,0.2,0.0,-15.561935208509794
house,25,-1.0596962261872145,-1,basic,baseline_only,0.0,0.2,0.0,-1.0596962261872145
house,28,-24.903459959047392,-1,basic,baseline_only,0.0,0.2,0.0,-24.903459959047392
house,32,3.158354962154016,0,basic,baseline_only,0.0,0.2,0.0,3.158354962154016
house,37,-43.14496715711068,0,basic,baseline_only,0.0,0.2,0.0,-43.14496715711068
house,38,-41.249322256764,-1,basic,baseline_only,0.0,0.2,0.0,-41.249322256764
house,40,-60.03455656406872,-1,basic,baseline_only,0.0,0.2,0.0,-60.03455656406872
house,41,-43.86971945352963,-1,basic,baseline_only,0.0,0.2,0.0,-43.86971945352963
house,43,-38.35271371649463,-1,basic,baseline_only,0.0,0.2,0.0,-38.35271371649463
house,45,-39.790495057162886,-1,basic,baseline_only,0.0,0.2,0.0,-39.790495057162886
house,47,-11.72279270162599,-1,basic,baseline_only,0.0,0.2,0.0,-11.72279270162599
house,50,-57.46951227503262,0,basic,baseline_only,0.0,0.2,0.0,-57.46951227503262
house,63,-12.7994009190402,-1,basic,baseline_only,0.0,0.2,0.0,-12.7994009190402
