cycle,chamber,races,mae,fallback_races,regional_coverage
1994,house,54,18.18208370744538,0,0.0
1994,senate,18,24.291403822126505,0,0.0
1998,house,57,15.655549066957454,0,0.0
1998,senate,28,15.853289663742961,0,0.0
2002,house,51,22.6602998061241,0,0.0
2002,senate,23,24.31004908572145,0,0.0
2006,house,40,24.53354994980736,0,0.0
2006,senate,22,20.63151161929587,0,0.0
2010,house,42,13.950170849934176,0,0.0
2010,senate,21,13.602109450537167,0,0.0
2014,house,40,16.148131103111893,0,0.0
2014,senate,16,9.837758763892642,0,0.0
2018,house,49,6.329781474770603,0,1.0
2018,senate,15,6.184737977674467,0,1.0
2022,house,25,4.998723489531798,0,1.0
2022,senate,8,2.64477343998412,0,1.0
