state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
AL,2010,house,1,D,"burdine, greg",1.475644699140401,-11.083236230293549,12.55888092943395,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,1,R,"hanson, quinton",-1.475644699140401,11.083236230293549,-12.55888092943395,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,2,D,"curtis, mike",-9.472016134841173,-5.376665647446636,-4.095350487394537,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,2,R,"greer, lynn 1",9.472016134841173,5.376665647446636,4.095350487394537,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,4,D,"goodwin, vaughn",-39.71374374892223,-43.41449832471763,3.7007545757954006,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,4,R,"hammon, micky",39.71374374892223,43.41449832471763,-3.7007545757954006,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,5,D,"white, henry a 3",-23.96368498838764,-11.024257729405718,-12.939427258981922,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,5,R,"williams, dan 2",23.96368498838764,11.024257729405718,12.939427258981922,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,D,"letson, john (jody)",-1.320768187334904,0.07764553350208914,-1.3984137208369931,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,R,"johnson, ken",1.320768187334904,-0.07764553350208914,1.3984137208369931,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,8,D,breland,-12.17472911867588,-10.715315622888179,-1.459413495787702,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,8,R,"collins, terri",12.17472911867588,10.715315622888179,1.459413495787702,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,9,D,"goodwin, kathy w",-45.29587871838971,-35.51489806481929,-9.780980653570417,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,9,R,"henry, ed",45.29587871838971,35.51489806481929,9.780980653570417,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,12,D,"fields, james c, jr",-8.33881283997848,-33.12384708101414,24.78503424103566,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,12,R,"buttram, mac",8.33881283997848,33.12384708101414,-24.78503424103566,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,13,D,"sherer, tommy",-21.281117182756528,-10.244183460693549,-11.03693372206298,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,13,R,"roberts, bill 2",21.281117182756528,10.244183460693549,11.03693372206298,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,14,D,"guin, ken",-38.7120761451517,-9.748213687515303,-28.963862457636395,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,14,R,"baughn, richard",38.7120761451517,9.748213687515303,28.963862457636395,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,16,D,"thigpen, william e, sr",-7.751265365148228,-13.468009815386687,5.716744450238458,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,16,R,"boman, daniel h",7.751265365148228,13.468009815386687,-5.716744450238458,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,21,D,"hinshaw, randy",-3.5239206534422403,1.1035134322634548,-4.627434085705695,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,21,R,"patterson, jim 2",3.5239206534422403,-1.1035134322634548,4.627434085705695,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,22,D,"taylor, butch",-29.564625850340136,-31.123345354330432,1.5587195039902966,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,22,R,"johnson, wayne",29.564625850340136,31.123345354330432,-1.5587195039902966,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,24,D,"ledbetter, nathaniel",-6.667559244878833,-37.60594973914876,30.93839049426993,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,24,R,"greeson, todd",6.667559244878833,37.60594973914876,-30.93839049426993,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,26,D,"white, randall",-19.294468367008943,-34.07338042877279,14.778912061763851,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,26,R,"rich, kerry",19.294468367008943,34.07338042877279,-14.778912061763851,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,27,D,"mclaughlin, jeffrey (jeff)",-6.551122033240639,-20.889253857835683,14.338131824595045,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,27,R,"long, wes",6.551122033240639,20.889253857835683,-14.338131824595045,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,29,D,"page, john g (jack), iii",-3.901875388854324,0.28432468547610057,-4.186200074330424,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,29,R,"nordgren, becky",3.901875388854324,-0.28432468547610057,4.186200074330424,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,30,D,"burns, wally",-45.10970129526831,-48.50374842078282,3.3940471255145113,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,30,R,"galliher, blaine",45.10970129526831,48.50374842078282,-3.3940471255145113,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,36,D,"bearden, garry",-52.54797671242723,-42.63812570853712,-9.909851003890111,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,36,R,"wood, randy 1",52.54797671242723,42.63812570853712,9.909851003890111,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,37,D,"laird, richard",7.243500694582258,-3.532454734720403,10.775955429302662,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,37,R,"fincher, bob",-7.243500694582258,3.532454734720403,-10.775955429302662,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,38,D,"long, huey p",-1.978171896316508,-22.669898792321643,20.691726896005136,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,38,R,"bridges, duwayne",1.978171896316508,22.669898792321643,-20.691726896005136,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,39,D,"lindsey, richard j",14.152046783625732,-11.164118484370732,25.316165267996464,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,39,R,"sprayberry, tim",-14.152046783625732,11.164118484370732,-25.316165267996464,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,40,D,"whaley, ricky",-25.038223516563523,-28.63055737757852,3.592333861014996,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,40,R,"brown, koven l (koven) 2",25.038223516563523,28.63055737757852,-3.592333861014996,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,42,D,"martin, james m (jimmy) 4",-26.493191317244168,-16.492438156033494,-10.000753161210675,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,42,R,"wallace, kurt",26.493191317244168,16.492438156033494,10.000753161210675,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,43,D,"sweet, virginia",-60.3998236072321,-54.49642732358469,-5.90339628364741,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,43,R,"mcclurkin, mary s",60.3998236072321,54.49642732358469,5.90339628364741,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,45,D,"cannon, charlene",-23.078082604763345,-24.282256261493032,1.2041736567296866,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,45,R,"drake, owen",23.078082604763345,24.282256261493032,-1.2041736567296866,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,61,D,"harper, alan",29.178351093662368,-1.4093744731108515,30.58772556677322,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,61,R,"chandler, frank",-29.178351093662368,1.4093744731108515,-30.58772556677322,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
