specification,cycle_balanced_mae,delta_vs_basic,delta_bootstrap_low,delta_bootstrap_high,post2016_mae,latest_2022_mae,cycles_improved,worst_cycle_delta,complexity_proxy,passes_basic_guardrail
all_plus_candidate_history__ridge20__blend20,23.034057722579277,-1.5775080425292434,-2.698330403915667,-0.3588988986711576,11.424795924532365,10.563191908174248,5,0.7061830259008239,8,False
demographics_regions_finance_incumbency__ridge20__blend20,23.034057722579277,-1.5775080425292434,-2.698330403915667,-0.3636166965479184,11.424795924532365,10.563191908174248,5,0.7061830259008239,8,False
demographics_regions_finance__ridge20__blend20,23.07257044370432,-1.5389953214042087,-2.7062148302400537,-0.30380270315107083,11.537968184342478,10.654634431572617,5,0.7976255492991928,7,False
demographics_regions__ridge20__blend20,23.133037064125563,-1.4785287009829577,-2.692971556986009,-0.21863504793618738,11.700073657434462,10.907378822895636,4,1.0503699406222111,6,False
all_plus_candidate_history__ridge100__blend20,23.14074610650044,-1.470819658608084,-2.7009245891251683,-0.1253622602830582,11.742837777029491,10.923886996777147,4,1.066878114503723,8,False
demographics_regions_finance_incumbency__ridge100__blend20,23.14074610650044,-1.470819658608084,-2.7023319571075253,-0.11555211704336799,11.742837777029491,10.923886996777147,4,1.066878114503723,8,False
demographics__ridge20__blend20,23.143358308242426,-1.468207456866095,-2.7042660433356676,-0.09581611253564759,11.731037389785051,10.969306287596812,4,1.1122974053233872,5,False
demographics_regions_finance__ridge100__blend20,23.149753370765605,-1.461812394342919,-2.6957418990302147,-0.09025428112356337,11.758351453169487,10.952436685974892,4,1.095427803701467,7,False
demographics_regions__ridge100__blend20,23.154696116266834,-1.4568696488416875,-2.6981098531604535,-0.08166745363809606,11.764424206056532,10.964582191748981,4,1.1075733094755567,6,False
demographics__ridge100__blend20,23.155483465574807,-1.4560822995337157,-2.6927626877187616,-0.08386522184790124,11.766786253980447,10.969306287596812,4,1.1122974053233872,5,False
all_plus_candidate_history__ridge20__blend10,23.495392268497415,-1.1161734966111085,-1.769610199407279,-0.42946631027079746,11.104344705647941,9.966911878067066,5,0.10990299579364127,8,False
demographics_regions_finance_incumbency__ridge20__blend10,23.495392268497415,-1.1161734966111085,-1.769610199407279,-0.42946631027079746,11.104344705647941,9.966911878067066,5,0.10990299579364127,8,False
demographics_regions_finance__ridge20__blend10,23.533978075510337,-1.0775876895981795,-1.7455224883843314,-0.40965289081202744,11.120190583583266,9.918794047631179,5,0.06178516535775458,7,False
all_plus_candidate_history__ridge100__blend10,23.59358464165768,-1.0179811234508473,-1.722090965025499,-0.2963275782294579,11.283627354584176,10.2110037124176,5,0.35399483014417576,8,False
demographics_regions_finance_incumbency__ridge100__blend10,23.59358464165768,-1.0179811234508473,-1.7299951315937314,-0.2972971914635991,11.283627354584176,10.2110037124176,5,0.35399483014417576,8,False
demographics_regions__ridge20__blend10,23.604483859639913,-1.0070819054686122,-1.7380033645903257,-0.2761604463468987,11.313314515070633,10.237739148463497,5,0.38073026619007244,6,False
demographics_regions_finance__ridge100__blend10,23.60758616312886,-1.0039796019796576,-1.7163858696915308,-0.28179103928223564,11.30079652849123,10.217400303675964,5,0.36039142140253944,7,False
demographics_regions__ridge100__blend10,23.628061511768575,-0.9835042533399451,-1.70095357788024,-0.24219746423477684,11.357822397232702,10.308449520011845,5,0.45144063773842014,6,False
demographics__ridge100__blend10,23.640195844556434,-0.9713699205520848,-1.6888192450923798,-0.20579446587119588,11.394225395596283,10.381255516739007,5,0.5242466344655821,5,False
demographics__ridge20__blend10,23.653766211410602,-0.957799553697923,-1.6932982359327982,-0.14198268975839667,11.461161570382702,10.533433259087632,5,0.6764243768142073,5,False
basic_polling_100,24.611565765108523,0.0,0.0,0.0,11.165041162859573,9.857008882273425,0,0.0,0,False
