model_run_id,state_code,cycle,chamber,races,lag_context_rows,finance_complete_rows,mean_abs_lag_component,structural_residual_mae
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AL,2018,lower,49,49,49,4.604330976211642,5.769988638351376
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AL,2018,upper,15,15,15,4.27824171304819,8.230007737330224
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AL,2022,lower,25,25,25,1.9508926092061347,8.826422102191504
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AL,2022,upper,8,8,8,1.0091481267351197,4.053407215754575
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2018,lower,40,0,40,0.0,9.419083720896424
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2018,upper,7,0,7,0.0,7.502002178895476
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2020,lower,38,0,36,0.0,7.657098043125977
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2020,upper,8,0,8,0.0,6.055403390397283
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2022,lower,35,35,35,1.5091448495877362,3.9785244317272634
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2022,upper,13,13,12,1.8621531319352476,4.081131244218833
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2024,lower,49,49,49,2.163500241617719,4.842260038960385
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,AR,2024,upper,5,5,5,2.335067220745487,4.250524588142477
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2018,lower,77,0,76,0.0,3.2227290896960965
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2018,upper,17,0,14,0.0,3.447327045450292
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2020,lower,95,0,93,0.0,4.232008142385245
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2020,upper,18,0,15,0.0,3.224967031782514
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2022,lower,67,0,66,0.0,3.088932552510787
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2022,upper,23,0,22,0.0,2.7434621897131537
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2024,lower,86,0,82,0.0,3.6559235261036616
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,FL,2024,upper,17,0,16,0.0,2.7523413973289994
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2018,lower,68,68,66,3.1303359253418073,3.807255109596856
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2018,upper,23,23,23,3.791865790025132,4.237022116873265
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2020,lower,86,86,83,3.2399904329023905,4.579319013627995
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2020,upper,28,28,27,3.3689276921695046,3.540277000994743
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2022,lower,86,86,80,2.127326338575585,3.74239471501288
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2022,upper,26,26,24,2.151698946641642,3.1347606016435607
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2024,lower,89,89,85,2.2106938011032464,3.409707109396076
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,GA,2024,upper,23,23,21,2.5474563993929586,2.8402744221047764
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2018,lower,85,0,78,0.0,9.664962179967054
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2018,upper,16,0,16,0.0,8.29690818973801
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2020,lower,60,0,56,0.0,9.919689099422964
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2020,upper,8,0,6,0.0,11.491965787475788
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2022,lower,46,0,44,0.0,7.55263214706656
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2022,upper,8,0,7,0.0,4.9782056150280365
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2024,lower,42,0,42,0.0,6.784877273265901
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,KY,2024,upper,1,0,1,0.0,10.611540056506724
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,LA,2019,lower,15,0,14,0.0,13.660989967785968
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,LA,2019,upper,4,0,4,0.0,7.8605545243018975
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,LA,2023,lower,12,0,12,0.0,10.140683087459118
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,LA,2023,upper,5,0,4,0.0,16.99059264879918
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2018,lower,117,0,0,0.0,5.373758958194219
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2018,upper,16,0,0,0.0,6.074933108804852
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2020,lower,80,0,0,0.0,5.527766961732334
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2020,upper,10,0,0,0.0,6.72151130603627
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2022,lower,69,0,0,0.0,4.690468745232686
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2022,upper,11,0,0,0.0,3.7850207371096016
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2024,lower,103,0,0,0.0,7.63150579104837
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MO,2024,upper,6,0,0,0.0,9.504347650930885
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MS,2019,lower,24,0,0,0.0,13.433957794117715
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MS,2019,upper,16,0,0,0.0,7.279436345957708
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MS,2023,lower,9,0,0,0.0,9.275152329355546
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,MS,2023,upper,7,0,0,0.0,7.087516567122413
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2018,lower,117,0,117,0.0,8.292324835969014
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2018,upper,50,0,50,0.0,8.077725598321697
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2020,lower,107,0,107,0.0,5.2307664895230825
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2020,upper,49,0,49,0.0,4.058892929551279
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2022,lower,81,0,81,0.0,3.977291128702049
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2022,upper,35,0,35,0.0,3.554931233004931
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2024,lower,68,0,68,0.0,10.604650287027464
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,NC,2024,upper,23,0,23,0.0,11.846345783090555
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2018,lower,73,0,73,0.0,9.36218179742976
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2018,upper,18,0,17,0.0,7.675450829886042
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2020,lower,36,0,35,0.0,8.23911720026116
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2020,upper,12,0,12,0.0,7.513799407887997
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2022,lower,29,0,27,0.0,8.230906229493604
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2022,upper,7,0,7,0.0,6.392244098676129
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2024,lower,24,0,23,0.0,6.703268260898284
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,OK,2024,upper,5,0,4,0.0,4.1950243901973465
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2018,lower,45,0,40,0.0,7.518043312453742
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2020,lower,51,0,47,0.0,4.81825150242133
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2020,upper,30,0,29,0.0,4.712219628826763
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2022,lower,50,0,48,0.0,6.8880751948717345
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2024,lower,42,0,42,0.0,4.282517801147426
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,SC,2024,upper,18,0,18,0.0,3.9792978534033776
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2018,lower,73,73,73,4.7265397386952515,5.240483381197849
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2018,upper,12,12,12,4.453039535459502,2.7128560298095845
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2020,lower,38,38,37,3.5772506829743698,4.1273629027771115
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2020,upper,9,9,9,3.149311228913312,3.452205984651405
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2022,lower,36,36,36,1.8935181631593605,4.27078497322691
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2022,upper,8,8,8,2.813432142303853,4.314940968290157
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2024,lower,60,60,60,2.4419345318256527,3.70873328153085
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TN,2024,upper,10,10,10,2.1079823289661324,3.158309951244555
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2018,lower,94,94,92,3.542476098939649,5.250096588890539
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2018,upper,13,13,13,2.7284045361651796,5.684897518961974
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2020,lower,94,94,91,2.681867574767187,5.434647392443231
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2020,upper,13,13,13,3.3408006025110497,3.4469365361535513
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2022,lower,80,80,78,1.7729320397099688,3.35581692334748
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2022,upper,18,18,18,1.2737287620566007,2.8336881879886473
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2024,lower,89,88,86,1.8541684676365002,3.696933833233352
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,TX,2024,upper,10,10,10,1.3498520062526305,1.8148299720870937
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,VA,2019,lower,65,0,64,0.0,16.56865616627516
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,VA,2019,upper,20,0,19,0.0,17.442518678520436
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,VA,2023,lower,38,0,37,0.0,22.46490556304243
WAR-POST2016-V2-710F713D8C6FBCDB4D4C,VA,2023,upper,19,0,18,0.0,26.18353417867913
