model_run_id,specification,alpha,scope,evaluation_cycle,races,mae,zero_baseline_mae,rmse,bias,train_min_cycle,train_max_cycle
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,all,2633,7.735588548006426,6.981649325126155,11.031264801681326,0.2581734680044378,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,lag_context_available,all,937,5.163838381742252,4.842391762823287,6.695939247636146,-0.32855851534188685,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,2019,142,17.393555719318496,20.10370104677182,21.96147792857222,-9.962416261769986,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,2020,870,7.137610583246784,6.064333795325626,9.057354332062067,2.7848231147008398,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,lag_context_available,2020,268,6.68484057626918,5.45451114676359,8.306441895445806,1.6684480920517286,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,2022,761,5.873934428952207,4.7126893702866335,7.734514769470012,2.8356965307020743,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,lag_context_available,2022,335,4.675824359968644,5.087981568209004,6.2140033476141765,0.27128391221775455,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,2023,90,20.43145692010752,20.316122994462646,25.712839741030503,11.132201093455128,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,all,2024,770,6.9861081871307595,6.282050704146111,9.903394581503594,-4.530162880049281,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,1.0,lag_context_available,2024,334,4.432868648691183,4.104904997253777,5.629300493926181,-2.5325854135873027,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,all,2633,7.706128526084077,6.981649325126155,11.010593248675795,0.26489580528734535,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,lag_context_available,all,937,5.1281810925965985,4.842391762823287,6.652474821959159,-0.3205480688594713,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,2019,142,17.428116251521704,20.10370104677182,21.99352892777519,-9.996786137570817,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,2020,870,7.090034677683083,6.064333795325626,9.009031652924016,2.8087473327716794,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,lag_context_available,2020,268,6.609488684162066,5.45451114676359,8.219103777307,1.7017814651878609,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,2022,761,5.841497074242539,4.7126893702866335,7.698941353697137,2.8012688301188025,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,lag_context_available,2022,335,4.651386527166395,5.087981568209004,6.191550564545882,0.24785370513025515,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,2023,90,20.44948749529854,20.316122994462646,25.737167239285625,11.158888330655069,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,all,2024,770,6.962702056887754,6.282050704146111,9.881400245362755,-4.496962885888427,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,10.0,lag_context_available,2024,334,4.417809071277953,4.104904997253777,5.612385263109243,-2.5133591748811583,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,all,2633,7.645663728857187,6.981649325126155,10.969225526236979,0.27863350073428456,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,lag_context_available,all,937,5.054735840486312,4.842391762823287,6.564239503931756,-0.30468900817316313,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,2019,142,17.500144100809894,20.10370104677182,22.062350939495946,-10.069218840008066,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,2020,870,6.994451516393845,6.064333795325626,8.912984308831701,2.856757469357859,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,lag_context_available,2020,268,6.457239197927553,5.45451114676359,8.042917744975686,1.7675802180299478,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,2022,761,5.773271611214342,4.7126893702866335,7.625025049391515,2.7292240787477597,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,lag_context_available,2022,335,4.600163057420295,5.087981568209004,6.145539720228313,0.19890152471204606,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,2023,90,20.487410181507673,20.316122994462646,25.788869172637376,11.214258527264608,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,all,2024,770,6.91365286238119,6.282050704146111,9.834974903973853,-4.426143775334651,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,30.0,lag_context_available,2024,334,4.385307644476919,4.104904997253777,5.576342140774523,-2.4725661972120214,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,all,2633,7.473539409145023,6.981649325126155,10.86036912287818,0.31634541188675747,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,lag_context_available,all,937,4.843426989730955,4.842391762823287,6.32131902351499,-0.2646816383145833,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,2019,142,17.721799792492018,20.10370104677182,22.278816546102036,-10.288725288641803,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,2020,870,6.730859995890422,6.064333795325626,8.663813906885391,2.9814862679456535,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,lag_context_available,2020,268,6.028235755203679,5.45451114676359,7.565264895473515,1.930163424063343,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,2022,761,5.573201802829631,4.7126893702866335,7.411178105728062,2.517244147875546,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,lag_context_available,2022,335,4.455631488536201,5.087981568209004,6.017350521865344,0.05642091403144435,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,2023,90,20.60001624982928,20.316122994462646,25.947323143674755,11.371414303381219,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,all,2024,770,6.766594107639392,6.282050704146111,9.695310429726776,-4.206502177227727,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,constant_lag,100.0,lag_context_available,2024,334,4.281698677615842,4.104904997253777,5.464445819063968,-2.347878739372078,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,all,2633,7.730930838210498,6.981649325126155,11.033580992956606,0.27012376814112865,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,lag_context_available,all,937,5.150220279566474,4.842391762823287,6.699735762190907,-0.28547047166498724,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,2019,142,17.393445482070163,20.10370104677182,21.961377434178207,-9.962171217103316,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,2020,870,7.119410622365774,6.064333795325626,9.038813905816614,2.6431150757585407,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,lag_context_available,2020,268,6.625785221324181,5.45451114676359,8.240649708392125,1.2087089223236729,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,2022,761,5.896083126559484,4.7126893702866335,7.774266899583048,2.9979178667322217,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,lag_context_available,2022,335,4.730070541302564,5.087981568209004,6.327979445014475,0.662876983230101,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,2023,90,20.43676739574253,20.316122994462646,25.717980869461446,11.140723243980428,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,all,2024,770,6.968254639178523,6.282050704146111,9.89907432813056,-4.4905539092300355,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,1.0,lag_context_available,2024,334,4.3876417104866645,4.104904997253777,5.592090333409476,-2.4355796781883874,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,all,2633,7.701081176161033,6.981649325126155,11.012202619156346,0.27441609718609034,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,lag_context_available,all,937,5.113058720611241,4.842391762823287,6.652702814986576,-0.2853854060864132,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,2019,142,17.427133094588914,20.10370104677182,21.992626441875327,-9.99459765240797,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,2020,870,7.071970816595646,6.064333795325626,8.99101904574736,2.6753841399943843,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,lag_context_available,2020,268,6.551084684065102,5.45451114676359,8.155120089442683,1.2713809851991789,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,2022,761,5.860993254676,4.7126893702866335,7.734041679054359,2.947563895398713,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,lag_context_available,2022,335,4.698254778783821,5.087981568209004,6.290410549274262,0.5989202932980374,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,2023,90,20.455136511500385,20.316122994462646,25.742651125773044,11.16810879619819,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,all,2024,770,6.946105291063237,6.282050704146111,9.877679617853293,-4.459791775738267,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,10.0,lag_context_available,2024,334,4.375239446079956,4.104904997253777,5.57766738555247,-2.421480622129317,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,all,2633,7.640015180507785,6.981649325126155,10.969787502547868,0.28445663693299034,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,lag_context_available,all,937,5.0373963856605135,4.842391762823287,6.559256628253379,-0.28183123933528864,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,2019,142,17.497871572329977,20.10370104677182,22.06023623964835,-10.06414675015345,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,2020,870,6.97653887283369,6.064333795325626,8.896204887765837,2.7414447773362856,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,lag_context_available,2020,268,6.399934902209914,5.45451114676359,7.983230745134401,1.399138763024196,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,2022,761,5.788086359782437,4.7126893702866335,7.652157098010245,2.8465938272662026,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,lag_context_available,2022,335,4.634218477978155,5.087981568209004,6.219082476681413,0.47721771152430825,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,2023,90,20.49392620049587,20.316122994462646,25.795228533958753,11.225231928309093,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,all,2024,770,6.899592610132168,6.282050704146111,9.832381991963778,-4.394159180277422,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,30.0,lag_context_available,2024,334,4.348487034278333,4.104904997253777,5.546856942359196,-2.3919550691865066,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,all,2633,7.46934524215582,6.981649325126155,10.860100960187948,0.31725848106462035,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,lag_context_available,all,937,4.829619200876768,4.842391762823287,6.31255883226839,-0.2601864306676189,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,2019,142,17.71916633778885,20.10370104677182,22.276376398462418,-10.283039278173431,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,2020,870,6.7195067261285875,6.064333795325626,8.653006374691092,2.9230832312329578,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,lag_context_available,2020,268,5.992609105178005,5.45451114676359,7.52656212652655,1.747699274412861,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,2022,761,5.577937525721229,4.7126893702866335,7.421882505908288,2.567564686110037,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,lag_context_available,2022,335,4.464664480191755,5.087981568209004,6.043230231216309,0.17198401276651076,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,2023,90,20.610376736673075,20.316122994462646,25.957563830269503,11.390088724605429,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,all,2024,770,6.759674269511633,6.282050704146111,9.694925641837074,-4.190355797887179,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,decaying_lag,100.0,lag_context_available,2024,334,4.262489072364038,4.104904997253777,5.450256666713887,-2.3047686687275055,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,all,2633,7.740291752297352,6.981649325126155,11.050735062590125,0.35929864607287143,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,lag_context_available,all,937,5.428714494584687,4.842391762823287,7.0768970494728185,0.20213468536056198,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,2019,142,17.08996100394066,20.10370104677182,21.652547041445942,-9.631549205608097,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,2020,870,6.860998604610233,6.064333795325626,8.779975338269058,2.766121457643797,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,lag_context_available,2020,268,6.413974134135619,5.45451114676359,8.045694411239412,1.7181538085197483,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,2022,761,6.0167145682834455,4.7126893702866335,7.948141791160874,3.4876274121717854,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,lag_context_available,2022,335,5.129038953442502,5.087981568209004,6.906741928276954,1.7131359493505403,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,2023,90,20.29114618570513,20.316122994462646,25.45063571252334,10.55401517801144,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,all,2024,770,7.2460025870795945,6.282050704146111,10.289769890000434,-4.8009846396462885,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,1.0,lag_context_available,2024,334,4.938719652916969,4.104904997253777,6.380698286255757,-2.5298370165655,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,all,2633,7.718161602548928,6.981649325126155,11.036922056724562,0.36465546182470526,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,lag_context_available,all,937,5.398199094767279,4.842391762823287,7.044641840446127,0.20370808688922382,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,2019,142,17.12255238210007,20.10370104677182,21.68536438790245,-9.657791472165728,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,2020,870,6.833422274087368,6.064333795325626,8.754256331812467,2.7772181425244273,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,lag_context_available,2020,268,6.370236906301462,5.45451114676359,7.996593411143411,1.7168343207328227,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,2022,761,5.986939186142876,4.7126893702866335,7.918333122012948,3.4608879472083913,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,lag_context_available,2022,335,5.097576794067921,5.087981568209004,6.880661650502882,1.6919847443338425,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,2023,90,20.304001463382722,20.316122994462646,25.470683390714143,10.574549555314986,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,all,2024,770,7.223401078490831,6.282050704146111,10.267981712337749,-4.766338638660004,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,10.0,lag_context_available,2024,334,4.919762978728729,4.104904997253777,6.358315140599463,-2.503149730218656,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,all,2633,7.671604790991828,6.981649325126155,11.008137957913764,0.3760337518179385,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,lag_context_available,all,937,5.333359997362946,4.842391762823287,6.976159377085852,0.20698205828658678,2018,2023
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,2019,142,17.191468472039354,20.10370104677182,21.755683198442984,-9.71447769783816,2018,2018
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,2020,870,6.776724346163228,6.064333795325626,8.700742626136535,2.7999496630867844,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,lag_context_available,2020,268,6.277486834208243,5.45451114676359,7.892195817109053,1.7129122912552417,2018,2019
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,2022,761,5.9238724768251485,4.7126893702866335,7.855421796152583,3.4044080249426782,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,lag_context_available,2022,335,5.031131495575886,5.087981568209004,6.825809040243904,1.647371954052115,2018,2020
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,2023,90,20.331397842158186,20.316122994462646,25.513775969418734,10.617808118421944,2018,2022
WAR-POST2016-V3-D9C7EE17BD14B8C7D23A,fundamentals_no_lag,30.0,all,2024,770,7.174680454326898,6.282050704146111,10.221429934206268,-4.691897068695072,2018,2023
