model_run_id,cycle,lag_context_available,n,missing_context_share,lag_available_fit_rows,headline_mean_abs_lag_component,no_lag_spec_n,no_lag_spec_mean_diff,no_lag_spec_mae,no_lag_spec_max_abs_diff,no_lag_spec_sign_change_share,no_lag_spec_spearman,lag_available_fit_n,lag_available_fit_mean_diff,lag_available_fit_mae,lag_available_fit_max_abs_diff,lag_available_fit_sign_change_share,lag_available_fit_spearman,missing_excluded_fit_n,missing_excluded_fit_mean_diff,missing_excluded_fit_mae,missing_excluded_fit_max_abs_diff,missing_excluded_fit_sign_change_share,missing_excluded_fit_spearman
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,all,all,3660,0.6491803278688525,1284,0.8504560897622936,3660,1.6676399180817652e-15,0.6819894143524998,13.212725284008862,0.05218579234972678,0.9769973570925893,1284,0.0571250030723308,1.3816415513123137,13.240798358254814,0.12071651090342679,0.8799757275946575,3426,0.9615965344031593,3.423027413041957,40.78626669861848,0.2133683596030356,0.7124751035710164
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,all,available,1284,0.0,1284,2.424197265210276,1284,-0.03390179609782712,1.3294454377582248,13.212725284008862,0.11526479750778816,0.9218289437124575,1284,0.0571250030723308,1.3816415513123137,13.240798358254814,0.12071651090342679,0.8799757275946575,1284,0.05712500307233081,1.3816415513123137,13.240798358254814,0.12071651090342679,0.8799757275946575
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,all,missing,2376,1.0,1284,0.0,2376,0.01832066758822227,0.33210156332011337,3.9141540703130175,0.0180976430976431,0.9963412572685652,0,,,,,,2142,1.5037727464614143,4.64671529654376,40.78626669861848,0.2689075630252101,0.6726457138664402
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2018,all,1025,0.6614634146341464,347,1.3959066519407621,1025,1.1212710976506947e-15,1.26652423113972,9.672239779169017,0.06048780487804878,0.9699709608115817,347,-0.009802780777169996,2.813547859123844,13.240798358254814,0.1873198847262248,0.8080641094055427,1025,1.8414007811015223,5.4113545885429275,40.78626669861848,0.27902439024390246,0.6157120618492369
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2018,available,347,0.0,347,4.123355383974874,347,-0.12404208176786381,2.040466959972231,9.672239779169017,0.1037463976945245,0.9256036679899294,347,-0.009802780777169996,2.813547859123844,13.240798358254814,0.1873198847262248,0.8080641094055427,347,-0.009802780777169996,2.813547859123844,13.240798358254814,0.1873198847262248,0.8080641094055427
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2018,missing,678,1.0,347,0.0,678,0.06348466426762518,0.870420799126621,3.9141540703130175,0.038348082595870206,0.9904496709823829,0,,,,,,678,2.7888456719155434,6.740910540030276,40.78626669861848,0.32595870206489674,0.5827566357339097
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2019,all,144,1.0,0,0.0,144,1.2401345382705308e-15,2.8437900182846456e-15,7.105427357601002e-15,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2019,available,0,,0,,0,,,,,,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2019,missing,144,1.0,0,0.0,144,1.2401345382705308e-15,2.8437900182846456e-15,7.105427357601002e-15,0.0,1.0,0,,,,,,0,,,,,
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2020,all,870,0.6919540229885057,268,0.6951437231024444,870,7.523994199068877e-16,0.5611139518911082,6.103022196607135,0.05057471264367816,0.979243474884432,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039,870,0.9549961133112788,2.530746701757881,15.181602131100487,0.2,0.8441673559962516
WAR-POST2016-V3-4AF79A70EAA8F39EBD49,2020,available,268,0.0,268,2.2566232802206216,268,-0.11567893757218138,1.400693705427449,6.103022196607135,0.1417910447761194,0.9088985547181597,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039,268,0.08297981045550544,1.8493615027966812,5.464169996043607,0.21641791044776118,0.8134019763760039
