specification,chamber,district,public_margin,ensemble_margin,change,winner_changed
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,2,-63.44556506213457,-61.95498678241745,1.4905782797171199,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,4,-30.168234192443013,-28.11144138379342,2.0567928086495932,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,5,-42.22783247880138,-41.71933389045433,0.5084985883470523,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,8,-27.045765902606977,-21.58873563879318,5.457030263813795,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,10,5.179921085962886,14.025866184182483,8.845945098219598,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,15,-13.49899760982322,-17.58388631022975,-4.08488870040653,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,16,-72.98027779212242,-70.86195269246141,2.118325099661007,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,19,36.191402249555054,42.57785370897872,6.386451459423668,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,20,-22.96397059610957,-29.27906555555413,-6.315094959444561,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,21,-16.342279964211833,-19.38427156514276,-3.0419916009309276,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,25,-2.465418547051442,-5.304117577871729,-2.838699030820287,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,28,-24.862708072052687,-23.46914578061321,1.3935622914394763,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,32,3.422618194788681,1.5504713004473452,-1.872146894341336,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,37,-42.52828814659968,-40.44563465420873,2.0826534923909463,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,38,-40.851162777982296,-40.817383539041316,0.033779238940979894,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,40,-59.91772109645968,-58.603643356523776,1.3140777399359038,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,41,-44.01924227829869,-42.95893741902307,1.0603048592756181,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,43,-39.82294291486019,-45.97450098053617,-6.151558065675978,False
public_0.5+all_hybrid_stable_composition__elastic_30__1_0.5,house,45,-41.76377173462995,-45.35631152997974,-3.5925397953497935,False
