cycle,region,precincts,two_party_votes,adjusted_dem_residual,white_college_share
2018,Auburn city,3,11815.0,-0.009448019150900764,0.485169940352465
2018,Birmingham city,8,17233.0,0.13869601193669226,0.5560365953671094
2018,Birmingham educated suburbs,27,57054.0,0.022987687840280022,0.6027289011564269
2018,Black Belt,25,7371.0,-0.05151549221089014,0.15276511943566784
2018,Huntsville city,15,30072.0,0.04965297752376362,0.5090673594515336
2018,Madison County remainder,20,41208.0,0.004374540820016552,0.3276341941059469
2018,Madison city,4,10203.0,-0.014602959062397967,0.49055204881355086
2018,Mobile city,9,17186.0,0.026900747959551226,0.3496005378818496
2018,Shelby County remainder,31,59686.0,-0.03087206232766395,0.3982528771061189
2018,Tuscaloosa city,4,8492.0,0.1095021309396057,0.5861645484462934
2020,Auburn city,3,15148.0,0.007286077342755798,0.485169940352465
2020,Birmingham city,8,20315.0,0.12084515984889736,0.5560365953671094
2020,Birmingham educated suburbs,27,69114.0,0.010788044808463558,0.6027289011564269
2020,Black Belt,25,9242.0,-0.04089758193425998,0.15276511943566787
2020,Huntsville city,15,37975.0,0.09203511301477324,0.5090673594515336
2020,Madison County remainder,20,57310.0,0.023225244410510028,0.3276341941059469
2020,Madison city,4,12677.0,0.04155200544721201,0.49055204881355086
2020,Mobile city,9,21458.0,0.020669127768930328,0.3496005378818496
2020,Shelby County remainder,31,80697.0,-0.021834166062907886,0.3982528771061189
2020,Tuscaloosa city,4,9813.0,0.024164505711254412,0.5861645484462934
2022,Auburn city,3,8946.0,-0.03376981242772819,0.485169940352465
2022,Birmingham city,7,9339.0,0.15408799222349093,0.5712590009799015
2022,Birmingham educated suburbs,28,44239.0,-0.03992764486635434,0.6015287426944024
2022,Black Belt,25,6369.0,-0.02034725559326925,0.15276511943566784
2022,Huntsville city,14,23139.0,0.043088462652481965,0.5125372512108943
2022,Madison County remainder,22,36293.0,0.02859835749953233,0.32638152855580427
2022,Madison city,4,8278.0,0.009551355114647553,0.49048894961585027
2022,Mobile city,7,11432.0,-0.001490746349398764,0.4215973288507376
2022,Shelby County remainder,29,51934.0,-0.025076867539617582,0.38045323369668504
2022,Tuscaloosa city,4,6040.0,-0.01760955183474134,0.5861645484462934
2024,Auburn city,2,11470.0,-0.07561843038146886,0.5836758655703749
2024,Birmingham city,8,18453.0,0.21526312157027752,0.5492626240036427
2024,Birmingham educated suburbs,26,63119.0,0.022058873803608832,0.6090769967634729
2024,Black Belt,23,8166.0,-0.01192519144619328,0.15134089464748485
2024,Huntsville city,16,44193.0,0.1152905284046724,0.5136142262478076
2024,Madison County remainder,20,52868.0,0.047093183765320665,0.33238285858924643
2024,Madison city,3,7364.0,0.0646069519638048,0.49169103398042613
2024,Mobile city,5,11179.0,-0.00566947046633033,0.5332646739718628
2024,Shelby County remainder,29,85321.0,-0.020567178935846375,0.38662169697897236
2024,Tuscaloosa city,3,8586.0,-0.0013625451103048373,0.5628698252885368
