region,term,estimate,std_error,p_value,ci_low,ci_high,r_squared,precincts,p_value_bh
Huntsville city,area,0.0005648471836056379,0.01575522034928702,0.9714008239824841,-0.03031538470099692,0.0314450790682082,0.9188699469198132,156,0.9714008239824841
Huntsville city,area_x_college,-0.21610076303226577,0.04498874719637032,1.5596237600335383e-06,-0.3042787075371516,-0.12792281852737997,0.9188699469198132,156,1.5596237600335383e-05
Huntsville city,area_x_noncollege,0.46334140031997745,0.04754941871707325,1.9489285530846093e-22,0.3701445396345139,0.556538261005441,0.9188699469198132,156,1.948928553084609e-21
Huntsville city,area_x_time,0.008615701696874173,0.009042827395758532,0.3407084647307518,-0.009108239998812547,0.026339643392560893,0.9188699469198132,156,0.8202570038047657
Huntsville city,area_x_college_time,0.022697225330192528,0.025735505079570353,0.3778081202487814,-0.027744364625765364,0.07313881528615042,0.9188699469198132,156,0.6296802004146357
Madison city,area,0.1279428599656897,0.08246319279644648,0.12077837531566787,-0.033684997915345405,0.2895707178467248,0.9146946476725785,29,0.3019459382891697
Madison city,area_x_college,-0.41160799141239435,0.10761978034292817,0.00013095800216326824,-0.6225427608845335,-0.20067322194025514,0.9146946476725785,29,0.0004365266738775608
Madison city,area_x_noncollege,0.2628826510581065,0.13607448376699896,0.05337152694124628,-0.00382333712521149,0.5295886392414244,0.9146946476725785,29,0.13342881735311568
Madison city,area_x_time,0.001091223212431991,0.02463603005596921,0.9646702193928602,-0.04719539569726766,0.04937784212213164,0.9146946476725785,29,0.9870507886536194
Madison city,area_x_college_time,0.03403022397570182,0.049131790336904006,0.48854085817143533,-0.062268085084630026,0.13032853303603367,0.9146946476725785,29,0.697915511673479
Madison County remainder,area,-0.006063600210150746,0.044328790716507284,0.8911991967376556,-0.09294803001450502,0.08082082959420353,0.9147622301846356,116,0.9714008239824841
Madison County remainder,area_x_college,-0.07091338248729123,0.08145214375888846,0.38396491077329875,-0.2305595842547126,0.08873281928013013,0.9147622301846356,116,0.47995613846662344
