state,year,chamber,outcome_rows,contested_outcomes,any_baseline,strict_war_ready,research_war_ready,strict_coverage_of_contested
AL,1994,house,105,60,54,54,54,0.9
AL,1994,senate,35,20,18,18,18,0.9
AL,1998,house,105,57,57,57,57,1.0
AL,1998,senate,35,28,28,28,28,1.0
AL,2002,house,105,52,51,51,51,0.9807692307692307
AL,2002,senate,35,23,23,23,23,1.0
AL,2006,house,105,44,40,40,40,0.9090909090909091
AL,2006,senate,35,23,22,22,22,0.9565217391304348
AL,2010,house,105,42,42,42,42,1.0
AL,2010,senate,35,21,21,21,21,1.0
AL,2014,house,105,40,40,40,40,1.0
AL,2014,senate,35,16,16,16,16,1.0
AL,2018,house,105,49,105,49,49,1.0
AL,2018,senate,35,15,35,15,15,1.0
AL,2022,house,105,25,25,25,25,1.0
AL,2022,senate,35,8,8,8,8,1.0
AR,1994,house,93,31,26,26,26,0.8387096774193549
AR,1994,senate,18,9,7,7,7,0.7777777777777778
AR,1996,house,93,26,24,24,24,0.9230769230769231
AR,1996,senate,17,6,6,6,6,1.0
AR,1998,house,93,40,39,39,39,0.975
AR,1998,senate,18,7,6,6,6,0.8571428571428571
AR,2000,house,93,29,0,0,0,0.0
AR,2000,senate,17,6,0,0,0,0.0
AR,2002,house,100,33,0,0,0,0.0
AR,2002,senate,35,12,0,0,0,0.0
AR,2004,house,100,27,0,0,0,0.0
AR,2004,senate,18,3,0,0,0,0.0
AR,2006,house,100,29,0,0,0,0.0
AR,2006,senate,17,3,0,0,0,0.0
AR,2008,house,100,22,0,0,0,0.0
AR,2008,senate,18,1,0,0,0,0.0
AR,2010,house,100,31,0,0,0,0.0
AR,2010,senate,17,7,0,0,0,0.0
AR,2012,house,100,48,0,0,0,0.0
AR,2012,senate,35,16,0,0,0,0.0
AR,2014,house,100,34,0,0,0,0.0
AR,2014,senate,18,3,0,0,0,0.0
AR,2016,house,100,25,34,25,25,1.0
AR,2016,senate,17,3,5,3,3,1.0
AR,2018,house,100,40,45,40,40,1.0
AR,2018,senate,18,7,10,7,7,1.0
AR,2020,house,100,38,97,38,38,1.0
AR,2020,senate,17,8,17,8,8,1.0
AR,2022,house,100,35,100,35,35,1.0
AR,2022,senate,35,13,35,13,13,1.0
AR,2024,house,49,49,49,49,49,1.0
AR,2024,senate,5,5,5,5,5,1.0
FL,1994,house,120,55,0,0,0,0.0
FL,1994,senate,20,12,0,0,0,0.0
FL,1996,house,120,59,0,0,0,0.0
FL,1996,senate,20,10,0,0,0,0.0
FL,1998,house,120,45,0,0,0,0.0
FL,1998,senate,20,7,0,0,0,0.0
FL,2000,house,120,69,0,0,0,0.0
FL,2000,senate,20,10,0,0,0,0.0
FL,2002,house,120,42,0,0,0,0.0
FL,2002,senate,40,14,0,0,0,0.0
FL,2004,house,120,36,0,0,0,0.0
FL,2004,senate,20,5,0,0,0,0.0
FL,2006,house,120,50,0,0,0,0.0
FL,2006,senate,20,5,0,0,0,0.0
FL,2008,house,120,56,0,0,0,0.0
FL,2008,senate,20,10,0,0,0,0.0
FL,2010,house,120,60,60,60,60,1.0
FL,2010,senate,20,7,7,7,7,1.0
FL,2012,house,120,47,0,0,0,0.0
FL,2012,senate,40,25,0,0,0,0.0
FL,2014,house,119,50,0,0,0,0.0
FL,2014,senate,20,5,0,0,0,0.0
FL,2016,house,120,56,78,56,56,1.0
FL,2016,senate,40,17,25,17,17,1.0
FL,2018,house,120,77,85,77,77,1.0
FL,2018,senate,22,17,19,17,17,1.0
FL,2020,house,120,95,96,95,95,1.0
FL,2020,senate,21,18,20,18,18,1.0
FL,2022,house,120,67,75,67,67,1.0
FL,2022,senate,40,23,25,23,23,1.0
FL,2024,house,102,102,102,86,102,0.8431372549019608
FL,2024,senate,17,17,17,17,17,1.0
GA,1994,house,180,64,0,0,0,0.0
GA,1994,senate,56,12,0,0,0,0.0
GA,1996,house,180,75,0,0,0,0.0
GA,1996,senate,56,28,0,0,0,0.0
GA,1998,house,180,73,0,0,0,0.0
GA,1998,senate,56,27,0,0,0,0.0
GA,2000,house,180,57,0,0,0,0.0
GA,2000,senate,56,26,0,0,0,0.0
GA,2002,house,124,44,0,0,0,0.0
GA,2002,senate,56,27,0,0,0,0.0
GA,2004,house,180,71,0,0,0,0.0
GA,2004,senate,56,33,0,0,0,0.0
GA,2006,house,180,50,0,0,0,0.0
GA,2006,senate,56,22,0,0,0,0.0
GA,2008,house,180,37,0,0,0,0.0
GA,2008,senate,56,18,0,0,0,0.0
GA,2010,house,180,57,0,0,0,0.0
GA,2010,senate,56,21,0,0,0,0.0
GA,2012,house,180,41,41,41,41,1.0
GA,2012,senate,55,12,12,12,12,1.0
GA,2014,house,180,33,0,0,0,0.0
GA,2014,senate,56,15,0,0,0,0.0
GA,2016,house,180,31,180,31,31,1.0
GA,2016,senate,56,13,56,13,13,1.0
GA,2018,house,178,68,178,68,68,1.0
GA,2018,senate,56,23,56,23,23,1.0
GA,2020,house,180,86,180,86,86,1.0
GA,2020,senate,55,28,55,28,28,1.0
GA,2022,house,180,86,180,86,86,1.0
GA,2022,senate,56,26,56,26,26,1.0
GA,2024,house,90,90,90,89,90,0.9888888888888889
GA,2024,senate,23,23,23,23,23,1.0
KY,1994,house,100,32,0,0,0,0.0
KY,1994,senate,19,14,0,0,0,0.0
KY,1996,house,100,55,0,0,0,0.0
KY,1996,senate,19,16,0,0,0,0.0
KY,1998,house,100,50,0,0,0,0.0
KY,1998,senate,19,16,0,0,0,0.0
KY,2000,house,100,32,0,0,0,0.0
KY,2000,senate,19,14,0,0,0,0.0
KY,2002,house,100,33,0,0,0,0.0
KY,2002,senate,19,12,0,0,0,0.0
KY,2004,house,100,52,0,0,0,0.0
KY,2004,senate,19,10,0,0,0,0.0
KY,2006,house,100,44,0,0,0,0.0
KY,2006,senate,19,8,0,0,0,0.0
KY,2008,house,100,26,0,0,0,0.0
KY,2008,senate,19,11,0,0,0,0.0
KY,2010,house,100,51,51,51,51,1.0
KY,2010,senate,19,15,15,15,15,1.0
KY,2012,house,100,44,0,0,0,0.0
KY,2012,senate,19,9,0,0,0,0.0
KY,2014,house,100,50,0,0,0,0.0
KY,2014,senate,19,9,0,0,0,0.0
KY,2016,house,100,64,100,64,64,1.0
KY,2016,senate,19,6,19,6,6,1.0
KY,2018,house,100,85,100,85,85,1.0
KY,2018,senate,19,16,19,16,16,1.0
KY,2020,house,100,60,100,60,60,1.0
KY,2020,senate,19,8,19,8,8,1.0
KY,2022,house,100,46,100,46,46,1.0
