cycle,chamber,district,party,candidate,candidate_norm,source_file,votes_wikipedia,incumbent_wikipedia,winner_wikipedia
2010,house,1,D,Greg Burdine,GREG BURDINE,2010_house.html,7083,False,True
2010,house,1,R,Quinton Hanson,QUINTON HANSON,2010_house.html,6877,False,False
2010,house,2,D,Mike Curtis,MIKE CURTIS,2010_house.html,6284,True,False
2010,house,2,R,Lynn Greer,LYNN GREER,2010_house.html,7599,False,True
2010,house,3,D,Marcel Black,MARCEL BLACK,2010_house.html,9076,True,True
2010,house,4,D,Vaughn Goodwin,VAUGHN GOODWIN,2010_house.html,5244,False,False
2010,house,4,R,Micky Hammon,MICKY HAMMON,2010_house.html,12153,True,True
2010,house,5,D,Henry A. White,HENRY A WHITE,2010_house.html,5402,True,False
2010,house,5,I,Jerry Hill,JERRY HILL,2010_house.html,1359,False,False
2010,house,5,R,Dan Williams,DAN WILLIAMS,2010_house.html,8807,False,True
2010,house,6,R,Phil Williams,PHIL WILLIAMS,2010_house.html,9880,False,True
2010,house,7,D,"John ""Jody"" Letson",JOHN JODY LETSON,2010_house.html,6911,True,False
2010,house,7,R,Ken Johnson,KEN JOHNSON,2010_house.html,7096,False,True
2010,house,8,D,Drama Breland,DRAMA BRELAND,2010_house.html,5147,False,False
2010,house,8,R,Terri Collins,TERRI COLLINS,2010_house.html,6574,False,True
2010,house,9,D,Kathy White Goodwin,KATHY WHITE GOODWIN,2010_house.html,4294,False,False
2010,house,9,R,Ed Henry,ED HENRY,2010_house.html,11405,False,True
2010,house,10,R,Mike Ball,MIKE BALL,2010_house.html,11950,True,True
2010,house,11,R,Jeremy Oden,JEREMY ODEN,2010_house.html,12977,True,True
2010,house,12,D,James C. Fields,JAMES C FIELDS,2010_house.html,7667,True,False
2010,house,12,R,Mac Buttram,MAC BUTTRAM,2010_house.html,9062,False,True
2010,house,13,D,Tommy Sherer,TOMMY SHERER,2010_house.html,5186,True,False
2010,house,13,R,Bill Roberts,BILL ROBERTS,2010_house.html,7990,False,True
2010,house,14,D,Ken Guin,KEN GUIN,2010_house.html,4121,True,False
2010,house,14,R,Richard Baughn,RICHARD BAUGHN,2010_house.html,9327,False,True
2010,house,15,R,Allen Farley,ALLEN FARLEY,2010_house.html,14117,False,True
2010,house,16,D,William E. Thigpen Sr.,WILLIAM E THIGPEN,2010_house.html,6379,True,False
2010,house,16,R,Daniel Boman,DANIEL BOMAN,2010_house.html,7451,False,True
2010,house,17,D,Mike Millican,MIKE MILLICAN,2010_house.html,8107,True,True
2010,house,18,D,Johnny Mack Morrow,JOHNNY MACK MORROW,2010_house.html,8344,True,True
2010,house,19,D,Laura Hall,LAURA HALL,2010_house.html,10669,True,True
2010,house,20,R,Howard Sanderford,HOWARD SANDERFORD,2010_house.html,17733,True,True
2010,house,21,D,Randy Hinshaw,RANDY HINSHAW,2010_house.html,6201,True,False
2010,house,21,R,Jim Patterson,JIM PATTERSON,2010_house.html,6654,False,True
2010,house,22,D,Butch Taylor,BUTCH TAYLOR,2010_house.html,5177,False,False
2010,house,22,R,Wayne Johnson,WAYNE JOHNSON,2010_house.html,9523,False,True
2010,house,23,D,John Robinson,JOHN ROBINSON,2010_house.html,7782,True,True
2010,house,24,D,Nathaniel Ledbetter,NATHANIEL LEDBETTER,2010_house.html,6971,False,False
2010,house,24,R,Todd Greeson,TODD GREESON,2010_house.html,7967,True,True
2010,house,25,R,Mac McCutcheon,MAC MCCUTCHEON,2010_house.html,17822,True,True
2010,house,26,D,Randall White,RANDALL WHITE,2010_house.html,4873,False,False
2010,house,26,R,Kerry Rich,KERRY RICH,2010_house.html,7203,False,True
2010,house,27,D,Jeff McLaughlin,JEFF MCLAUGHLIN,2010_house.html,7225,True,False
2010,house,27,R,Wes Long,WES LONG,2010_house.html,8238,False,True
2010,house,28,D,Craig Ford,CRAIG FORD,2010_house.html,8208,True,True
2010,house,29,D,Jack Page,JACK PAGE,2010_house.html,5406,True,False
2010,house,29,R,Becky Nordgren,BECKY NORDGREN,2010_house.html,5845,False,True
2010,house,30,D,Wally Burns,WALLY BURNS,2010_house.html,4153,False,False
2010,house,30,R,Blaine Galliher,BLAINE GALLIHER,2010_house.html,10979,True,True
2010,house,31,R,Barry Mask,BARRY MASK,2010_house.html,13104,True,True
2010,house,32,D,Barbara Bigsby-Boyd,BARBARA BIGSBY BOYD,2010_house.html,7240,True,True
2010,house,32,R,Ron Struzik,RON STRUZIK,2010_house.html,2905,False,False
2010,house,33,R,Ron Johnson,RON JOHNSON,2010_house.html,9567,True,True
2010,house,34,R,Elwyn Thomas,ELWYN THOMAS,2010_house.html,13515,True,True
2010,house,35,D,Steve Hurst,STEVE HURST,2010_house.html,6722,True,True
2010,house,35,R,Steven M. Dean,STEVEN M DEAN,2010_house.html,6295,False,False
2010,house,36,D,Garry Bearden,GARRY BEARDEN,2010_house.html,3301,False,False
2010,house,36,R,Randy Wood,RANDY WOOD,2010_house.html,10612,True,True
2010,house,37,D,Richard Laird,RICHARD LAIRD,2010_house.html,8106,True,True
2010,house,37,R,Bob Fincher,BOB FINCHER,2010_house.html,7011,False,False
2010,house,38,D,Huey P. Long,HUEY P LONG,2010_house.html,5748,False,False
2010,house,38,R,DuWayne Bridges,DUWAYNE BRIDGES,2010_house.html,5980,True,True
2010,house,39,D,Richard Lindsey,RICHARD LINDSEY,2010_house.html,7808,True,True
2010,house,39,R,Tim Sprayberry,TIM SPRAYBERRY,2010_house.html,5872,False,False
2010,house,40,D,Ricky Whaley,RICKY WHALEY,2010_house.html,5148,False,False
2010,house,40,R,K. L. (Koven) Brown,K L KOVEN BROWN,2010_house.html,8587,False,True
2010,house,41,R,Mike Hill,MIKE HILL,2010_house.html,19319,True,True
2010,house,42,D,"James M. ""Jimmy"" Martin",JAMES M JIMMY MARTIN,2010_house.html,5452,True,False
2010,house,42,R,Kurt Wallace,KURT WALLACE,2010_house.html,9382,False,True
2010,house,43,D,Virginia Sweet,VIRGINIA SWEET,2010_house.html,4041,False,False
2010,house,43,R,Mary Sue McClurkin,MARY SUE MCCLURKIN,2010_house.html,16368,True,True
2010,house,44,R,Arthur Payne,ARTHUR PAYNE,2010_house.html,11654,True,True
2010,house,45,D,Charlene Cannon,CHARLENE CANNON,2010_house.html,5103,False,False
2010,house,45,R,Owen Drake,OWEN DRAKE,2010_house.html,8165,True,True
2010,house,46,R,Paul DeMarco,PAUL DEMARCO,2010_house.html,15446,True,True
2010,house,47,I,"Charles ""Chip"" McCallum",CHARLES CHIP MCCALLUM,2010_house.html,5527,False,False
2010,house,47,R,Jack Williams,JACK WILLIAMS,2010_house.html,8735,True,True
2010,house,48,R,Greg Canfield,GREG CANFIELD,2010_house.html,16859,True,True
2010,house,49,R,April Weaver,APRIL WEAVER,2010_house.html,12411,False,True
2010,house,50,R,Jim McClendon,JIM MCCLENDON,2010_house.html,14248,True,True
2010,house,51,R,Allen Treadaway,ALLEN TREADAWAY,2010_house.html,14061,True,True
2010,house,52,D,John Rogers,JOHN ROGERS,2010_house.html,9599,True,True
2010,house,53,D,Demetrius Newton,DEMETRIUS NEWTON,2010_house.html,7729,True,True
