model,model_label,is_public_default,chamber,district,predicted_dem_margin
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,2,-63.44556506213457
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,4,-30.168234192443013
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,5,-42.22783247880138
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,8,-27.045765902606977
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,10,5.179921085962886
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,15,-13.49899760982322
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,16,-72.98027779212242
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,19,36.191402249555054
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,20,-22.96397059610957
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,21,-16.342279964211833
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,25,-2.465418547051442
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,28,-24.862708072052687
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,32,3.422618194788681
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,37,-42.52828814659968
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,38,-40.851162777982296
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,40,-59.91772109645968
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,41,-44.019242278298684
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,43,-39.82294291486019
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,45,-41.76377173462995
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,47,-12.542237344054575
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,50,-56.83020958474616
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,63,-14.482754089763738
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,68,4.266248801475497
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,69,13.2672920863345
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,70,42.14172683432893
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,74,32.583507459078504
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,75,-25.159556418806183
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,80,-31.56460879094611
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,82,35.01674433891714
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,85,-24.324869109313237
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,96,-41.64407217615401
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,99,31.823403903944776
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,101,-26.52085457872553
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,2,1.3657396267618893
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,3,-37.71958219015087
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,6,-51.33435722894423
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,7,-9.453156895869263
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,8,-51.84573512309653
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,11,-48.05910770915243
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,13,-48.03819977698762
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,14,-41.55322693125855
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,16,-22.20548101233912
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,22,-56.92023492844067
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,23,9.392740797125253
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,28,7.768603045891093
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,29,-56.59198046403853
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,32,-51.41751877474897
post2016_ramp,Post-2016 ramp,False,house,2,-63.49062890537633
post2016_ramp,Post-2016 ramp,False,house,4,-29.219723622884857
post2016_ramp,Post-2016 ramp,False,house,5,-41.902324370500615
post2016_ramp,Post-2016 ramp,False,house,8,-26.11246426375141
post2016_ramp,Post-2016 ramp,False,house,10,4.086021331415267
post2016_ramp,Post-2016 ramp,False,house,15,-12.70290140191546
post2016_ramp,Post-2016 ramp,False,house,16,-73.64992533328218
post2016_ramp,Post-2016 ramp,False,house,19,34.79746144883655
post2016_ramp,Post-2016 ramp,False,house,20,-19.793763940644155
post2016_ramp,Post-2016 ramp,False,house,21,-15.561935208509794
post2016_ramp,Post-2016 ramp,False,house,25,-1.0596962261872145
post2016_ramp,Post-2016 ramp,False,house,28,-24.903459959047392
post2016_ramp,Post-2016 ramp,False,house,32,3.158354962154016
post2016_ramp,Post-2016 ramp,False,house,37,-43.14496715711068
post2016_ramp,Post-2016 ramp,False,house,38,-41.249322256764
post2016_ramp,Post-2016 ramp,False,house,40,-60.03455656406872
post2016_ramp,Post-2016 ramp,False,house,41,-43.86971945352963
post2016_ramp,Post-2016 ramp,False,house,43,-38.35271371649463
post2016_ramp,Post-2016 ramp,False,house,45,-39.790495057162886
post2016_ramp,Post-2016 ramp,False,house,47,-11.72279270162599
post2016_ramp,Post-2016 ramp,False,house,50,-57.46951227503262
post2016_ramp,Post-2016 ramp,False,house,63,-12.7994009190402
post2016_ramp,Post-2016 ramp,False,house,68,1.87470732275784
post2016_ramp,Post-2016 ramp,False,house,69,10.027280860094296
post2016_ramp,Post-2016 ramp,False,house,70,41.10259210062137
post2016_ramp,Post-2016 ramp,False,house,74,31.41726124826928
post2016_ramp,Post-2016 ramp,False,house,75,-24.254849893243744
post2016_ramp,Post-2016 ramp,False,house,80,-31.74434886958659
post2016_ramp,Post-2016 ramp,False,house,82,33.5587923161323
post2016_ramp,Post-2016 ramp,False,house,85,-24.28153771213197
post2016_ramp,Post-2016 ramp,False,house,96,-41.48003399067956
post2016_ramp,Post-2016 ramp,False,house,99,30.270041575425907
post2016_ramp,Post-2016 ramp,False,house,101,-25.79463257058688
post2016_ramp,Post-2016 ramp,False,senate,2,3.3585116519646285
post2016_ramp,Post-2016 ramp,False,senate,3,-37.27274283857304
post2016_ramp,Post-2016 ramp,False,senate,6,-51.51363947519474
post2016_ramp,Post-2016 ramp,False,senate,7,-8.504259381625046
post2016_ramp,Post-2016 ramp,False,senate,8,-51.80794354819332
post2016_ramp,Post-2016 ramp,False,senate,11,-48.11538720757936
post2016_ramp,Post-2016 ramp,False,senate,13,-46.348257981685606
post2016_ramp,Post-2016 ramp,False,senate,14,-41.03088423799503
post2016_ramp,Post-2016 ramp,False,senate,16,-20.90080129098672
post2016_ramp,Post-2016 ramp,False,senate,22,-57.92312584977384
post2016_ramp,Post-2016 ramp,False,senate,23,6.94180229173997
post2016_ramp,Post-2016 ramp,False,senate,28,5.449745986205526
post2016_ramp,Post-2016 ramp,False,senate,29,-56.61468695548132
post2016_ramp,Post-2016 ramp,False,senate,32,-50.76054222095612
ramp_all_extra_trees,Extra Trees,False,house,2,-65.46505072607168
ramp_all_extra_trees,Extra Trees,False,house,4,-37.91988495564626
ramp_all_extra_trees,Extra Trees,False,house,5,-46.15832281560655
ramp_all_extra_trees,Extra Trees,False,house,8,-26.164490623655933
ramp_all_extra_trees,Extra Trees,False,house,10,32.2980466350338
ramp_all_extra_trees,Extra Trees,False,house,15,-21.389429730881893
ramp_all_extra_trees,Extra Trees,False,house,16,-73.78751134979458
ramp_all_extra_trees,Extra Trees,False,house,19,63.3908004394723
ramp_all_extra_trees,Extra Trees,False,house,20,-27.99209976039001
ramp_all_extra_trees,Extra Trees,False,house,21,-23.59029093062386
ramp_all_extra_trees,Extra Trees,False,house,25,-10.259091409050956
ramp_all_extra_trees,Extra Trees,False,house,28,-26.37463887268249
ramp_all_extra_trees,Extra Trees,False,house,32,12.258825354838397
ramp_all_extra_trees,Extra Trees,False,house,37,-40.62810905527678
ramp_all_extra_trees,Extra Trees,False,house,38,-42.59705486667707
ramp_all_extra_trees,Extra Trees,False,house,40,-61.363257869736564
ramp_all_extra_trees,Extra Trees,False,house,41,-46.79274774563339
ramp_all_extra_trees,Extra Trees,False,house,43,-46.478989724102604
ramp_all_extra_trees,Extra Trees,False,house,45,-47.380072866316205
