family,df,scale,residual_log_likelihood,brier,coverage_80,selection_rule
student_t,5.0,8.0,-121.05223800162146,0.017637022905735995,0.8484848484848485,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,8.25,-121.05877535514708,0.018126836838798063,0.8484848484848485,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,7.75,-121.09139547455901,0.0171477210644389,0.8181818181818182,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,8.5,-121.10577381984984,0.018617334699937028,0.8484848484848485,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,7.5,-121.18221241683649,0.01665872565012569,0.7878787878787878,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,8.75,-121.18862967451055,0.01910865690022536,0.8787878787878788,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,9.0,-121.3032839528918,0.01960091496062293,0.8787878787878788,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,7.25,-121.3315044132569,0.016169794983426588,0.7575757575757576,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,9.25,-121.44615017684166,0.020094194105968306,0.8787878787878788,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,7.0,-121.54708132364587,0.01568064949847572,0.7272727272727273,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,9.5,-121.6140528608374,0.02058855585676135,0.9090909090909091,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,9.75,-121.80417499936775,0.021084040569045774,0.9090909090909091,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,6.75,-121.83791927263408,0.015190970293140184,0.696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,10.0,-122.01401307624775,0.021580669883249966,0.9090909090909091,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,6.5,-122.2143680660991,0.0147003982177746,0.6666666666666666,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,10.25,-122.24133839699249,0.022078449052387376,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,10.5,-122.4841637560236,0.02257736912845461,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,6.25,-122.68840268439502,0.014208533622711537,0.6666666666666666,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,10.75,-122.74071462068102,0.023077408993154053,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,11.0,-123.00940415218439,0.023578537225220967,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,6.0,-123.27392999346588,0.013714936879712076,0.6363636363636364,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,11.25,-123.28881149637184,0.024080713801703554,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,11.5,-123.57766286933268,0.024583891634608637,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,11.75,-123.87481503894716,0.025088017947485823,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,5.75,-123.9871651475427,0.013219129771288333,0.6060606060606061,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,12.0,-124.17924086600532,0.02559303549888742,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,12.25,-124.49001662049855,0.02609888366132222,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,12.5,-124.80631083185554,0.026605499365426902,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,5.5,-124.84709666299128,0.012720597791017389,0.6060606060606061,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,12.75,-125.12737446792148,0.027112817919712436,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,13.0,-125.4525322676412,0.027620773716495,0.9393939393939394,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,13.25,-125.78117507773223,0.028129300834576806,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,5.25,-125.8760653049815,0.012218793295745056,0.6060606060606061,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,13.5,-126.11275306496749,0.0286383335489707,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,13.75,-126.4467696937056,0.02914780675752562,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,14.0,-126.78277637357003,0.029657656333757554,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,5.0,-127.1004904608248,0.011713139262450673,0.5757575757575758,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,14.25,-127.12036769514157,0.030167819414564822,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,14.5,-127.45917718256675,0.030678234630838883,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,14.75,-127.79887350140694,0.031188842288300204,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,15.0,-128.1391570681156,0.03169958450521106,0.9696969696969697,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,4.75,-128.5517896482271,0.011203033078394157,0.5454545454545454,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,4.5,-130.26755386230218,0.010687849267588914,0.45454545454545453,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,4.25,-132.29306615671504,0.010166939258245728,0.45454545454545453,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,4.0,-134.6832872511705,0.009639625174231928,0.45454545454545453,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,3.75,-137.5054867009966,0.009105183214976465,0.3939393939393939,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,3.5,-140.84278239447144,0.008562810665265697,0.3333333333333333,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,3.25,-144.79898413336795,0.008011569410010026,0.3333333333333333,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,3.0,-149.5053533474065,0.007450298749003834,0.24242424242424243,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,2.75,-155.13025506147196,0.006877491843349644,0.24242424242424243,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,2.5,-161.89331607587843,0.0062911316708906964,0.21212121212121213,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,2.25,-170.08687466050225,0.005688474418175694,0.18181818181818182,maximum_likelihood_on_holdout_margin_residuals
student_t,5.0,2.0,-180.1097813603666,0.005065719959633152,0.18181818181818182,maximum_likelihood_on_holdout_margin_residuals
