cycle,chamber,district,canonical_party,canonical_name,normalized_candidate_name,canonical_candidate_id,person_id,candidate_effect_id,identity_status,identity_collision_split
1994,house,1,D,Starkey,STARKEY,AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,UNRESOLVED-AL-1994-house-1-D-STARKEY,surname_only_unresolved_race_specific,False
1994,house,1,R,Phillips,PHILLIPS,AL-1994-house-1-R-PHILLIPS,ALPERSON-PHILLIPS,UNRESOLVED-AL-1994-house-1-R-PHILLIPS,surname_only_unresolved_race_specific,False
1994,house,2,D,Hamilton,HAMILTON,AL-1994-house-2-D-HAMILTON,ALPERSON-HAMILTON,UNRESOLVED-AL-1994-house-2-D-HAMILTON,surname_only_unresolved_race_specific,False
1994,house,3,D,Black,BLACK,AL-1994-house-3-D-BLACK,ALPERSON-BLACK,UNRESOLVED-AL-1994-house-3-D-BLACK,surname_only_unresolved_race_specific,True
1994,house,3,R,Smallwood,SMALLWOOD,AL-1994-house-3-R-SMALLWOOD,ALPERSON-SMALLWOOD,UNRESOLVED-AL-1994-house-3-R-SMALLWOOD,surname_only_unresolved_race_specific,False
1994,house,4,D,Smith,SMITH,AL-1994-house-4-D-SMITH,ALPERSON-SMITH,UNRESOLVED-AL-1994-house-4-D-SMITH,surname_only_unresolved_race_specific,True
1994,house,4,R,Papucci,PAPUCCI,AL-1994-house-4-R-PAPUCCI,ALPERSON-PAPUCCI,UNRESOLVED-AL-1994-house-4-R-PAPUCCI,surname_only_unresolved_race_specific,False
1994,house,5,D,Carter,CARTER,AL-1994-house-5-D-CARTER,ALPERSON-CARTER,UNRESOLVED-AL-1994-house-5-D-CARTER,surname_only_unresolved_race_specific,False
1994,house,6,D,Schmitz,SCHMITZ,AL-1994-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,UNRESOLVED-AL-1994-house-6-D-SCHMITZ,surname_only_unresolved_race_specific,False
1994,house,6,R,Jorgensen,JORGENSEN,AL-1994-house-6-R-JORGENSEN,ALPERSON-JORGENSEN,UNRESOLVED-AL-1994-house-6-R-JORGENSEN,surname_only_unresolved_race_specific,False
1994,house,7,D,Letson,LETSON,AL-1994-house-7-D-LETSON,ALPERSON-LETSON,UNRESOLVED-AL-1994-house-7-D-LETSON,surname_only_unresolved_race_specific,False
1994,house,7,R,Randolph,RANDOLPH,AL-1994-house-7-R-RANDOLPH,ALPERSON-RANDOLPH,UNRESOLVED-AL-1994-house-7-R-RANDOLPH,surname_only_unresolved_race_specific,False
1994,house,8,D,Dukes,DUKES,AL-1994-house-8-D-DUKES,ALPERSON-DUKES,UNRESOLVED-AL-1994-house-8-D-DUKES,surname_only_unresolved_race_specific,False
1994,house,8,R,New,NEW,AL-1994-house-8-R-NEW,ALPERSON-NEW,UNRESOLVED-AL-1994-house-8-R-NEW,surname_only_unresolved_race_specific,False
1994,house,9,D,Parker,PARKER,AL-1994-house-9-D-PARKER,ALPERSON-PARKER,UNRESOLVED-AL-1994-house-9-D-PARKER,surname_only_unresolved_race_specific,True
1994,house,10,D,Haney,HANEY,AL-1994-house-10-D-HANEY,ALPERSON-HANEY,UNRESOLVED-AL-1994-house-10-D-HANEY,surname_only_unresolved_race_specific,False
1994,house,11,D,Drake,DRAKE,AL-1994-house-11-D-DRAKE,ALPERSON-DRAKE,UNRESOLVED-AL-1994-house-11-D-DRAKE,surname_only_unresolved_race_specific,False
1994,house,12,D,Morrison,MORRISON,AL-1994-house-12-D-MORRISON,ALPERSON-MORRISON,UNRESOLVED-AL-1994-house-12-D-MORRISON,surname_only_unresolved_race_specific,False
1994,house,12,R,Bowling,BOWLING,AL-1994-house-12-R-BOWLING,ALPERSON-BOWLING,UNRESOLVED-AL-1994-house-12-R-BOWLING,surname_only_unresolved_race_specific,False
