specification,promotion_eligible,forward_cycles,cycle_balanced_mean_mae,race_weighted_mae,rmse,post2016_mean_mae,latest_mae,latest_house_mae,latest_senate_mae,worst_cycle_mae,worst_cycle_degradation_vs_ramp,brier,interval_80_coverage
ramp_all_extra_trees,True,7,16.19075583361572,16.568761628745484,21.9993279861014,11.781011113758352,10.522047218434585,10.92977035833503,9.247912406245685,22.872402163247116,0.7460757147794403,0.14993232495668968,0.8788598574821853
ramp_all_elastic_net,True,7,16.337658639708273,16.690717209970913,21.594964409713274,11.711660112990991,11.174406867963656,11.49216663590394,10.181407593150272,24.452096326460886,1.3984353643085115,0.14183952817546547,0.8978622327790974
ramp_all_gradient_boosting,True,7,17.041871244264225,17.503485296368144,22.523471305201422,12.283845290729955,10.668380861637415,11.746056676549195,7.3006439400381025,23.46201038159173,1.4214592285567687,0.15265255579943388,0.8812351543942993
ramp_all_spline_ridge,True,7,17.137059591028734,17.716899374442306,23.52580869925901,11.586338428145613,9.228695820732318,9.63428301766012,7.961235830332931,24.637432539995007,1.4661305442931791,0.16778909422354832,0.850356294536817
ramp_all_random_forest,True,7,17.138697287870965,17.63447538072887,22.76271063507614,12.241178681471418,10.630224554732534,11.288455773722614,8.573251995388535,22.10200758523112,1.3742823169445781,0.15596749279635697,0.8788598574821853
ramp_all_theory_ridge,True,7,17.894425411786845,18.37025614490711,24.2398052529247,12.99959870738633,11.154550622869266,11.187799071244976,11.05064922169516,25.32601896280668,2.3667963006376667,0.17317525670789405,0.833729216152019
ramp_all_bayesian_ridge,True,7,18.48558702327224,17.925307830120715,22.860641996410667,18.90580603692261,25.2839122729164,24.93765097088734,26.365978841757226,25.283912272916403,15.507940769261259,0.13975524754708363,0.8836104513064132
ramp_all_hist_gradient,True,7,18.879488885771966,19.174862817615963,24.936206962247606,15.89563874285205,13.95461368000913,14.066450272624667,13.605124328085566,24.388569264705726,5.358813314429241,0.17703603102007062,0.828978622327791
ramp_trend_incumbency_finance,True,7,19.211310278066584,19.5540547946251,25.41456916474667,16.56688792461022,13.702765150796345,13.746246251047873,13.56688671251032,25.494630286223245,6.953160207158366,0.18214929010570555,0.831353919239905
ramp_finance_open_interactions,True,7,19.824124427023953,19.890301987996004,25.63522570029713,18.711737445961006,17.99246419349792,18.208935017854458,17.315992867383738,25.494630286223245,8.216492689842779,0.18322153688413104,0.831353919239905
ramp_trend_incumbency,True,7,20.007806809956346,20.23719963210078,26.005377698124786,18.591654241930634,15.439376707408728,15.233838952790988,16.081682190589156,25.604925494941906,9.26608128518681,0.18630091446344518,0.828978622327791
ramp_incumbency_fundraising,True,7,20.143576084638262,20.153440169045847,25.877125374351447,19.54337265375068,18.87714896267198,18.978102218538957,18.561670038087676,25.60492549494191,9.101177459016837,0.18488392436000958,0.833729216152019
ramp_incumbency,True,7,20.642751250516117,20.58558957454569,26.271958078722157,20.813959783889842,19.88398779132715,19.691651391435684,20.485039040987974,25.604925494941906,10.108016287672003,0.18760043433230436,0.828978622327791
same_cycle_federal_plus_ramp_layers,False,7,21.347126958645326,21.487067643431168,27.929028592825883,14.356510820846385,12.829580655745815,14.40572963671727,7.904115090210031,30.909540086499295,3.4055904946812277,0.18631668405085,0.8197969543147208
ramp_presidential_trend,True,7,21.378083518884164,21.64484269871171,27.541856025395624,20.517887457894464,15.220912494556945,15.023752573627355,15.837037247461911,26.983330901295446,13.337011929966256,0.19713964064386874,0.8076009501187649
ramp_capped_fundraising,True,7,21.472382072594993,21.481325309284674,27.279936417096838,21.50922706566913,19.273656228316344,19.472182905197027,18.653260363064213,26.983330901295446,11.266947411756185,0.19481143948962104,0.8147268408551069
ramp_demographic_response,True,7,23.68156817344148,22.59706947652263,28.31471001221172,29.56821851073456,35.85995770604585,34.83756062316483,39.05494859004897,35.85995770604584,26.083986202390697,0.19830245576684935,0.7743467933491687
post2016_ramp,True,7,24.848320157688676,25.841721157745347,32.941507831696796,11.126910997460435,9.775971503655144,10.681039408408791,6.947634301299993,43.598621945586636,0.0,0.20638124191360388,0.7102137767220903
prior_presidential,True,7,25.260761379808372,26.11432407813229,32.99268765471683,12.570455274879386,12.034288859355827,12.20062989086405,11.514473135892626,43.598621945586636,2.2583173557006813,0.2055747896537489,0.7078384798099763
same_cycle_federal_upper_bound,False,7,25.655726064084465,25.785623084726037,34.38485199989162,9.648000305489823,9.937910421907958,12.128622881952353,3.091933984269228,47.45255568351879,7.63505261454705,0.20809345373929286,0.7385786802030457
