chamber,district,specification,predicted_dem_margin,adjustment_vs_basic_100,forecast_view,dem_win_probability,rep_win_probability,probability_family,probability_scale,probability_df
house,2,cmo_expectation__blend20,-57.407573467116535,0.363953061227663,basic,1e-06,0.999999,normal,6.0,
house,4,cmo_expectation__blend20,-24.791242979355523,-0.5910351877651081,basic,1.7990895952377036e-05,0.9999820091040477,normal,6.0,
house,5,cmo_expectation__blend20,-36.03695437225931,0.0651612881468096,basic,1e-06,0.999999,normal,6.0,
house,8,cmo_expectation__blend20,-19.397969064172862,0.4026471530607537,basic,0.0006124988679626117,0.9993875011320373,normal,6.0,
house,10,cmo_expectation__blend20,8.359666179388844,-0.7288841529642085,basic,0.9182320837886773,0.08176791621132273,normal,6.0,
house,15,cmo_expectation__blend20,-7.55331587471824,-0.4099590101557055,basic,0.10403575941215781,0.8959642405878422,normal,6.0,
house,16,cmo_expectation__blend20,-66.37566461434083,0.9247281014010736,basic,1e-06,0.999999,normal,6.0,
house,19,cmo_expectation__blend20,41.12266570962331,-0.2758038282275649,basic,0.999999,1.0000000000287557e-06,normal,6.0,
house,20,cmo_expectation__blend20,-16.831525061764765,-1.0414820058155283,basic,0.0025138457653242473,0.9974861542346758,normal,6.0,
house,21,cmo_expectation__blend20,-10.879276749401132,-0.4314489130087907,basic,0.03489950383859221,0.9651004961614078,normal,6.0,
house,25,cmo_expectation__blend20,2.613273628284694,-1.0793644468682828,basic,0.6684167779585317,0.3315832220414683,normal,6.0,
house,28,cmo_expectation__blend20,-17.508270991871846,0.5560416842032879,basic,0.001761166633664873,0.9982388333663351,normal,6.0,
house,32,cmo_expectation__blend20,10.975868994144031,0.350487932963307,basic,0.9663235214970117,0.03367647850298827,normal,6.0,
house,37,cmo_expectation__blend20,-36.67547204852686,0.3073428149981559,basic,1e-06,0.999999,normal,6.0,
house,38,cmo_expectation__blend20,-33.67010724333964,0.7971864448483142,basic,1e-06,0.999999,normal,6.0,
house,40,cmo_expectation__blend20,-53.360858532390274,0.473379248437476,basic,1e-06,0.999999,normal,6.0,
house,41,cmo_expectation__blend20,-37.62383022849344,0.239447900041673,basic,1e-06,0.999999,normal,6.0,
house,43,cmo_expectation__blend20,-35.5197517110871,-1.2310119128208017,basic,1e-06,0.999999,normal,6.0,
house,45,cmo_expectation__blend20,-35.16130437506881,-0.4001514400887707,basic,1e-06,0.999999,normal,6.0,
house,47,cmo_expectation__blend20,-7.568524953268264,-0.6203341455585858,basic,0.10357863451209504,0.896421365487905,normal,6.0,
house,50,cmo_expectation__blend20,-50.996272156600426,0.3530858565218956,basic,1e-06,0.999999,normal,6.0,
house,63,cmo_expectation__blend20,-9.53728367985493,-1.3552254876165444,basic,0.05596844433723237,0.9440315556627676,normal,6.0,
house,68,cmo_expectation__blend20,10.184112527617168,0.7372311072988325,basic,0.9551849424984935,0.044815057501506494,normal,6.0,
house,69,cmo_expectation__blend20,17.802148125920827,0.469287491012954,basic,0.998496515932435,0.001503484067564953,normal,6.0,
house,70,cmo_expectation__blend20,47.45915554559466,-0.5584854915033731,basic,0.999999,1.0000000000287557e-06,normal,6.0,
house,74,cmo_expectation__blend20,38.38978254204733,-0.1355627362779081,basic,0.999999,1.0000000000287557e-06,normal,6.0,
house,75,cmo_expectation__blend20,-19.54664483698326,-0.5876061196841257,basic,0.0005614487017921967,0.9994385512982078,normal,6.0,
house,80,cmo_expectation__blend20,-24.84489134710293,0.5752649270692122,basic,1.7303682986169214e-05,0.9999826963170139,normal,6.0,
house,82,cmo_expectation__blend20,39.8928592823381,-0.3525779648342166,basic,0.999999,1.0000000000287557e-06,normal,6.0,
house,85,cmo_expectation__blend20,-16.909371534487025,0.4507165667902719,basic,0.0024144708720020046,0.997585529127998,normal,6.0,
house,96,cmo_expectation__blend20,-36.93346358534288,-0.4976664207120621,basic,1e-06,0.999999,normal,6.0,
house,99,cmo_expectation__blend20,37.54051421467255,-0.0241661610927288,basic,0.999999,1.0000000000287557e-06,normal,6.0,
house,101,cmo_expectation__blend20,-20.775771163225823,-0.3731543698018513,basic,0.0002674631808922149,0.9997325368191078,normal,6.0,
senate,2,cmo_expectation__blend20,7.785205712362933,-0.8505392661588715,basic,0.9027762918582919,0.09722370814170811,normal,6.0,
senate,3,cmo_expectation__blend20,-31.547862751114376,-0.0794672047304018,basic,1e-06,0.999999,normal,6.0,
senate,6,cmo_expectation__blend20,-44.66350272929869,0.5292411834937297,basic,1e-06,0.999999,normal,6.0,
senate,7,cmo_expectation__blend20,-3.797023656217998,-0.6430835591505023,basic,0.26341995585028166,0.7365800441497183,normal,6.0,
senate,8,cmo_expectation__blend20,-45.50926141103145,0.3028475569190427,basic,1e-06,0.999999,normal,6.0,
senate,11,cmo_expectation__blend20,-41.19009151023272,0.4204555106568847,basic,1e-06,0.999999,normal,6.0,
senate,13,cmo_expectation__blend20,-39.267986085811714,0.5446626101697859,basic,1e-06,0.999999,normal,6.0,
senate,14,cmo_expectation__blend20,-35.493783960460775,-0.1518159912286663,basic,1e-06,0.999999,normal,6.0,
senate,16,cmo_expectation__blend20,-17.690759421925797,-1.145504899828479,basic,0.0015968078257689177,0.9984031921742311,normal,6.0,
senate,22,cmo_expectation__blend20,-50.77283741052798,0.619899507413135,basic,1e-06,0.999999,normal,6.0,
senate,23,cmo_expectation__blend20,15.16342773606899,0.6691565211571096,basic,0.9942518209869674,0.005748179013032595,normal,6.0,
senate,25,cmo_expectation__blend20,-20.25492748297249,-0.0393384226863787,basic,0.00036797858928698686,0.9996320214107131,normal,6.0,
senate,28,cmo_expectation__blend20,13.322825239444947,0.5528705952352738,basic,0.9868065896390246,0.013193410360975433,normal,6.0,
senate,29,cmo_expectation__blend20,-49.89816402891618,0.3718784461482685,basic,1e-06,0.999999,normal,6.0,
senate,32,cmo_expectation__blend20,-46.04477429167842,-0.391757419226149,basic,1e-06,0.999999,normal,6.0,
house,2,cmo_expectation__blend100,-55.95176122220588,1.819765306138315,fundamentals_plus,1e-06,0.999999,normal,6.0,
