model,year,races,mae,rmse,bias
baseline,2020,268,6.3076776187437815,8.16999643670477,0.643194986530876
baseline,2022,302,4.290765344443292,5.779423372536368,1.7380811746834823
baseline,2024,323,3.6554518611896825,4.889758806008325,0.5188751862224806
demographics,2020,268,6.5437393277960085,8.716544898871504,3.8040377576059052
demographics,2022,302,7.409791724094438,9.620997236865941,-4.661060104961203
demographics,2024,323,4.1387893509952525,5.386071285071984,-0.9553705734036662
demographics_incumbency,2020,268,6.199453153727258,8.19982706626566,2.90368164945359
demographics_incumbency,2022,302,6.567620586484741,8.638524628437903,-3.61534139885744
demographics_incumbency,2024,323,4.004809859318161,5.208718979211058,-0.6249837976683291
demographics_incumbency_prior_quality,2020,268,6.199453153727259,8.19982706626566,2.90368164945359
demographics_incumbency_prior_quality,2022,302,6.774076238933156,9.052744319314694,-0.29266550949823805
demographics_incumbency_prior_quality,2024,323,3.915149666430702,5.119974892576916,-0.854800324760325
