dimension,group,races,mae,rmse,brier,bias
state,AR,101,4.613298609493521,5.865350947492993,0.03573230830464651,3.0376088603612392
state,GA,337,5.88678921110968,7.655614422467985,0.04188502723440611,2.1163496707003127
state,TN,161,3.5782575512031083,4.824968249350738,0.01506382857601473,0.22567823792404332
state,TX,294,3.881255433887642,5.447663908099642,0.02196488547130667,-0.6512553535160331
chamber,lower,730,4.74488040827952,6.393080402425976,0.033071728726285825,0.9745606801970299
chamber,upper,163,4.314214656229603,5.997280359507746,0.015121521937902099,0.9413752131945761
margin_band,"(-10.0, 0.0]",61,5.995514876893315,8.210034501315159,0.19400122850473836,1.7376646291889057
margin_band,"(-101.001, -20.0]",454,3.9020076489148745,5.353253068930102,6.992658322600167e-06,0.18615433648918103
margin_band,"(-20.0, -10.0]",123,4.686433439052242,6.17125860787928,0.045187049630579346,0.23894634649090282
margin_band,"(0.0, 10.0]",57,7.596555118427015,9.567675664085659,0.14452938351595088,4.27407161384156
margin_band,"(10.0, 20.0]",69,5.368907421717606,7.37674156526763,0.014098230409326718,1.8439080085139008
margin_band,"(20.0, 101.0]",129,5.037614264025963,6.17561957522713,7.446334768901713e-06,2.1249589918847063
incumbency_group,D incumbent,201,6.407127700944415,8.266374526054303,0.06532875015108804,4.626101589589697
incumbency_group,R incumbent,472,4.118333164696434,5.66825074811459,0.01939178857257747,-0.31527295995856663
incumbency_group,open,220,4.251335297195139,5.5591930025673255,0.019650759361097402,0.3810721540339178
demographic_type,high_white_college,295,4.328368314733415,5.913999778307158,0.033308509631685065,1.2220478517265358
demographic_type,majority_nonwhite,311,5.351441273729992,7.263957146900298,0.04871422725674508,1.6813547674946216
demographic_type,other,287,4.2711247318226135,5.590927487298807,0.0056830488776023515,-0.06457140298121128
