historical_war_run_id,state_code,cycle,chamber,scored_races,finance_complete_races,lag_context_races,mean_absolute_war,finance_coverage_rate
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AL,2018,lower,49,49,49,5.581695834254966,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AL,2018,upper,15,15,15,7.50968382118265,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AL,2022,lower,25,25,25,6.263753090296647,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AL,2022,upper,8,8,8,3.0495248022839228,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2016,lower,25,24,0,12.446847816195813,0.96
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2016,upper,3,3,0,2.658813026932362,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2018,lower,40,40,0,9.452839928804641,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2018,upper,7,7,0,8.099767325352966,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2020,lower,38,36,0,5.949034351165762,0.9473684210526315
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2020,upper,8,8,0,6.167772033977795,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2022,lower,35,35,35,2.7634643390064224,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2022,upper,13,12,13,2.5130050068612304,0.9230769230769231
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2024,lower,49,49,49,3.6906554185657456,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,AR,2024,upper,5,5,5,3.8286377080948015,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2016,lower,56,56,0,6.735291521335891,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2016,upper,17,17,0,8.851270839082064,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2018,lower,77,76,0,3.1455209664106087,0.987012987012987
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2018,upper,17,14,0,3.3092342010270865,0.8235294117647058
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2020,lower,95,93,0,3.3334678837498055,0.9789473684210527
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2020,upper,18,15,0,2.4163687288430165,0.8333333333333334
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2022,lower,67,66,0,1.773694578433251,0.9850746268656716
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2022,upper,23,22,0,1.4518708974247543,0.9565217391304348
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2024,lower,86,82,0,2.3364399732023626,0.9534883720930233
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2024,upper,17,16,0,2.9263900714032594,0.9411764705882353
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2016,lower,31,31,0,5.671922717714789,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2016,upper,13,13,0,4.802457278888566,1.0
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2018,lower,68,66,68,3.723950917496859,0.9705882352941176
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2018,upper,23,23,23,4.360977583482942,1.0
