historical_war_run_id,war_outcome_id,state_code,cycle,chamber,district,election_date,district_plan_id,geography_vintage,dem_candidate_name,rep_candidate_name,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,baseline_dem_margin,baseline_source,baseline_office,incumbency_balance,raw_gap,lag_context_available,fitted_structural_nonlag_expected_gap,fitted_lag_component,fitted_structural_expected_gap,war,war_party,war_magnitude,war_definition,scoring_scope,backcast_extrapolation_years,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,race_finance_status,source_provider,source_family,source_file_id
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-BD8DA90B4FBA11E11797,AL,2018,lower,10,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,J.B. King,Mike Ball,8565,11240,19805,-13.506690229739965,-7.555670518380142,same_cycle_federal,same_cycle_federal,-1,-5.951019711359823,True,-3.322731033437295,-1.9636215174050984,-5.286352550842393,-0.6646671605174301,R,0.6646671605174301,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,10021.64,163879.56,observed_positive,observed_positive,1,-2.70535465499237,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-0E43B54DD6EC3A535EA7,AL,2018,lower,104,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Arlene Cunningham Easley,Margie Wilcox,4695,10152,14847,-36.7548999797939,-34.9431144592042,same_cycle_federal,same_cycle_federal,-1,-1.8117855205896944,True,3.672703196877439,-4.882068064738569,-1.2093648678611295,-0.6024206527285649,R,0.6024206527285649,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,6155.02,104401.05,observed_positive,observed_positive,1,-2.6899583898543913,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-E3A778403481AD2D7F37,AL,2018,lower,15,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Suzanna Coleman,Allen Farley,6951,14212,21163,-34.30988045173179,-36.91117931782956,same_cycle_federal,same_cycle_federal,-1,2.601298866097764,True,4.313946311067214,-2.058633981026237,2.2553123300409768,0.3459865360567873,D,0.3459865360567873,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,14119.55,86182.84,observed_positive,observed_positive,1,-1.7520189141548834,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-60189DA3A69756B017A3,AL,2018,lower,18,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Eddie Britton,Jamie Kiel,3886,9845,13731,-43.39815017114558,-51.46537947607299,same_cycle_federal,same_cycle_federal,0,8.067229304927409,True,14.703103563544238,-7.33349077327291,7.369612790271327,0.6976165146560813,D,0.6976165146560813,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,48045.0,195017.68,observed_positive,observed_positive,1,-1.3854666152277273,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-ACD1B6CFAC5B892FA85C,AL,2018,lower,2,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Lora Kay Morrow,Lynn Greer,4798,13056,17854,-46.25294051753109,-47.26604354865177,same_cycle_federal,same_cycle_federal,-1,1.0131030311206857,True,7.993822514391869,-7.24746842783407,0.7463540865577994,0.2667489445628862,D,0.2667489445628862,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,13748.97,176800.0,observed_positive,observed_positive,1,-2.4894860732407134,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-E5EEA5BF5CCE7852679B,AL,2018,lower,20,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Linda Meigs,Howard Sanderford,8527,14589,23116,-26.224260252638864,-27.539591444633203,same_cycle_federal,same_cycle_federal,-1,1.3153311919943391,True,1.4268476187414652,-4.689182598723001,-3.2623349799815355,4.577666171975874,D,4.577666171975874,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,57521.98,115100.0,observed_positive,observed_positive,1,-0.6850494785378326,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-34EE5783CB4445CF2EF9,AL,2018,lower,21,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Terry Jones,Rex Reynolds,8391,13311,21702,-22.670721592479957,-12.848880735416708,same_cycle_federal,same_cycle_federal,-1,-9.821840857063249,True,-2.251177359342859,-3.1297205999566358,-5.380897959299494,-4.440942897763755,R,4.440942897763755,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,0.0,156920.7,observed_zero,observed_positive,1,-5.062093008299461,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-0B11BB069581CB67A433,AL,2018,lower,27,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Bill Jones,Wes Kitchens,2456,13245,15701,-68.71536844786957,-67.88237226762624,same_cycle_federal,same_cycle_federal,0,-0.8329961802433274,True,21.92200425957573,-9.120859483109705,12.801144776466026,-13.634140956709354,R,13.634140956709354,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,3457.46,136009.0,observed_positive,observed_positive,1,-3.4254675200261007,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-4534A50A3F0C32B00D0C,AL,2018,lower,28,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Kyle Pierce,Gil F. Isbell,5731,7091,12822,-10.606769614724692,-16.36484474251386,same_cycle_federal,same_cycle_federal,0,5.758075127789168,True,3.60523408541291,-2.6245993480810745,0.9806347373318354,4.777440390457333,D,4.777440390457333,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,35642.04,86759.75,observed_positive,observed_positive,1,-0.8734067521727779,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
WAR-SOUTH-HIST-V1-B9D0D0F44CA6F0E211BA,WAROUT-63B16F2F0D91F0512B10,AL,2018,lower,29,2018-11-06,AL-2018-house-reported-unknown-vintage,provider-reported; plan vintage unverified,Jared Millican,Becky Nordgren,3032,11528,14560,-58.35164835164835,-66.54087220549401,same_cycle_federal,same_cycle_federal,-1,8.189223853845661,True,16.213253726069397,-8.871551451426228,7.341702274643168,0.8475215792024926,D,0.8475215792024926,raw_gap_minus_fitted_structural_expected_gap,published_same_cycle_residual,0,15458.67,124344.0,observed_positive,observed_positive,1,-2.030209567443257,complete,Alabama canonical candidate identity pipeline,alabama_canonical,
