measure,party,candidate_cycles,people,cycles
shor_absolute,D,209,179,"1998,2002,2006,2010,2014,2018"
environment_resources,D,20,20,"2002,2010,2014,2018"
institutional_reform,D,4,4,"2014,2018"
labor_capital,D,17,17,"2018,2022"
market_government_direction,D,9,9,"2006,2010"
material_support,D,70,69,"1998,2002,2006,2010,2014,2018,2022"
order_justice,D,14,14,"2006,2010"
social_liberty_equality,D,99,98,"1998,2002,2006,2010,2014,2018,2022"
primitive:gun_access,D,214,196,"1998,2002,2006,2010,2014,2018,2022"
primitive:gun_purchase_regulation,D,52,50,"2002,2006,2010,2014,2018,2022"
primitive:abortion_access,D,70,67,"1998,2002,2006,2010,2014,2018,2022"
primitive:marriage_equality,D,56,56,"1998,2002,2006,2010,2014,2018,2022"
primitive:civil_social_liberty,D,87,84,"1998,2002,2006,2010,2018,2022"
primitive:christian_sexual_morality,D,2,2,2018
primitive:racial_civil_rights,D,13,13,"2002,2006,2018"
primitive:anti_discrimination,D,74,74,"1994,1998,2002,2006,2010,2014,2018,2022"
primitive:religion_state,D,77,76,"1998,2002,2006,2014,2018,2022"
primitive:criminal_punishment,D,127,115,"1994,1998,2002,2006,2010,2014,2018"
primitive:drug_criminalization,D,17,17,"2006,2010,2014,2022"
primitive:due_process,D,0,0,
primitive:market_governance,D,133,126,"1998,2002,2006,2010,2014,2018,2022"
primitive:tax_burden,D,75,74,"1994,1998,2002,2006,2010,2014,2018,2022"
primitive:tax_distribution,D,14,14,"1994,2010,2014,2018,2022"
primitive:public_spending,D,32,32,"1998,2006,2014,2018"
primitive:deficit_discipline,D,24,24,"1998,2006"
primitive:welfare_generosity,D,52,52,"1994,1998,2002,2006,2010,2014,2022"
primitive:welfare_conditionality,D,63,63,"1998,2002,2006,2018"
primitive:labor_capital_alignment,D,82,82,"1998,2002,2006,2010,2014,2018,2022"
primitive:labor_rights,D,52,52,"2018,2022"
primitive:public_employee_compensation,D,103,97,"1998,2002,2006,2010,2014,2018"
primitive:education_public_funding,D,131,123,"1994,1998,2002,2006,2010,2014,2018,2022"
primitive:education_market_choice,D,71,70,"1998,2002,2006,2010,2014,2018,2022"
primitive:environmental_protection,D,63,63,"1998,2002,2006,2010,2014,2018,2022"
primitive:resource_development,D,17,17,"2006,2010,2014"
primitive:conservation_preservation,D,22,22,"2002,2010,2014,2018"
primitive:immigration_access,D,26,26,"2006,2010,2014,2018,2022"
primitive:immigration_enforcement,D,12,11,"2010,2014,2022"
primitive:healthcare_access,D,155,147,"1998,2002,2006,2010,2014,2018,2022"
primitive:government_ethics_transparency,D,50,43,"1994,2006,2010,2014,2018,2022"
primitive:voting_access,D,63,63,"1998,2002,2006,2010,2014,2018,2022"
shor_absolute,R,198,154,"1998,2002,2006,2010,2014,2018"
environment_resources,R,22,22,"2002,2010,2014"
institutional_reform,R,2,2,"2014,2018"
labor_capital,R,0,0,
market_government_direction,R,9,9,2010
material_support,R,92,91,"1998,2002,2006,2010,2014,2018"
order_justice,R,12,12,"2006,2010,2014"
social_liberty_equality,R,137,135,"1998,2002,2006,2010,2014,2018,2022"
primitive:gun_access,R,248,216,"1998,2002,2006,2010,2014,2018,2022"
primitive:gun_purchase_regulation,R,64,59,"2002,2006,2010,2014,2018,2022"
primitive:abortion_access,R,102,96,"1998,2002,2006,2010,2014,2018,2022"
primitive:marriage_equality,R,92,91,"1998,2002,2006,2010,2014,2018,2022"
primitive:civil_social_liberty,R,81,79,"1998,2002,2006,2010,2018,2022"
primitive:christian_sexual_morality,R,22,22,2018
primitive:racial_civil_rights,R,34,34,"2002,2006,2018"
primitive:anti_discrimination,R,90,89,"1998,2002,2006,2010,2014,2018,2022"
primitive:religion_state,R,93,93,"1998,2002,2006,2010,2014,2018"
primitive:criminal_punishment,R,152,140,"1998,2002,2006,2010,2014,2018,2022"
primitive:drug_criminalization,R,17,17,"2006,2010,2014,2018,2022"
primitive:due_process,R,9,8,"2014,2018"
primitive:market_governance,R,160,143,"1998,2002,2006,2010,2014,2018,2022"
primitive:tax_burden,R,72,69,"1998,2002,2006,2010,2014,2018,2022"
primitive:tax_distribution,R,1,1,2022
primitive:public_spending,R,59,58,"1998,2010,2014,2018,2022"
primitive:deficit_discipline,R,43,41,"1994,1998,2010,2014,2018,2022"
primitive:welfare_generosity,R,72,72,"1998,2002,2006,2010,2014,2018,2022"
primitive:welfare_conditionality,R,74,73,"1998,2002,2006,2010,2014,2018"
primitive:labor_capital_alignment,R,53,53,"1998,2002,2006,2010,2014,2018,2022"
primitive:labor_rights,R,6,6,"2014,2018"
primitive:public_employee_compensation,R,87,74,"1998,2002,2006,2010,2014,2018"
primitive:education_public_funding,R,132,122,"1994,1998,2002,2006,2010,2014,2018,2022"
primitive:education_market_choice,R,103,93,"1998,2002,2006,2010,2014,2018,2022"
primitive:environmental_protection,R,64,63,"1998,2002,2006,2010,2014,2018,2022"
primitive:resource_development,R,39,39,"2006,2010,2014,2018,2022"
primitive:conservation_preservation,R,21,21,"2002,2010,2014"
primitive:immigration_access,R,11,11,"2010,2014,2018"
primitive:immigration_enforcement,R,21,21,"2010,2014,2022"
primitive:healthcare_access,R,121,112,"1998,2002,2006,2010,2014,2018,2022"
primitive:government_ethics_transparency,R,65,51,"2002,2006,2010,2014,2018"
primitive:voting_access,R,77,76,"1998,2002,2010,2014,2018,2022"
