measure,party,outcome,people,status,coefficient,standard_error,p_value,r_squared
shor_absolute,D,federal_mean,60,estimated,14.042260900864232,7.69540160519244,0.0731887192293121,0.05429255865973338
shor_absolute,D,presidential_mean,60,estimated,,,,
shor_absolute,R,federal_mean,48,estimated,-6.829277533316793,10.740979318845696,0.5280476950479474,0.00871171990371569
shor_absolute,R,presidential_mean,48,estimated,-10.342893841452073,11.762337553215989,0.38379671822538486,0.01653102151328587
family:environment_resources,D,federal_mean,3,underpowered,,,,
family:environment_resources,D,presidential_mean,3,underpowered,,,,
family:environment_resources,R,federal_mean,2,underpowered,,,,
family:environment_resources,R,presidential_mean,2,underpowered,,,,
family:institutional_reform,D,federal_mean,0,underpowered,,,,
family:institutional_reform,D,presidential_mean,0,underpowered,,,,
family:institutional_reform,R,federal_mean,1,underpowered,,,,
family:institutional_reform,R,presidential_mean,1,underpowered,,,,
family:labor_capital,D,federal_mean,0,underpowered,,,,
family:labor_capital,D,presidential_mean,0,underpowered,,,,
family:labor_capital,R,federal_mean,0,underpowered,,,,
family:labor_capital,R,presidential_mean,0,underpowered,,,,
family:market_government_direction,D,federal_mean,3,underpowered,,,,
family:market_government_direction,D,presidential_mean,3,underpowered,,,,
family:market_government_direction,R,federal_mean,2,underpowered,,,,
family:market_government_direction,R,presidential_mean,2,underpowered,,,,
family:material_support,D,federal_mean,24,estimated,,,,
family:material_support,D,presidential_mean,24,estimated,2.9878606501465246,10.316461827148267,0.774818418369679,0.0037982517362510648
family:material_support,R,federal_mean,16,estimated,,,,
family:material_support,R,presidential_mean,16,estimated,-0.7727939832431511,8.888151840011634,0.9319453567568939,0.0005396871178254743
family:order_justice,D,federal_mean,3,underpowered,,,,
family:order_justice,D,presidential_mean,3,underpowered,,,,
family:order_justice,R,federal_mean,3,underpowered,,,,
family:order_justice,R,presidential_mean,3,underpowered,,,,
family:social_liberty_equality,D,federal_mean,28,estimated,,,,
family:social_liberty_equality,D,presidential_mean,28,estimated,5.29476281690184,11.391369092557866,0.6459404327733177,0.008240888241309818
family:social_liberty_equality,R,federal_mean,35,estimated,,,,
family:social_liberty_equality,R,presidential_mean,35,estimated,-11.859509962074327,7.020267362635522,0.10058546048050582,0.0795959153343272
primitive:gun_access,D,federal_mean,46,estimated,,,,
primitive:gun_access,D,presidential_mean,46,estimated,,,,
primitive:gun_access,R,federal_mean,46,estimated,8.039367236850156,6.6887704754654855,0.23582360041172828,0.031788405968751286
primitive:gun_access,R,presidential_mean,46,estimated,,,,
primitive:gun_purchase_regulation,D,federal_mean,13,estimated,,,,
primitive:gun_purchase_regulation,D,presidential_mean,13,estimated,1.091017618392909,9.793558444531262,0.9133046698007911,0.0011269382112341132
primitive:gun_purchase_regulation,R,federal_mean,24,estimated,,,,
primitive:gun_purchase_regulation,R,presidential_mean,24,estimated,4.818467255870469,4.865804606347116,0.33280871794886324,0.042672336364136976
primitive:abortion_access,D,federal_mean,16,estimated,,,,
primitive:abortion_access,D,presidential_mean,16,estimated,6.446377010592206,8.830500312145405,0.4774207692854171,0.03666974961283786
primitive:abortion_access,R,federal_mean,23,underpowered,,,,
primitive:abortion_access,R,presidential_mean,23,underpowered,,,,
primitive:marriage_equality,D,federal_mean,20,underpowered,,,,
primitive:marriage_equality,D,presidential_mean,20,underpowered,,,,
primitive:marriage_equality,R,federal_mean,15,underpowered,,,,
primitive:marriage_equality,R,presidential_mean,15,underpowered,,,,
primitive:civil_social_liberty,D,federal_mean,26,estimated,,,,
