sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value
all,candidate_cmo,total_context,407,328,absolute_conservatism_z,estimated,-4.490509378910631,6.1269314211493935,-16.499294964363443,7.51827620654218,0.46413637482370884
all,candidate_cmo,total_context,407,328,democratic_x_absolute,estimated,19.850564443082025,6.8392223925145945,6.4456885537534205,33.25544033241063,0.0039538201009994434
all,candidate_cmo,common_incumbency,407,328,absolute_conservatism_z,estimated,-3.210119973879202,6.076532102947299,-15.120122895655907,8.699882947897503,0.5976622447896816
all,candidate_cmo,common_incumbency,407,328,democratic_x_absolute,estimated,18.58512000580508,6.770187160368119,5.315553171483568,31.854686840126593,0.0063828249351066905
all,candidate_cmo,common_incumbency,407,328,incumbent_i,estimated,5.694837514916164,2.244412591151331,1.2957888362595549,10.093886193572772,0.0116339954044568
all,candidate_cmo,party_specific_incumbency,407,328,absolute_conservatism_z,estimated,-3.2815816634373154,6.124041569553125,-15.284703139761438,8.721539812886808,0.5924249265425623
all,candidate_cmo,party_specific_incumbency,407,328,democratic_x_absolute,estimated,18.537567792157017,6.811895592021243,5.1862524317953795,31.888883152518652,0.006849663481714508
all,candidate_cmo,party_specific_incumbency,407,328,incumbent_i,estimated,6.744460136065438,2.852844439002305,1.1528850356209208,12.336035236509955,0.018657126549062326
all,candidate_cmo,party_specific_incumbency,407,328,democratic_x_incumbency,estimated,-2.3270124368603606,3.8285827784644098,-9.831034682650603,5.177009808929883,0.5437420333354712
all,candidate_cmo,mediator_adjusted_incumbency_finance,327,264,absolute_conservatism_z,estimated,-1.3378210390266574,6.04007766195389,-13.176373256456282,10.500731178402967,0.8248822504418887
all,candidate_cmo,mediator_adjusted_incumbency_finance,327,264,democratic_x_absolute,estimated,15.978340466691048,6.932015929490832,2.3915892448890173,29.565091688493077,0.02194518620479016
all,candidate_cmo,mediator_adjusted_incumbency_finance,327,264,incumbent_i,estimated,2.8565169096908782,2.7636820179216675,-2.5602998454355896,8.273333664817347,0.3022768808979372
all,candidate_cmo,mediator_adjusted_incumbency_finance,327,264,democratic_x_incumbency,estimated,0.37406571938595634,3.9198987226119772,-7.308935776933519,8.057067215705432,0.9240480270225926
all,candidate_cmo,party_directed_convergence,407,328,party_directed_convergence,estimated,4.490509378910732,6.126931421149508,-7.5182762065423026,16.499294964363767,0.46413637482370707
all,candidate_cmo,party_directed_convergence,407,328,democratic_x_convergence,estimated,10.869545685260656,6.651605614777936,-2.167601319704099,23.906692690225412,0.10319523374870354
D,candidate_cmo,party_total_context,209,179,absolute_conservatism_z,estimated,14.593487060840882,2.8598259662987946,8.988228166895244,20.19874595478652,8.525592061364608e-07
D,candidate_cmo,party_mediator_adjusted,158,137,absolute_conservatism_z,estimated,13.652407940393308,3.221587626319399,7.338096192807287,19.966719687979328,4.1382826314774266e-05
D,candidate_cmo,party_winners_only,175,160,absolute_conservatism_z,estimated,13.378113997695703,2.9464102043412512,7.603149997186851,19.153077998204555,1.102809093277891e-05
D,candidate_cmo,party_prior_service_only,177,152,absolute_conservatism_z,estimated,15.806977998395633,2.9577275220165835,10.00983205524313,21.604123941548135,3.2862621915145917e-07
D,winsorized_outcome,party_winsorized:candidate_cmo,209,179,absolute_conservatism_z,estimated,14.039124969334127,2.7862630245637203,8.578049441189236,19.500200497479018,1.1449227706893076e-06
D:omit_1998,candidate_cmo,party_leave_cycle_out,151,122,absolute_conservatism_z,estimated,16.78374022197347,3.403127575436787,10.113610174117369,23.453870269829572,2.624006428900493e-06
D:omit_2002,candidate_cmo,party_leave_cycle_out,159,129,absolute_conservatism_z,estimated,13.975536145100918,3.2748447183352796,7.55684049716377,20.394231793038067,3.813995063051407e-05
D:omit_2006,candidate_cmo,party_leave_cycle_out,174,159,absolute_conservatism_z,estimated,11.65112388019001,3.179260568975118,5.419773164998779,17.88247459538124,0.000337587534897889
D:omit_2010,candidate_cmo,party_leave_cycle_out,172,166,absolute_conservatism_z,estimated,15.743158255092988,3.176101129271907,9.51800004172005,21.968316468465925,1.7650954887374912e-06
D:omit_2014,candidate_cmo,party_leave_cycle_out,185,168,absolute_conservatism_z,estimated,14.66022812274269,2.8948945928430727,8.986234720770268,20.33422152471511,1.0760446464229798e-06
D:omit_2018,candidate_cmo,party_leave_cycle_out,204,177,absolute_conservatism_z,estimated,14.722054445612251,2.8783838247733153,9.080422149056552,20.36368674216795,8.154596697806815e-07
D:2008_2014,candidate_cmo,party_era_context,61,50,absolute_conservatism_z,estimated,7.290205537063913,5.259794227054611,-3.018991147963125,17.59940222209095,0.17201486077175648
D:post_2016,candidate_cmo,party_era_context,5,5,absolute_conservatism_z,underpowered,,,,,
D:pre_2008,candidate_cmo,party_era_context,143,142,absolute_conservatism_z,estimated,16.42777903739817,4.445444870428683,7.714707091357953,25.14085098343839,0.0003133524441060808
R,candidate_cmo,party_total_context,198,154,absolute_conservatism_z,estimated,-7.315546556479529,5.959256551543375,-18.99568939750454,4.364596284545486,0.2214848370552284
R,candidate_cmo,party_mediator_adjusted,169,131,absolute_conservatism_z,estimated,-0.2973493620909889,5.467385462509159,-11.01342486860894,10.418726144426962,0.9567111042740275
R,candidate_cmo,party_winners_only,185,145,absolute_conservatism_z,estimated,-8.830997782536297,5.843887189138827,-20.2850166732484,2.623021108175804,0.13294126680498117
R,candidate_cmo,party_prior_service_only,136,110,absolute_conservatism_z,estimated,-4.993861186422154,7.2061895658994395,-19.117992735585055,9.130270362740745,0.4897859470063002
R,winsorized_outcome,party_winsorized:candidate_cmo,198,154,absolute_conservatism_z,estimated,-5.774847075485917,5.635401396745114,-16.82023381310634,5.270539662134507,0.30710116881747607
R:omit_1998,candidate_cmo,party_leave_cycle_out,166,123,absolute_conservatism_z,estimated,-15.040130506543184,7.041225412999379,-28.840932316021966,-1.2393286970644013,0.034676562709752196
R:omit_2002,candidate_cmo,party_leave_cycle_out,173,129,absolute_conservatism_z,estimated,-2.247915216295719,6.025491087057032,-14.057877746927502,9.562047314336063,0.709715257514995
R:omit_2006,candidate_cmo,party_leave_cycle_out,175,143,absolute_conservatism_z,estimated,-7.837665070327934,6.15615610562195,-19.903731037346954,4.228400896691087,0.20504774193363798
R:omit_2010,candidate_cmo,party_leave_cycle_out,156,133,absolute_conservatism_z,estimated,-10.937867783667855,6.5014991663082755,-23.680806149632076,1.8050705822963646,0.09486297285362343
R:omit_2014,candidate_cmo,party_leave_cycle_out,157,137,absolute_conservatism_z,estimated,-2.0128457563526774,6.3358124802832645,-14.431038217707876,10.405346705002522,0.751204779924964
R:omit_2018,candidate_cmo,party_leave_cycle_out,163,137,absolute_conservatism_z,estimated,-7.0459133413399995,6.731549646114151,-20.239750647723735,6.147923965043735,0.29709464501483435
R:2008_2014,candidate_cmo,party_era_context,83,67,absolute_conservatism_z,estimated,-5.583028876998672,10.650200959397566,-26.4574227574179,15.291365003420555,0.6018829636294719
R:post_2016,candidate_cmo,party_era_context,35,35,absolute_conservatism_z,estimated,-6.918303688416282,10.135015744207255,-26.782934547062503,12.946327170229937,0.49947561382082695
R:pre_2008,candidate_cmo,party_era_context,80,79,absolute_conservatism_z,estimated,1.7429735745797075,9.230491762581906,-16.348790280080827,19.834737429240242,0.8507182269934752
all,candidate_statewide_overperformance,total_context,407,328,absolute_conservatism_z,estimated,-5.261873181848726,5.771224774020016,-16.57347373892796,6.049727375230505,0.3625757207727378
all,candidate_statewide_overperformance,total_context,407,328,democratic_x_absolute,estimated,20.775561794414376,6.506918343243292,8.022001841657524,33.52912174717123,0.0015457517529014145
all,candidate_statewide_overperformance,common_incumbency,407,328,absolute_conservatism_z,estimated,-3.8817707831040145,5.687181410049266,-15.028646346800576,7.265104780592546,0.4953761190700313
