sample,specification,n,spearman_cmo_vs_np_score,cluster_bootstrap_95_low,cluster_bootstrap_95_high,interpretation
all_matched_through_2018,oof_total,52,-0.031042508507916608,-0.3204524686633959,0.25149735279458124,positive_means_more_conservative_associated_with_more_overperformance
all_matched_through_2018,district_grouped_total,52,-0.06733705077989614,-0.3557073719664952,0.20460142020272765,positive_means_more_conservative_associated_with_more_overperformance
all_matched_through_2018,oof_resource_adjusted,52,-0.03309208265974604,-0.32234236049326526,0.2500482934489459,positive_means_more_conservative_associated_with_more_overperformance
all_matched_through_2018,raw_top_ticket,52,-0.15209548185034244,-0.3973150962291756,0.10949067529674722,positive_means_more_conservative_associated_with_more_overperformance
exclude_2014,oof_total,32,-0.3516685238280208,-0.6268697528179251,-0.025553012746212737,positive_means_more_conservative_associated_with_more_overperformance
exclude_2014,district_grouped_total,32,-0.3755042423356551,-0.6476236705239806,-0.04588535750433643,positive_means_more_conservative_associated_with_more_overperformance
exclude_2014,oof_resource_adjusted,32,-0.3399340162550315,-0.6236150666171058,0.002372339215698332,positive_means_more_conservative_associated_with_more_overperformance
exclude_2014,raw_top_ticket,32,-0.2948295027713542,-0.5589376481090083,0.01135043393819872,positive_means_more_conservative_associated_with_more_overperformance
pre_election_service,oof_total,45,0.053113676688696564,-0.23773243146538872,0.33435232574764656,positive_means_more_conservative_associated_with_more_overperformance
pre_election_service,district_grouped_total,45,0.0043492588851786265,-0.2861647803539396,0.29064458378332675,positive_means_more_conservative_associated_with_more_overperformance
pre_election_service,oof_resource_adjusted,45,0.04224052947575,-0.25872560127093375,0.31923404508223,positive_means_more_conservative_associated_with_more_overperformance
pre_election_service,raw_top_ticket,45,-0.14952224864348948,-0.41604657719430227,0.1418156373581978,positive_means_more_conservative_associated_with_more_overperformance
pre_election_exclude_2014,oof_total,27,-0.34071134574943207,-0.6442575047846333,0.021051233521671462,positive_means_more_conservative_associated_with_more_overperformance
pre_election_exclude_2014,district_grouped_total,27,-0.3742940052767058,-0.6608362873981419,-0.02428568864320323,positive_means_more_conservative_associated_with_more_overperformance
pre_election_exclude_2014,oof_resource_adjusted,27,-0.3318577355104235,-0.6413142589523656,0.03803983208417535,positive_means_more_conservative_associated_with_more_overperformance
pre_election_exclude_2014,raw_top_ticket,27,-0.42711036980596373,-0.6649434726081385,-0.08232438035734778,positive_means_more_conservative_associated_with_more_overperformance
cycle_2010,oof_total,28,-0.4789272030651341,-0.6807863736566547,-0.16464078843485197,positive_means_more_conservative_associated_with_more_overperformance
cycle_2014,oof_total,21,0.5454545454545454,0.16881278081631393,0.8284273527775385,positive_means_more_conservative_associated_with_more_overperformance
cycle_2018,oof_total,3,-0.5,,,positive_means_more_conservative_associated_with_more_overperformance
cycle_2022,oof_total,1,,,,positive_means_more_conservative_associated_with_more_overperformance
