focal_candidate,comparison_candidate,cycle,chamber,cmo_difference,resource_adjusted_cmo_difference,fundraising_adjusted_cmo_difference,np_score_difference_focal_minus_comparison,both_ideology_scores_available,pair_interpretation,focal_person_id,comparison_person_id,focal_cmo_geography_low,focal_cmo_geography_high,comparison_cmo_geography_low,comparison_cmo_geography_high,geography_gap_low,geography_gap_high,geography_direction_robust,geography_gap_exceeds_5pt,cmo_gap_reduction_after_resource_adjustment,share_of_cmo_gap_reduced_by_resource_adjustment
Anthony Daniels,Barbara A. Drummond,2014,house,25.765704320270327,25.855904346138203,35.12898982035506,0.25,True,higher_cmo_candidate_more_conservative,ALPERSON-ANTHONY-DANIELS,ALPERSON-BARBARA-A-DRUMMOND,48.3745951290106,55.655956689780965,12.90375976784535,29.890252369510623,18.484342759499977,42.752196921935614,True,True,-0.09020002586787612,-0.003500778583293537
Richard Lindsey,John Robinson,2014,house,36.29699360101149,31.388262006434083,37.5110854662228,0.039,True,large_cmo_difference_without_large_ideology_difference,ALPERSON-RICHARD-LINDSEY,ALPERSON-JOHN-ROBINSON,40.75629937480645,41.11060943033105,3.85355252538076,4.459305773794945,36.29699360101151,37.25705690495029,True,True,4.908731594577411,0.13523796622210107
BARBARA BIGSBY BOYD,ALAN HARPER,2010,house,16.108510934599863,16.17515694192921,16.530605616679413,-0.399,True,higher_cmo_candidate_more_progressive,ALPERSON-BARBARA-BIGSBY-BOYD,ALPERSON-ALAN-HARPER,40.08682645571773,40.16708706446988,24.038490470788297,24.058576129870023,16.028250325847704,16.128596593681586,True,True,-0.06664600732934645,-0.004137316453390851
Jeff McLaughlin,Beddingfield,2014,house,14.471849266750922,13.48483751728423,14.132848623300184,,False,ideology_unobserved_for_one_or_both,ALPERSON-JEFF-MCLAUGHLIN,ALPERSON-BEDDINGFIELD,35.29411564316436,37.692109000464725,23.212927609996157,23.2202597337138,12.073855909450561,14.479181390468568,True,True,0.9870117494666921,0.06820218558621612
John (Jody) Letson,Dennis W. Stephens,2014,house,42.59797256113687,41.68037300137623,33.78704854879948,,False,ideology_unobserved_for_one_or_both,ALPERSON-JOHN-JODY-LETSON,ALPERSON-DENNIS-W-STEPHENS,35.66629567989031,37.152067339362816,-5.4459052217740425,1.1006371619006217,34.56565851798969,42.59797256113686,True,True,0.9175995597606388,0.021540920954481912
Johnny Mack Morrow,Jim Williams,2018,senate,23.18603638388392,19.562602524930064,23.110300140773724,,False,ideology_unobserved_for_one_or_both,ALPERSON-JOHNNY-MACK-MORROW,ALPERSON-JIM-WILLIAMS,30.2020616523975,31.14717422709608,7.497309542647798,7.961137843212152,22.240923809185347,23.649864684448282,True,True,3.623433858953856,0.1562765536533196
Barbara A. Drummond,Louise Alexander,2014,house,22.50077859937716,18.9213794211361,14.94536189899511,-0.131,True,higher_cmo_candidate_more_progressive,ALPERSON-BARBARA-A-DRUMMOND,ALPERSON-LOUISE-ALEXANDER,12.90375976784535,29.890252369510623,7.389473770133492,12.06881201533331,0.8349477525120417,22.50077859937713,True,False,3.5793991782410615,0.1590789030891643
Henry A. White,Jennifer Marsden,2014,house,52.92773689744699,53.87219347626976,47.62493007397124,,False,ideology_unobserved_for_one_or_both,ALPERSON-HENRY-A-WHITE,ALPERSON-JENNIFER-MARSDEN,29.72930655265891,32.08219571398673,-23.19843034478808,-21.667706727512755,51.39701328017166,55.28062605877481,True,True,-0.9444565788227663,-0.017844265298037388
Larry Means,Darrell Turner,2014,senate,24.69194016051792,13.193320910027202,19.52358439169166,,False,ideology_unobserved_for_one_or_both,ALPERSON-LARRY-MEANS,ALPERSON-DARRELL-TURNER,28.7920874252652,29.13324637426905,4.328468595102484,4.4413062137511226,24.35078121151408,24.804777779166564,True,True,11.498619250490718,0.4656831004668015
TAMMY L. IRONS,GREG VARNER,2010,senate,12.50281547066042,12.53173049274692,18.25351470815492,,False,ideology_unobserved_for_one_or_both,ALPERSON-TAMMY-L-IRONS,ALPERSON-GREG-VARNER,27.69776321349557,27.965821367450697,15.399113085372887,15.463005896790282,12.234757316705288,12.56670828207781,True,True,-0.02891502208649932,-0.00231268086411036
MARC KEAHEY,GREG VARNER,2010,senate,12.49293843403896,12.67541871309437,18.06588058530308,,False,ideology_unobserved_for_one_or_both,ALPERSON-MARC-KEAHEY,ALPERSON-GREG-VARNER,27.955944330829237,28.02066662077308,15.399113085372887,15.463005896790282,12.492938434038955,12.621553535400194,True,True,-0.18248027905540987,-0.014606674003788723
Johnny MacK Morrow,Michael J. Gladden,2014,house,35.90024982748175,34.89239142363023,21.11261759671467,,False,ideology_unobserved_for_one_or_both,ALPERSON-JOHNNY-MACK-MORROW,ALPERSON-MICHAEL-J-GLADDEN,27.68915461454626,28.188691382190648,-8.211095212935504,-0.2837296598418284,27.97288427438809,36.39978659512615,True,True,1.0078584038515217,0.028073854881087847
