ontology_version,evidence_id,canonical_candidate_id,person_id,candidate_name,election_cycle,evidence_date,temporal_status,source_type,source_provider,source_record_id,source_url,item_id,policy_family,policy_key,primitive_axis,policy_pole,candidate_stance,position_value,response_mode,family,family_direction,family_contribution,constituency_tags_json,confidence,adjudication_authority,evidence_weight,source_text,raw_answer,source_canonical_candidate_id,temporal_model_eligible
3.0.0,98E4AC7C8EC5C05B00F1,AL-2002-senate-6-D-BEDFORD-ROGER,ALPERSON-BEDFORD-ROGER,"Bedford, Roger",2002.0,2023-10-12,career_record,retrospective_office_profile,Alabama Reflector via News From The States,https://www.newsfromthestates.com/article/longtime-alabama-sen-roger-bedford-dies,https://www.newsfromthestates.com/article/longtime-alabama-sen-roger-bedford-dies,AF619B772F628F2EE1DD,targeted_candidate_research,criminal_punishment,criminal_punishment,punitive,support,1.0,sponsorship,order_justice,1.0,1.0,[],medium,manual_targeted_research_adjudication,0.75,The retrospective described Bedford as supporting the death penalty and drug-free-zone penalties during his legislative career.,The retrospective described Bedford as supporting the death penalty and drug-free-zone penalties during his legislative career.,AL-2002-senate-6-D-BEDFORD-ROGER,False
3.0.0,D6B17B41830DB308042D,AL-2002-senate-6-D-BEDFORD-ROGER,ALPERSON-BEDFORD-ROGER,"Bedford, Roger",2002.0,2023-10-12,career_record,retrospective_office_profile,Alabama Reflector via News From The States,https://www.newsfromthestates.com/article/longtime-alabama-sen-roger-bedford-dies,https://www.newsfromthestates.com/article/longtime-alabama-sen-roger-bedford-dies,811D97F1F86D86A76568,targeted_candidate_research,drug_treatment,drug_treatment,expand,support,1.0,sponsorship,,,,[],medium,manual_targeted_research_adjudication,0.75,The retrospective described Bedford as supporting mandatory drug treatment for people convicted of drug offenses.,The retrospective described Bedford as supporting mandatory drug treatment for people convicted of drug offenses.,AL-2002-senate-6-D-BEDFORD-ROGER,False
3.0.0,C6E553F29D0CC178762C,AL-2010-house-4-R-MICKY-HAMMON,ALPERSON-MICKY-HAMMON,MICKY HAMMON,2010.0,2011-04-05,preexisting_position_reported_post_election,retrospective_candidate_position,Alabama Public Radio,https://www.apr.org/2011-04-05/ala-house-debates-tough-arizona-style-immigration-bill,https://www.apr.org/2011-04-05/ala-house-debates-tough-arizona-style-immigration-bill,F7FA6A7BA8DB3D10D884,targeted_candidate_research,immigration_enforcement,immigration_enforcement,strengthen,support,1.0,sponsorship,,,,[],high,manual_targeted_research_adjudication,0.75,APR reported that Hammon had pushed his comprehensive Arizona-style immigration bill for seven years before its 2011 consideration.,APR reported that Hammon had pushed his comprehensive Arizona-style immigration bill for seven years before its 2011 consideration.,AL-2010-house-4-R-MICKY-HAMMON,False
3.0.0,CD65F873E04499DEBBB5,AL-2010-senate-30-R-BRYAN-TAYLOR,ALPERSON-BRYAN-TAYLOR,BRYAN TAYLOR,2010.0,2010-12-01,post_election,bill_sponsorship,Alabama Policy Institute,https://alabamapolicy.org/member/taylor/,https://alabamapolicy.org/member/taylor/,BB52EB024820E0FC64C3,targeted_candidate_research,government_ethics_transparency,government_ethics_transparency,strengthen,support,1.0,sponsorship,institutional_reform,1.0,1.0,[],high,manual_targeted_research_adjudication,1.2,Taylor sponsored and helped steer through the December 2010 special session a package strengthening Alabama governmental ethics laws.,Taylor sponsored and helped steer through the December 2010 special session a package strengthening Alabama governmental ethics laws.,AL-2010-senate-30-R-BRYAN-TAYLOR,False
3.0.0,12EA52E8024D042D0789,AL-2022-house-62-R-GSL062RLAM,ALPERSON-GSL062RLAM,GSL062RLAM,2022.0,2022-12-28,post_election,candidate_interview,Alabama Political Reporter,https://www.alreporter.com/2022/12/28/bill-lamb-brings-background-in-accounting-civil-service-to-montgomery/,https://www.alreporter.com/2022/12/28/bill-lamb-brings-background-in-accounting-civil-service-to-montgomery/,6377FC657A442D15D977,targeted_candidate_research,education_access,education_access,expand,support,1.0,sponsorship,,,,[],high,manual_targeted_research_adjudication,0.75,Lamb said Alabama should emphasize workforce development so young people gain the skills needed to compete for industrial jobs.,Lamb said Alabama should emphasize workforce development so young people gain the skills needed to compete for industrial jobs.,AL-2022-house-62-R-GSL062RLAM,False
3.0.0,312AD6826ED722A569C5,AL-2022-house-62-R-GSL062RLAM,ALPERSON-GSL062RLAM,GSL062RLAM,2022.0,2022-12-28,post_election,candidate_interview,Alabama Political Reporter,https://www.alreporter.com/2022/12/28/bill-lamb-brings-background-in-accounting-civil-service-to-montgomery/,https://www.alreporter.com/2022/12/28/bill-lamb-brings-background-in-accounting-civil-service-to-montgomery/,2B1FDFB45D101714CF81,targeted_candidate_research,education_curriculum_traditionalism,education_curriculum_traditionalism,traditional,support,1.0,sponsorship,,,,[],medium,manual_targeted_research_adjudication,0.75,Lamb said schools should get back to basics by emphasizing science math history and English to prepare young people for the workforce.,Lamb said schools should get back to basics by emphasizing science math history and English to prepare young people for the workforce.,AL-2022-house-62-R-GSL062RLAM,False
3.0.0,0EEC79A8CA55AE3A9E12,AL-2014-house-81-R-MARK-M-TUGGLE,ALPERSON-MARK-M-TUGGLE,Mark M. Tuggle,2014.0,2015-08-27,post_election,public_statement,The Clanton Advertiser / Alexander City Outlook,https://www.clantonadvertiser.com/2015/08/27/tuggle-says-he-wont-run-for-another-term-in-the-state-house/,https://www.clantonadvertiser.com/2015/08/27/tuggle-says-he-wont-run-for-another-term-in-the-state-house/,4800D648C32F4C444372,targeted_candidate_research,term_limits,term_limits,support,support,1.0,explicit_statement,,,,[],high,manual_targeted_research_adjudication,0.9,Tuggle said he would not seek another House term because he believed in term limits and that two terms was enough for him.,Tuggle said he would not seek another House term because he believed in term limits and that two terms was enough for him.,AL-2014-house-81-R-MARK-M-TUGGLE,False
3.0.0,9FEBC6FFDB3DD6FD93CB,AL-2018-house-18-D-EDDIE-BRITTON,ALPERSON-EDDIE-BRITTON,Eddie Britton,2018.0,2018-11-07,post_election,campaign_advertisement,Eddie Britton campaign in Franklin Free Press,https://939c9b01811224bb3dcf-d6f090436a6f3838a347f2f22505b78d.ssl.cf5.rackcdn.com/uploads/editions/11042/original_b249eeb9d0af51f23396c328a48da81eb3345d6f.pdf,https://939c9b01811224bb3dcf-d6f090436a6f3838a347f2f22505b78d.ssl.cf5.rackcdn.com/uploads/editions/11042/original_b249eeb9d0af51f23396c328a48da81eb3345d6f.pdf,6E93D8CE1D4FE277462D,targeted_candidate_research,abortion_access,abortion_access,restrict,support,1.0,sponsorship,social_liberty_equality,-1.0,-1.0,[],high,manual_targeted_research_adjudication,0.75,Candidate-paid advertising described Britton as pro-life.,Candidate-paid advertising described Britton as pro-life.,AL-2018-house-18-D-EDDIE-BRITTON,False
3.0.0,392CBD3601C0F2CBAA93,AL-2018-house-18-D-EDDIE-BRITTON,ALPERSON-EDDIE-BRITTON,Eddie Britton,2018.0,2018-11-07,post_election,campaign_advertisement,Eddie Britton campaign in Franklin Free Press,https://939c9b01811224bb3dcf-d6f090436a6f3838a347f2f22505b78d.ssl.cf5.rackcdn.com/uploads/editions/11042/original_b249eeb9d0af51f23396c328a48da81eb3345d6f.pdf,https://939c9b01811224bb3dcf-d6f090436a6f3838a347f2f22505b78d.ssl.cf5.rackcdn.com/uploads/editions/11042/original_b249eeb9d0af51f23396c328a48da81eb3345d6f.pdf,57A7DEC6694C5D35B733,targeted_candidate_research,gun_access,gun_access,expand,support,1.0,sponsorship,,,,[],high,manual_targeted_research_adjudication,0.75,Candidate-paid advertising described Britton as pro Second Amendment.,Candidate-paid advertising described Britton as pro Second Amendment.,AL-2018-house-18-D-EDDIE-BRITTON,False
3.0.0,4CDFF125ADA2202B7FCA,AL-2010-senate-4-R-PAUL-BUSSMAN,ALPERSON-PAUL-BUSSMAN,PAUL BUSSMAN,2010.0,2011-03-04,post_election,bill_sponsorship,Alabama Retail Association,https://alabamaretail.org/wp-content/uploads/20110304CRR.pdf,https://alabamaretail.org/wp-content/uploads/20110304CRR.pdf,39CC45CEC0408F3EE4B8,targeted_candidate_research,business_subsidy,business_subsidy,expand,support,1.0,sponsorship,,,,[],medium,manual_targeted_research_adjudication,1.2,SB 152 by Sen. Paul Bussman would give businesses that employ fewer than 100 people property tax exemptions to expand or locate in Alabama.,SB 152 by Sen. Paul Bussman would give businesses that employ fewer than 100 people property tax exemptions to expand or locate in Alabama.,AL-2010-senate-4-R-PAUL-BUSSMAN,False
