canonical_candidate_id,person_id,canonical_name,cycle,chamber,district,canonical_party,candidate_margin_overperformance,absolute_cmo,has_issue_evidence,manual_broad_search_logged,any_manual_search_logged,accepted_votesmart_identity,manual_identity_alias,legislative_source_checked_and_present,votesmart_questionnaire_checked_and_present,votesmart_rating_checked_and_present,votesmart_endorsement_checked_and_present,latest_manual_result,identity_status,final_research_status,exhaustion_basis,neutrality_imputed,prior_status,new_evidence_source_types,restated_at_utc
AL-1994-house-74-D-MCKEE,ALPERSON-MCKEE,Mckee,1994,house,74,D,157.1286289748631,157.1286289748631,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-16-D-WAGGONER,ALPERSON-WAGGONER,Waggoner,1994,senate,16,D,156.4787275899273,156.4787275899273,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-44-D-PAYNE,ALPERSON-PAYNE,Payne,1994,house,44,D,154.57060605385402,154.57060605385402,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-47-D-GAINES,ALPERSON-GAINES,Gaines,1994,house,47,D,152.2653571793638,152.2653571793638,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-15-D-AMARI,ALPERSON-AMARI,Amari,1994,senate,15,D,144.9433358285629,144.9433358285629,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-101-D-PRINGLE,ALPERSON-PRINGLE,Pringle,1994,house,101,D,142.0999761857766,142.0999761857766,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-94-D-PENRY,ALPERSON-PENRY,Penry,1994,house,94,D,141.9568419007108,141.9568419007108,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-100-D-GASTON,ALPERSON-GASTON,Gaston,1994,house,100,D,141.35642246866323,141.35642246866323,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-45-D-MORTON,ALPERSON-MORTON,Morton,1994,house,45,D,140.68517417572735,140.68517417572735,False,False,False,True,False,False,True,False,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-17-D-BIDDLE,ALPERSON-BIDDLE,Biddle,1994,senate,17,D,139.41311698683597,139.41311698683597,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
