person_id,candidate,election_cycle,chamber,district,best_cmo,abortion,anti_esg_governance,assisted_dying,business_economic_development,criminal_justice,environment,ethics_government,gambling,guns,health_social_services,healthcare_conscience,healthcare_medicaid,immigration,infrastructure_energy,labor_unions,lgbtq_cultural,minimum_wage_worker_pay,occupational_licensing,public_education,public_employee_benefits,public_private_partnerships,racial_civil_rights,rural_hunting,school_choice,taxes_budget
ALPERSON-ALAN-HARPER,ALAN HARPER,2010,house,61,24.05857612987002,,,,L:2.0 (6 bills),E:2.0 (7 bills); L:2.0 (4 bills),E:0.1 (2 bills); L:0.1 (1 bills),L:0.2 (3 bills),L:2.0 (2 bills),L:2.0 (3 bills),E:0.5 (2 bills),,L:0.0 (1 bills),,E:0.1 (3 bills); L:0.0 (1 bills),,,,,E:0.5 (10 bills); L:0.3 (5 bills),,E:0.0 (1 bills),,E:0.1 (2 bills),,E:1.2 (7 bills); L:2.7 (9 bills)
ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,house,48,24.098850085602905,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,house,2,27.492379331342505,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,house,53,55.655956689780965,L:2.0 (2 bills),,,L:1.0 (1 bills),L:1.0 (1 bills),,,,,,,L:3.0 (3 bills),,,,,,,,,,,L:1.0 (1 bills),,L:16.0 (16 bills)
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,house,103,29.89025236951064,,,,,L:5.0 (5 bills),,,,L:6.0 (6 bills),,,L:1.0 (1 bills),,,,,,,L:3.0 (3 bills),L:1.0 (1 bills),,,,,L:8.0 (8 bills)
ALPERSON-BARBARA-BIGSBY-BOYD,BARBARA BIGSBY BOYD,2010,house,32,40.16708706446988,,,,L:0.0 (1 bills),E:0.4 (4 bills); L:4.7 (8 bills),E:0.0 (1 bills); L:0.0 (1 bills),L:0.1 (2 bills),,L:2.0 (2 bills),,,E:0.1 (2 bills); L:0.2 (2 bills),,E:0.0 (2 bills); L:1.0 (2 bills),,,,,E:0.4 (12 bills); L:2.1 (5 bills),E:0.1 (1 bills),,L:1.0 (1 bills),L:0.0 (1 bills),L:1.0 (1 bills),E:1.6 (12 bills); L:9.0 (16 bills)
ALPERSON-BEDDINGFIELD,Beddingfield,2014,house,24,23.220259733713803,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-BILLY-BEASLEY,BILLY BEASLEY,2010,senate,28,17.174310704986432,,,,L:3.2 (8 bills),E:0.9 (5 bills); L:11.6 (18 bills),E:0.0 (1 bills); L:2.1 (3 bills),L:0.5 (4 bills),L:3.1 (4 bills),E:1.0 (1 bills); L:1.5 (3 bills),E:0.0 (1 bills); L:2.1 (3 bills),,L:12.8 (16 bills),L:0.2 (1 bills),E:1.6 (5 bills); L:13.6 (16 bills),L:1.0 (1 bills),,,,E:0.4 (9 bills); L:8.3 (15 bills),L:1.1 (2 bills),,,L:5.1 (6 bills),,E:1.4 (3 bills); L:38.9 (60 bills)
ALPERSON-CRAIG-FORD,Craig Ford,2014,house,28,23.68662617909687,E:0.2 (1 bills),,,E:1.0 (3 bills),E:4.0 (8 bills); L:3.0 (3 bills),E:1.1 (4 bills); L:1.0 (1 bills),E:2.0 (3 bills),E:2.0 (2 bills); L:10.0 (10 bills),E:5.1 (6 bills),E:0.0 (1 bills); L:1.0 (1 bills),,E:0.0 (1 bills); L:2.0 (2 bills),E:0.4 (2 bills),E:1.6 (6 bills); L:1.0 (1 bills),L:1.0 (1 bills),L:1.0 (1 bills),,,E:5.0 (16 bills); L:9.0 (9 bills),E:1.0 (1 bills); L:3.0 (3 bills),,L:1.0 (1 bills),E:2.5 (4 bills),,E:10.0 (19 bills); L:10.0 (10 bills)
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,senate,26,23.543047828356347,,,,,L:1.0 (1 bills),,,,,,,,,L:1.0 (1 bills),,,,,,,,,,,L:3.0 (3 bills)
ALPERSON-DRAMA-BRELAND,DRAMA BRELAND,2010,house,8,22.719643209401934,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-FELICIA-STEWART,Felicia Stewart,2018,house,46,22.34478427253325,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-GREG-VARNER,GREG VARNER,2010,senate,13,15.46300589679028,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,house,5,29.729306552658905,,,,,E:0.2 (6 bills),E:0.1 (3 bills),,,,,,,E:0.1 (2 bills),E:0.1 (3 bills),,,,,E:0.2 (8 bills),,,,,,E:0.4 (3 bills)
ALPERSON-JAMES-C-FIELDS-JR,"JAMES C. FIELDS, JR.",2010,house,12,15.60316659430908,,,,E:0.3 (1 bills),E:1.1 (6 bills),E:0.0 (1 bills),,,,E:0.0 (1 bills),,E:0.4 (3 bills),E:0.0 (1 bills),E:0.0 (2 bills),,,,,E:0.4 (12 bills),E:0.1 (1 bills),E:0.0 (1 bills),,E:0.1 (2 bills),,E:1.3 (13 bills)
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,house,27,37.692109000464725,,,,,E:0.9 (5 bills),E:1.2 (6 bills),E:1.1 (2 bills),,,,,,,E:0.1 (3 bills),,,,,E:0.1 (7 bills),,,,E:0.6 (3 bills),,E:1.1 (3 bills)
ALPERSON-JERRY-L-FIELDING,JERRY L. FIELDING,2010,senate,11,18.21601389364433,,,,L:0.2 (1 bills),L:5.0 (11 bills),L:0.1 (1 bills),L:1.1 (6 bills),,L:0.2 (1 bills),L:1.2 (3 bills),,L:0.2 (2 bills),,L:0.3 (3 bills),,,L:0.1 (1 bills),,L:3.8 (15 bills),L:0.5 (3 bills),,,L:0.1 (1 bills),,L:7.6 (26 bills)
ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,house,7,37.152067339362816,,,,,E:0.1 (3 bills),E:0.1 (3 bills),,,,,,,E:0.0 (1 bills),E:0.6 (4 bills),,,,,E:0.5 (12 bills),E:0.1 (1 bills),,,,,E:0.6 (9 bills)
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,senate,6,31.14717422709608,E:0.2 (1 bills),,,E:5.0 (6 bills),E:3.9 (14 bills),E:1.1 (3 bills),E:1.1 (2 bills),,E:1.2 (3 bills),E:1.0 (1 bills),,E:2.1 (3 bills),E:0.0 (1 bills),E:3.4 (9 bills),,,,,E:1.9 (15 bills),E:1.1 (2 bills),,,E:4.1 (8 bills),,E:6.4 (18 bills)
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,senate,2,15.04537943600424,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-LARRY-MEANS,Larry Means,2014,senate,10,29.13324637426904,E:1.0 (1 bills),,E:0.1 (1 bills),E:0.0 (1 bills),E:1.1 (3 bills),E:1.0 (1 bills),E:1.0 (1 bills),,,E:0.1 (2 bills),,E:1.1 (2 bills),,E:0.1 (3 bills),,,,,E:1.1 (5 bills),,,E:0.1 (1 bills),E:1.1 (2 bills),,E:4.5 (11 bills)
ALPERSON-LINDA-MEIGS,Linda Meigs,2018,house,20,15.120380750211098,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-MARC-KEAHEY,MARC KEAHEY,2010,senate,22,27.95594433082924,,,E:0.1 (1 bills),E:0.0 (1 bills); L:1.9 (4 bills),E:1.0 (2 bills); L:4.7 (8 bills),L:2.2 (3 bills),E:0.1 (1 bills); L:3.2 (8 bills),E:1.0 (1 bills),E:1.0 (1 bills); L:0.2 (1 bills),E:0.1 (2 bills); L:0.1 (2 bills),,E:0.1 (1 bills); L:0.3 (3 bills),,E:0.2 (4 bills); L:1.3 (5 bills),,,L:0.1 (1 bills),,E:0.4 (6 bills); L:2.9 (10 bills),L:1.1 (2 bills),E:0.1 (1 bills),,E:1.1 (2 bills); L:1.3 (3 bills),,E:3.0 (10 bills); L:6.5 (25 bills)
ALPERSON-NAPOLEON-BRACY-JR,"NAPOLEON BRACY, JR.",2010,house,98,20.69524874961392,,,,,L:2.1 (3 bills),L:0.0 (1 bills),L:0.1 (1 bills),,,,,L:1.0 (2 bills),,L:0.1 (2 bills),,,L:5.0 (5 bills),,L:3.6 (10 bills),,,,L:0.0 (1 bills),,L:2.5 (9 bills)
ALPERSON-NATHANIEL-LEDBETTER,NATHANIEL LEDBETTER,2010,house,24,22.120996946160894,,,,L:2.0 (2 bills),L:3.0 (3 bills),L:1.0 (1 bills),,,L:1.0 (1 bills),L:5.0 (5 bills),,L:2.0 (2 bills),,L:4.0 (4 bills),,,,,L:3.0 (3 bills),,,,,,L:8.0 (8 bills)
ALPERSON-RANDALL-WHITE,RANDALL WHITE,2010,house,26,21.631200749515003,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,house,8,16.743981777741908,,,,,,,,,,,,,,,,,,,,,,,,,
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,house,39,40.756299374806446,,,,E:1.0 (2 bills),E:2.0 (3 bills),E:0.0 (1 bills),,,E:1.0 (1 bills),,,E:0.2 (1 bills),,E:5.0 (8 bills); L:1.0 (1 bills),,,,,E:7.4 (20 bills),E:3.1 (4 bills),,,E:1.4 (5 bills),,E:14.8 (24 bills); L:4.0 (4 bills)
