person_id,candidate,election_cycle,chamber,district,best_cmo,documented_issue_rows,documented_issues,source_count,unknown_issue_cells,pre_election_issues,later_only_issues,retrospective_record_issues,needs_archival_research,pre_election_priority_issues,pre_election_amendment_issues
ALPERSON-ALAN-HARPER,Alan Harper,2010,house,61,24.05857612987002,58,19,54,6,8,17,0,False,8,0
ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,house,48,24.098850085602905,3,3,2,22,3,0,0,False,0,0
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,house,2,27.492379331342505,5,5,1,20,5,0,0,False,0,0
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,house,53,55.655956689780965,31,16,27,9,1,15,1,True,0,0
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,house,103,29.89025236951064,40,18,37,7,1,18,0,True,0,0
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,house,32,40.16708706446988,67,19,63,6,7,18,1,False,7,0
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,house,24,23.220259733713803,2,2,2,23,2,0,0,False,0,0
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,senate,28,17.174310704986432,35,18,33,7,8,13,0,False,7,0
ALPERSON-CRAIG-FORD,Craig Ford,2014,house,28,23.68662617909687,67,18,62,7,15,12,0,False,15,0
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,senate,26,23.543047828356347,4,4,4,21,2,2,0,False,0,0
ALPERSON-DRAMA-BRELAND,Drama Breland,2010,house,8,22.719643209401934,3,3,1,22,3,0,0,False,0,0
ALPERSON-FELICIA-STEWART,Felicia Stewart,2018,house,46,22.34478427253325,7,7,2,18,7,0,0,False,0,0
ALPERSON-GREG-VARNER,Greg Varner,2010,senate,13,15.46300589679028,3,3,2,22,2,1,0,False,0,0
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,house,5,29.729306552658905,16,8,14,17,8,0,0,False,6,0
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,house,12,15.60316659430908,31,11,28,14,10,3,0,False,12,0
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,house,27,37.692109000464725,21,11,18,14,11,0,0,False,7,0
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,senate,11,18.21601389364433,18,14,12,11,0,14,0,True,0,0
ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,house,7,37.152067339362816,19,9,18,16,9,0,0,False,7,0
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,senate,6,31.14717422709608,65,19,58,6,19,0,0,False,14,0
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,senate,2,15.04537943600424,7,6,2,19,6,0,0,False,0,0
ALPERSON-LARRY-MEANS,Larry Means,2014,senate,10,29.13324637426904,23,14,22,11,14,0,0,False,13,0
ALPERSON-LINDA-MEIGS,Linda Meigs,2018,house,20,15.120380750211098,8,7,2,18,3,0,5,False,0,0
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,senate,22,27.95594433082924,33,16,31,9,12,8,0,False,13,0
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,house,98,20.69524874961392,58,22,51,3,0,22,0,True,0,0
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,house,24,22.120996946160894,39,21,35,4,0,21,0,True,0,0
ALPERSON-RANDALL-WHITE,Randall White,2010,house,26,21.631200749515003,1,1,1,24,1,0,0,True,0,0
ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,house,8,16.743981777741908,3,2,2,23,2,0,0,False,0,0
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,house,39,40.756299374806446,61,19,56,6,14,15,0,False,10,0
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,senate,1,27.9658213674507,31,14,27,11,10,10,0,False,7,0
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,senate,33,16.744298484529196,64,17,62,8,7,17,0,False,9,0
