party,cluster_id,cluster_label,outcome,n,mean,median,sd,standard_error
D,1,Progressive-modern Democrats,candidate_cmo,39,-7.291913453757097,-6.451009573167745,14.55116480414144,2.330051155800731
D,1,Progressive-modern Democrats,candidate_federal_overperformance,37,5.985061404013547,4.292418915850192,19.488666874267714,3.2039170980610754
D,1,Progressive-modern Democrats,candidate_presidential_overperformance,35,1.483016801546074,0.1687875111765038,22.535306432266815,3.809162022568241
D,2,Traditionalist-populist Democrats,candidate_cmo,76,1.2977169960037762,-0.6040614516818206,18.62931890297017,2.1369294338168148
D,2,Traditionalist-populist Democrats,candidate_federal_overperformance,65,25.828234636258873,18.890506949634503,26.515552278693487,3.2888494893740283
D,2,Traditionalist-populist Democrats,candidate_presidential_overperformance,74,25.988246912703016,25.685206550884587,25.67005629954232,2.984083431242698
R,1,Business conservatives,candidate_cmo,61,1.0335533270111839,2.534766789044133,17.935893391691547,2.296455828681233
R,1,Business conservatives,candidate_federal_overperformance,47,-8.374907763140278,-4.987025518744321,17.936082069213118,2.6162464585313105
R,1,Business conservatives,candidate_presidential_overperformance,60,-2.9954813997458327,-3.233829846446552,24.72267893668577,3.1916841265138958
R,2,Social and institutional conservatives,candidate_cmo,68,-1.5609727625751584,1.058101647975605,14.402257172439693,1.7465302226258352
R,2,Social and institutional conservatives,candidate_federal_overperformance,67,-20.192091149100573,-14.444333322011506,23.22469096574562,2.837347590632044
R,2,Social and institutional conservatives,candidate_presidential_overperformance,67,-13.299400404248209,-12.629507868339488,26.132021624135376,3.1925345617275713
R,3,Moderate pre-realignment Republicans,candidate_cmo,30,-4.401124393097637,-3.9137377882185778,16.92534993693922,3.0901319847100837
R,3,Moderate pre-realignment Republicans,candidate_federal_overperformance,26,-28.90955116523164,-29.438575713260143,21.342909909409855,4.18568900403591
R,3,Moderate pre-realignment Republicans,candidate_presidential_overperformance,29,-32.3040724295849,-27.952078360054166,21.535377459766146,3.999019200161735
