bill_id,session_year,session_name,bill_number,title,description,rollcalls,mapped_rollcalls,current_axes,current_poles,authorities,taxonomy_warning,review_priority,text_documents,documents_present
1049227,2018,Regular Session 2018,SJR7,"Sergeant William ""Troy"" Seamon Memorial Highway, portion of U.S. Highway 31 N in Autauga County, named","Sergeant William ""Troy"" Seamon Memorial Highway, portion of U.S. Highway 31 N in Autauga County, named",0,0,,,,,5,2,2
1089954,2018,Regular Session 2018,SJR70,"Bethlehem Baptist Church, 150th anniversary, commended","Bethlehem Baptist Church, 150th anniversary, commended",0,0,,,,,5,2,2
1093823,2018,Regular Session 2018,SJR71,"Aronov, Josephine Ilyssa, commended","Aronov, Josephine Ilyssa, commended",0,0,,,,,5,2,2
1093848,2018,Regular Session 2018,SJR73,"Exports, Alabama's record for 2017, commended","Exports, Alabama's record for 2017, commended",0,0,,,,,5,2,2
1093912,2018,Regular Session 2018,SJR74,"Larson, Barbara Waters, outstanding professional achievement, commended","Larson, Barbara Waters, outstanding professional achievement, commended",0,0,,,,,5,2,2
1093883,2018,Regular Session 2018,SJR75,"Thompson High School Wrestling Team, commended","Thompson High School Wrestling Team, commended",0,0,,,,,5,2,2
1093878,2018,Regular Session 2018,SJR76,"Eating Disorders Awareness Week, February 26 through March 4, 2018, recognized","Eating Disorders Awareness Week, February 26 through March 4, 2018, recognized",0,0,,,,,5,2,2
1093865,2018,Regular Session 2018,SJR77,"Evidence-based budgeting process, adopted","Evidence-based budgeting process, adopted",0,0,,,,,5,2,2
1095421,2018,Regular Session 2018,SJR78,"Meningococcal disease awareness and prevention, recognized","Meningococcal disease awareness and prevention, recognized",0,0,,,,,5,2,2
1049198,2018,Regular Session 2018,SJR8,"Cahawba, first permanent capital of the state, recognized","Cahawba, first permanent capital of the state, recognized",0,0,,,,,5,2,2
1097498,2018,Regular Session 2018,SJR81,"Kitchen and Bath Cabinetry Industry, recognized","Kitchen and Bath Cabinetry Industry, recognized",0,0,,,,,5,2,2
1097454,2018,Regular Session 2018,SJR83,"Jones, Ronald L., outstanding professional achievement, commended","Jones, Ronald L., outstanding professional achievement, commended",0,0,,,,,5,2,2
1099050,2018,Regular Session 2018,SJR84,"Graham, Billy, death mourned","Graham, Billy, death mourned",0,0,,,,,5,2,2
1101988,2018,Regular Session 2018,SJR86,"Sanders, Senator Henry ""Hank"", professional achievement, commended","Sanders, Senator Henry ""Hank"", professional achievement, commended",0,0,,,,,5,2,2
1101956,2018,Regular Session 2018,SJR87,"Pornography, public health crisis, recognized","Pornography, public health crisis, recognized",0,0,,,,,5,1,1
1049379,2018,Regular Session 2018,SJR9,"St. Stephens, Territorial Capital of Alabama, recognized","St. Stephens, Territorial Capital of Alabama, recognized",0,0,,,,,5,2,2
1101946,2018,Regular Session 2018,SJR90,"State of Character, Alabama redesignated","State of Character, Alabama redesignated",0,0,,,,,5,2,2
