focal_person_id,focal_candidate,cycle,chamber,district,focal_cmo,focal_context,comparison_person_id,comparison_candidate,comparison_district,comparison_cmo,comparison_context,cmo_difference,match_distance,features_used
ALPERSON-HOLMES,Holmes,2014,house,31,125.06226246141456,majority_white_lower_college,ALPERSON-DENNIS-W-STEPHENS,Dennis W. Stephens,22,-21.56137416541531,majority_white_lower_college,146.62363662682986,0.40986882327441093,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-ANDERSON,Anderson,1994,senate,25,110.1159752266402,majority_white_higher_college,ALPERSON-SULLIVAN,Sullivan,34,-31.632768730643235,majority_white_higher_college,141.74874395728344,1.0417273253626402,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-BAKER,Baker,2014,house,66,65.44378217769652,mixed_or_demographics_missing,ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,93,-22.96707623821776,mixed_or_demographics_missing,88.41085841591428,0.7809358071268883,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,house,53,63.72830971847173,majority_nonwhite,ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,103,38.33044049540803,majority_nonwhite,25.3978692230637,0.7169635214101998,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-DUKES,Dukes,1994,house,8,59.43045534949179,majority_white_lower_college,ALPERSON-ROCKHOLD,Rockhold,104,-1.9002377187972392,majority_white_lower_college,61.33069306828902,0.5555132036421545,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,50.539071155040446,majority_white_lower_college,ALPERSON-JAMES-M-JIMMY-MARTIN,JAMES M. (JIMMY) MARTIN,42,13.508414472603882,majority_white_lower_college,37.030656682436565,0.25163108034794196,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-TURNHAM,Turnham,1994,house,79,41.9003168307912,majority_white_higher_college,ALPERSON-ROMEI,Romei,43,-14.011340024436308,majority_white_higher_college,55.911656855227506,1.128103685892919,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-GEORGE-M-MARC-KEAHEY,GEORGE M. (MARC) KEAHEY,2006,house,65,41.29675091936547,mixed_or_demographics_missing,ALPERSON-CLARA-L-CURTIS,CLARA L. CURTIS,33,-32.04672074145573,mixed_or_demographics_missing,73.3434716608212,0.6373660907450766,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-SANDERS,Sanders,1994,senate,23,39.68697066678696,majority_nonwhite,ALPERSON-CLAY,Clay,28,14.519120197272631,majority_nonwhite,25.16785046951433,0.8362991397108868,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-ROBERTS-TOMMY-ED,"Roberts, Tommy Ed",2002,senate,3,39.37623923178241,majority_white_lower_college,ALPERSON-GRAY-PRESTON-R-JR,"Gray, Preston R., Jr.",12,-6.99316928505027,majority_white_lower_college,46.36940851683268,0.9615148644449417,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,house,103,38.33044049540803,majority_nonwhite,ALPERSON-LOUISE-ALEXANDER,Louise Alexander,56,21.50169174146572,majority_nonwhite,16.828748753942307,1.1534405466265087,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-DUKES,Dukes,1998,house,8,34.03886329756768,majority_white_lower_college,ALPERSON-BOOTHE,Boothe,89,-0.6148095894430021,mixed_or_demographics_missing,34.653672887010686,0.6732841554130953,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-LITTLE,Little,1994,senate,27,33.96609702521959,majority_white_lower_college,ALPERSON-BUTLER,Butler,2,13.00601920221002,majority_white_higher_college,20.96007782300957,0.5758945905860522,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-SHERER-TOMMY,"Sherer, Tommy",2002,house,13,33.53363535560887,majority_white_lower_college,ALPERSON-HENDRIX-J-LUTHER,"Hendrix, J. Luther",24,-19.216079098443203,majority_white_lower_college,52.749714454052075,0.9395995189915802,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
ALPERSON-BARBARA-BIGSBY-BOYD,BARBARA BIGSBY BOYD,2010,house,32,33.47180384443993,majority_nonwhite,ALPERSON-CHARLES-NEWTON,CHARLES NEWTON,90,-5.194216371717417,mixed_or_demographics_missing,38.66602021615735,1.930416343567672,expected_cmo_total_oof;core_index_margin;nonwhite_share;white_college_share
