canonical_candidate_id,person_id,candidate_name,election_cycle,primitive_axis,adjudicated_issue_valence,adjudication_status,controlling_evidence_scope,controlling_records,controlling_source_types,post_adjudication_conflict_ratio,conservative_issue_value,candidate,cycle,shor_np_score,shor_al_dem_conservative_percentile,our_issue_conservative_percentile,issue_percentile_gap_ours_minus_shor,shor_temporal_status
AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010.0,gun_access,0.8400000000000001,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,interest_group_rating,0.0,0.8400000000000001,MIKE CURTIS,2010,-0.146,62.71186440677966,54.54545454545454,-8.166409861325121,pre_election_service_available
AL-2010-house-2-D-MIKE-CURTIS,ALPERSON-MIKE-CURTIS,MIKE CURTIS,2010.0,market_governance,0.12,adjudicated_balanced_or_unclear_direction,issue_specific_group_signals,1,interest_group_rating,0.0,-0.12,MIKE CURTIS,2010,-0.146,62.71186440677966,54.54545454545454,-8.166409861325121,pre_election_service_available
AL-2010-house-21-D-RANDY-HINSHAW,ALPERSON-RANDY-HINSHAW,RANDY HINSHAW,2010.0,gun_access,0.9054545454545454,adjudicated_alignment_with_named_pole,issue_specific_group_signals,2,interest_group_endorsement|interest_group_rating,0.0,0.9054545454545454,RANDY HINSHAW,2010,-0.113,69.49152542372882,18.181818181818183,-51.30970724191063,pre_election_service_available
AL-2010-house-21-D-RANDY-HINSHAW,ALPERSON-RANDY-HINSHAW,RANDY HINSHAW,2010.0,labor_rights,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,interest_group_endorsement,0.0,-1.0,RANDY HINSHAW,2010,-0.113,69.49152542372882,18.181818181818183,-51.30970724191063,pre_election_service_available
AL-2010-house-21-D-RANDY-HINSHAW,ALPERSON-RANDY-HINSHAW,RANDY HINSHAW,2010.0,market_governance,-0.14,adjudicated_balanced_or_unclear_direction,issue_specific_group_signals,1,interest_group_rating,0.0,0.14,RANDY HINSHAW,2010,-0.113,69.49152542372882,18.181818181818183,-51.30970724191063,pre_election_service_available
AL-2010-house-21-D-RANDY-HINSHAW,ALPERSON-RANDY-HINSHAW,RANDY HINSHAW,2010.0,public_employee_compensation,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,interest_group_endorsement,0.0,-1.0,RANDY HINSHAW,2010,-0.113,69.49152542372882,18.181818181818183,-51.30970724191063,pre_election_service_available
AL-2010-house-22-D-BUTCH-TAYLOR,ALPERSON-BUTCH-TAYLOR,BUTCH TAYLOR,2010.0,gun_access,0.9054545454545454,adjudicated_alignment_with_named_pole,issue_specific_group_signals,2,interest_group_endorsement|interest_group_rating,0.0,0.9054545454545454,BUTCH TAYLOR,2010,-0.257,50.84745762711864,9.090909090909092,-41.75654853620954,pre_election_service_available
AL-2010-house-22-D-BUTCH-TAYLOR,ALPERSON-BUTCH-TAYLOR,BUTCH TAYLOR,2010.0,labor_rights,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,interest_group_endorsement,0.0,-1.0,BUTCH TAYLOR,2010,-0.257,50.84745762711864,9.090909090909092,-41.75654853620954,pre_election_service_available
AL-2010-house-22-D-BUTCH-TAYLOR,ALPERSON-BUTCH-TAYLOR,BUTCH TAYLOR,2010.0,market_governance,0.12,adjudicated_balanced_or_unclear_direction,issue_specific_group_signals,1,interest_group_rating,0.0,-0.12,BUTCH TAYLOR,2010,-0.257,50.84745762711864,9.090909090909092,-41.75654853620954,pre_election_service_available
AL-2010-house-22-D-BUTCH-TAYLOR,ALPERSON-BUTCH-TAYLOR,BUTCH TAYLOR,2010.0,public_employee_compensation,1.0,adjudicated_alignment_with_named_pole,issue_specific_group_signals,1,interest_group_endorsement,0.0,-1.0,BUTCH TAYLOR,2010,-0.257,50.84745762711864,9.090909090909092,-41.75654853620954,pre_election_service_available
